pk_model,scenario,analysis_set,n_trials,dev_R_median,dev_R_p05,dev_R_p95,dev_T_median,dev_T_p05,dev_T_p95,armdiff_median,armdiff_p05,armdiff_p95,armdiff_mean,armdiff_abs_gt5_pct,rand_armdiff_abs_max
k2020,Vmax_up_080,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-1.52002031846993,-6.1965811965812,3.03566165635131,-0.993332407532606,-6.54146542667206,5.06688431085594,-0.870180084052997,16.45,0.854700854700859
k2020,ka_down_080,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-1.46745630532695,-6.71686338353005,3.84615384615385,-0.749905344097453,-6.90732690732691,5.37380781564908,-0.772340020199926,18.55,0.854700854700859
k2020,ke_down_125,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,0.0872719568422085,-3.97054256816566,3.84615384615385,0.588500354730051,-4.52008570924636,5.88627982508328,0.708115885344071,13.5,0.854700854700859
k2020,ke_up_080,ii,2000,-0.693097038677973,-3.9856968428397,2.69866452991453,-0.931258284199462,-4.15140415140416,2.32627113083353,-0.377903655750192,-5.01268631363955,4.59409565108095,-0.25776462810725,8.65,0.854700854700859
k2016,F097,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-1.17529209772909,-6.98473748473749,5.13014763014763,-0.36252204023538,-8.75947867618217,8.5734126984127,-0.209964707749736,32.95,0.854700854700859
k2016,F_down_080,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-1.18149824032177,-7.79903398849955,5.29970575872215,-0.16634566758842,-9.32866878228475,8.46414696414697,-0.291650441168804,35.7,0.854700854700859
k2016,F_up_125,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-0.708596958596957,-6.427969348659,5.12820512820513,0.0184399405678697,-8.39874437337124,8.58421376324189,0.175961711811416,34,0.854700854700859
k2016,KE110,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-1.2004662004662,-7.00641025641026,5.15276431418018,-0.289227680532026,-8.77827214874817,8.19426440014675,-0.229456870347404,31.45,0.854700854700859
k2016,KE120,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-0.930329697452986,-7.12772302324541,4.71338323512236,-0.110041999857625,-8.75103406867106,8.14582810736235,-0.142863539231832,32.65,0.854700854700859
k2016,S00,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-0.99023199023199,-6.68885918885919,5.11494066181566,-0.0672141576031748,-8.69503563911213,8.46816884758061,-0.0665958258098493,33.4,0.854700854700859
k2016,V2_up_080,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-1.43467643467643,-6.42483114635013,3.37104072398189,-0.565979649290142,-8.53696047213377,7.17347504657945,-0.60569517640734,29.9,0.854700854700859
k2016,VM125,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-1.28205128205128,-8.05984975476501,5.4514501891551,-0.146492045226221,-9.7231240981241,8.33399576046635,-0.434059856872659,34.9,0.854700854700859
k2016,Vmax_down_125,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-0.28655668190552,-5.45110445110446,4.65421923755257,0.565339676439596,-7.58865094503208,8.38334552771173,0.543769176553714,30.25,0.854700854700859
k2016,Vmax_up_080,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-1.30416218730224,-8.5027195027195,5.63218815234944,-0.522621214471812,-10.3886049823347,8.26264941526136,-0.640721518287879,38.7,0.854700854700859
k2016,ka_down_080,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-2.10053599884108,-10.1381257631258,5.86080586080586,-1.00131752305665,-11.5842142172961,9.21576842539476,-1.15991550842063,42.45,0.854700854700859
k2016,ke_down_125,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-0.726877289377292,-7.0090285301553,5.64209401709402,0,-8.92901785714286,8.97435897435897,0.0776029040897049,35.85,0.854700854700859
k2016,ke_up_080,iii,2000,-0.908775908775912,-6.68246918246918,5.38458411697848,-0.854700854700859,-6.5485338279456,4.98775289408201,0,-8.77909345556405,8.40405594134988,-0.0397156634118604,32.85,0.854700854700859
k2020,F097,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.888439046333787,-6.51319633456356,4.7008547008547,-0.116792597523428,-7.79220779220779,8.22784810126582,-0.0186144485217817,30.3,0.854700854700859
k2020,F_down_080,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.870726495726498,-6.71550671550672,5.00759000759001,0,-8.57142857142857,8.10988620199147,-0.0883043372348561,32.75,0.854700854700859
k2020,F_up_125,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.695207570207568,-5.88681149097816,4.18285982310372,0.0848561502569964,-7.50909001666443,7.95477205731671,0.0723861089826849,28.15,0.854700854700859
k2020,KE110,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.758547008547012,-6.12517580872011,4.72642789309456,-0.04807581024507,-7.56588704505371,8.34733334984765,0.0689372914869753,28.05,0.854700854700859
k2020,KE120,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.783936699429656,-5.98290598290598,4.63675213675214,0,-7.53283830265538,7.94879726841752,0.112219252718187,28.45,0.854700854700859
k2020,S00,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.942512586348201,-6.2000952528061,4.5954045954046,0,-7.87935333351143,7.66113813946631,-0.0228217845354982,28.55,0.854700854700859
k2020,V2_up_080,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.188829258596698,-4.61605685201191,4.03361483242101,0.734081376294135,-6.8891494308161,8.13493747846018,0.61477694762896,27.65,0.854700854700859
k2020,VM125,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.887595591542961,-6.84207169281797,5.02190170940171,-0.222857826590207,-8.40578577137717,8.35151405875408,-0.0816755751366024,32.2,0.854700854700859
k2020,Vmax_down_125,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.610500610500612,-5.2356638839197,3.68821999256782,0.264008292177305,-7.32324870055424,7.46888351300116,0.231677534394042,25.85,0.854700854700859
k2020,Vmax_up_080,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-1.10290438159291,-7.69230769230769,5.07461643308985,-0.33618431549835,-8.86567354214413,8.22784810126582,-0.302939199109086,32.3,0.854700854700859
k2020,ka_down_080,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-2.09401709401709,-9.00972510972511,4.89882170272662,-1.21426429428229,-10.1890268194616,8.06016199865001,-1.23092000930166,35.7,0.854700854700859
