pk_model,scenario,mechanism,direction,auc_ratio,cmax_ratio,set,n_trials,fail_R_mean,fail_T_mean,diff_mean,diff_lo,diff_hi,diff_p05,diff_p95
k2020,F097,F,down,0.952367656502161,0.965498850360188,i,2000,8.35940170940171,8.72264957264957,0.363247863247863,0.205127373113554,0.521368353382172,-5.12820512820513,5.98290598290599
k2020,F_down_080,F,down,0.799619025640266,0.852142118063974,i,2000,8.35940170940171,10.5683760683761,2.20897435897436,2.04150805985007,2.37644065809865,-4.27350427350428,8.54700854700855
k2020,F_up_125,F,up,1.25037238459433,1.17607904174935,i,2000,8.35940170940171,6.82435897435897,-1.53504273504274,-1.68590730301106,-1.38417816707441,-6.88034188034189,4.27350427350427
k2020,KE110,ke,up,0.947805365835002,0.984234742561431,i,2000,8.35940170940171,8.24615384615385,-0.113247863247863,-0.269934942967902,0.0434392164721751,-5.98290598290598,5.98290598290598
k2020,KE120,ke,up,0.90100076164125,0.969195351141817,i,2000,8.35940170940171,8.2042735042735,-0.155128205128205,-0.310332667204454,7.62569480437514e-05,-5.98290598290598,5.98290598290598
k2020,S00,-,-,1,1,i,2000,8.35940170940171,8.35555555555556,-0.00384615384615384,-0.16277741288206,0.155085105189752,-5.98290598290598,5.98290598290598
k2020,V2_up_080,V2,up,0.79979742585522,0.890882568755657,i,2000,8.35940170940171,4.3042735042735,-4.05512820512821,-4.1955629141014,-3.91469349615501,-9.4017094017094,0.854700854700863
k2020,VM125,Vmax,up,0.866416882138219,0.962801048832624,i,2000,8.35940170940171,12.6303418803419,4.27094017094017,4.09618369239581,4.44569664948454,-2.56410256410257,11.1111111111111
k2020,Vmax_down_125,Vmax,down,1.25092658233271,1.05342570107931,i,2000,8.35940170940171,4.28376068376068,-4.07564102564103,-4.21323132084646,-3.93805073043559,-9.4017094017094,0.854700854700852
k2020,Vmax_up_080,Vmax,up,0.80009024618209,0.941322121145971,i,2000,8.35940170940171,15.6508547008547,7.29145299145299,7.10361001774149,7.4792959651645,0,14.5299145299145
k2020,ka_down_080,ka,down,0.800570249731887,0.632507704543837,i,2000,8.35940170940171,18.615811965812,10.2564102564103,10.0622319775555,10.450588535265,2.56410256410257,17.0940170940171
k2020,ke_down_125,ke,down,1.2495748835008,1.06352537123811,i,2000,8.35940170940171,8.86923076923077,0.50982905982906,0.349643103115578,0.670015016542542,-5.12820512820513,6.83760683760684
k2020,ke_up_080,ke,up,0.800201954152666,0.933475925199342,i,2000,8.35940170940171,7.88888888888889,-0.470512820512821,-0.625340957567646,-0.315684683457995,-5.98290598290599,5.12820512820513
k2016,F097,F,down,0.952069739554753,0.965269785236406,ii,2000,19.5824786324786,20.4047008547009,0.822222222222222,0.587527286628007,1.05691715781644,-7.69230769230769,9.4017094017094
k2016,F_down_080,F,down,0.79988525403249,0.852080931927538,ii,2000,19.5824786324786,23.9128205128205,4.33034188034188,4.0921305662862,4.56855319439756,-5.12820512820512,12.8205128205128
k2016,F_up_125,F,up,1.25010656509896,1.17552651005478,ii,2000,19.5824786324786,16.4995726495727,-3.08290598290598,-3.30771741204929,-2.85809455376268,-11.1111111111111,5.12820512820513
k2016,KE110,ke,up,0.949282341895361,0.983774175412422,ii,2000,19.5824786324786,19.4538461538462,-0.128632478632479,-0.358868456919939,0.101603499654981,-8.54700854700855,8.54700854700855
k2016,KE120,ke,up,0.903692855836844,0.968275339742282,ii,2000,19.5824786324786,19.4059829059829,-0.176495726495727,-0.405328065804292,0.052336612812839,-8.54700854700855,8.54700854700855
k2016,S00,-,-,1,1,ii,2000,19.5824786324786,19.5461538461538,-0.0363247863247863,-0.267931204911377,0.195281632261804,-8.54700854700855,8.54700854700855
k2016,V2_up_080,V2,up,0.799717812019852,0.962983911224041,ii,2000,19.5824786324786,14.0794871794872,-5.50299145299145,-5.71746332464887,-5.28851958133404,-13.6752136752137,2.56410256410256
k2016,VM125,Vmax,up,0.864966317600168,0.960841383742847,ii,2000,19.5824786324786,27.4910256410256,7.90854700854701,7.6670698255306,8.15002419156341,-1.7094017094017,17.0940170940171
k2016,Vmax_down_125,Vmax,down,1.25088393369916,1.0544021629266,ii,2000,19.5824786324786,14.5884615384615,-4.99401709401709,-5.20756446298075,-4.78046972505344,-13.6752136752137,2.56410256410257
k2016,Vmax_up_080,Vmax,up,0.799417254503779,0.93845337546823,ii,2000,19.5824786324786,32.5837606837607,13.0012820512821,12.7474063767879,13.2551577257762,3.41880341880342,22.2222222222222
k2016,ka_down_080,ka,down,0.799297411482507,0.631952944916229,ii,2000,19.5824786324786,35.1388888888889,15.5564102564103,15.298018687558,15.8148018252625,5.98290598290598,24.7863247863248
k2016,ke_down_125,ke,down,1.24933521039854,1.06710162104024,ii,2000,19.5824786324786,21.4606837606838,1.87820512820513,1.64599698244648,2.11041327396377,-6.83760683760684,10.2564102564103
k2016,ke_up_080,ke,up,0.800334236753497,0.929468091140586,ii,2000,19.5824786324786,19.5363247863248,-0.0461538461538461,-0.272708686009062,0.18040099370137,-8.54700854700855,8.54700854700855
k2020,F097,F,down,0.952367656502161,0.965498850360188,ii,2000,16.1888888888889,16.7551282051282,0.566239316239316,0.351766213990471,0.780712418488161,-7.69230769230769,8.54700854700855
k2020,F_down_080,F,down,0.799619025640266,0.852142118063974,ii,2000,16.1888888888889,19.5730769230769,3.38418803418803,3.16811957604392,3.60025649233215,-5.12820512820512,11.1111111111111
k2020,F_up_125,F,up,1.25037238459433,1.17607904174935,ii,2000,16.1888888888889,14.3247863247863,-1.86410256410256,-2.07451705576203,-1.6536880724431,-10.2564102564103,5.98290598290598
k2020,KE110,ke,up,0.947805365835002,0.984234742561431,ii,2000,16.1888888888889,15.7196581196581,-0.469230769230769,-0.677847365488975,-0.260614172972564,-8.54700854700855,7.69230769230769
k2020,KE120,ke,up,0.90100076164125,0.969195351141817,ii,2000,16.1888888888889,15.3965811965812,-0.792307692307692,-0.999089419302554,-0.58552596531283,-8.54700854700855,6.83760683760684
k2020,S00,-,-,1,1,ii,2000,16.1888888888889,16.1491452991453,-0.0397435897435898,-0.252239765957555,0.172752586470376,-7.6923076923077,7.6923076923077
k2020,V2_up_080,V2,up,0.79979742585522,0.890882568755657,ii,2000,16.1888888888889,12.3752136752137,-3.81367521367521,-4.01691279208011,-3.61043763527032,-11.1111111111111,4.27350427350427
k2020,VM125,Vmax,up,0.866416882138219,0.962801048832624,ii,2000,16.1888888888889,22.3474358974359,6.15854700854701,5.93522763950658,6.38186637758744,-2.56410256410257,14.5299145299145
k2020,Vmax_down_125,Vmax,down,1.25092658233271,1.05342570107931,ii,2000,16.1888888888889,14.542735042735,-1.64615384615385,-1.84959153427761,-1.44271615803008,-9.4017094017094,5.98290598290599
k2020,Vmax_up_080,Vmax,up,0.80009024618209,0.941322121145971,ii,2000,16.1888888888889,26.6465811965812,10.4576923076923,10.2228703441621,10.6925142712225,1.70940170940171,18.8034188034188
k2020,ka_down_080,ka,down,0.800570249731887,0.632507704543837,ii,2000,16.1888888888889,32.5547008547009,16.365811965812,16.1211492417555,16.6104746898684,6.83760683760684,25.6410256410256
k2020,ke_down_125,ke,down,1.2495748835008,1.06352537123811,ii,2000,16.1888888888889,20.8820512820513,4.69316239316239,4.47605665638648,4.9102681299383,-3.41880341880342,12.8205128205128
k2020,ke_up_080,ke,up,0.800201954152666,0.933475925199342,ii,2000,16.1888888888889,14.792735042735,-1.39615384615385,-1.59758265431942,-1.19472503798827,-8.54700854700855,5.98290598290599
k2016,F097,F,down,0.952069739554753,0.965269785236406,iii,2000,38.6418803418803,39.2508547008547,0.608974358974359,0.32349198312201,0.894456734826708,-10.2564102564103,11.1111111111111
k2016,F_down_080,F,down,0.79988525403249,0.852080931927538,iii,2000,38.6418803418803,41.6534188034188,3.01153846153846,2.73147350213006,3.29160342094686,-7.69230769230769,12.8205128205128
k2016,F_up_125,F,up,1.25010656509896,1.17552651005478,iii,2000,38.6418803418803,36.0576923076923,-2.58418803418803,-2.86119232747813,-2.30718374089794,-12.8205128205128,7.6923076923077
k2016,KE110,ke,up,0.949282341895361,0.983774175412422,iii,2000,38.6418803418803,38.1598290598291,-0.482051282051282,-0.764980014208707,-0.199122549893857,-11.1111111111111,10.2564102564103
k2016,KE120,ke,up,0.903692855836844,0.968275339742282,iii,2000,38.6418803418803,38.0444444444444,-0.597435897435897,-0.874970438210252,-0.319901356661543,-11.1111111111111,10.2564102564102
k2016,S00,-,-,1,1,iii,2000,38.6418803418803,38.7034188034188,0.0615384615384617,-0.221191505303117,0.344268428380041,-10.2564102564103,11.1111111111111
k2016,V2_up_080,V2,up,0.799717812019852,0.962983911224041,iii,2000,38.6418803418803,30.1957264957265,-8.44615384615385,-8.71502912951405,-8.17727856279365,-18.8034188034188,0.897435897435869
k2016,VM125,Vmax,up,0.864966317600168,0.960841383742847,iii,2000,38.6418803418803,44.2213675213675,5.57948717948718,5.30150074534421,5.85747361363015,-5.12820512820513,15.4273504273504
k2016,Vmax_down_125,Vmax,down,1.25088393369916,1.0544021629266,iii,2000,38.6418803418803,31.5089743589744,-7.13290598290598,-7.40864845232357,-6.85716351348839,-17.0940170940171,3.41880341880342
k2016,Vmax_up_080,Vmax,up,0.799417254503779,0.93845337546823,iii,2000,38.6418803418803,47.5905982905983,8.94871794871795,8.66375914143021,9.23367675600569,-1.70940170940172,18.8034188034188
k2016,ka_down_080,ka,down,0.799297411482507,0.631952944916229,iii,2000,38.6418803418803,51.242735042735,12.6008547008547,12.3139837730035,12.8877256287059,1.7094017094017,23.0769230769231
k2016,ke_down_125,ke,down,1.24933521039854,1.06710162104024,iii,2000,38.6418803418803,40.3769230769231,1.73504273504273,1.45498115356565,2.01510431651982,-8.54700854700855,11.965811965812
k2016,ke_up_080,ke,up,0.800334236753497,0.929468091140586,iii,2000,38.6418803418803,37.2606837606838,-1.38119658119658,-1.65712332836858,-1.10526983402459,-11.1538461538462,9.4017094017094
k2020,F097,F,down,0.952367656502161,0.965498850360188,iii,2000,33.8551282051282,34.3094017094017,0.454273504273504,0.183460456028668,0.72508655251834,-9.4017094017094,10.2564102564103
k2020,F_down_080,F,down,0.799619025640266,0.852142118063974,iii,2000,33.8551282051282,36.4589743589744,2.60384615384615,2.32655214478542,2.88114016290689,-7.6923076923077,12.8205128205128
k2020,F_up_125,F,up,1.25037238459433,1.17607904174935,iii,2000,33.8551282051282,31.034188034188,-2.82094017094017,-3.08909165627286,-2.55278868560748,-12.8632478632479,6.83760683760685
k2020,KE110,ke,up,0.947805365835002,0.984234742561431,iii,2000,33.8551282051282,33.391452991453,-0.463675213675214,-0.731488788999191,-0.195861638351236,-11.1111111111111,9.4017094017094
