trial,scenario,endpoint,GMR,CI_lower,CI_upper,pass,n_R,n_T
10,S00,AUCinf_B,1.016852,0.9419047,1.097763,TRUE,117,116
10,S00,AUCinf_C,1.007369,0.9308137,1.090221,TRUE,117,117
10,S00,AUCinf_true,1.027979,0.9532619,1.108553,TRUE,117,117
10,S00,AUClast,0.9982772,0.9222879,1.080527,TRUE,117,117
10,S00,Cmax,0.9944352,0.9292222,1.064225,TRUE,117,117
10,Vmax_down_125,AUCinf_A,1.155726,1.070839,1.247342,TRUE,102,104
10,Vmax_down_125,AUCinf_B,1.25559,1.161939,1.35679,FALSE,117,117
10,Vmax_down_125,AUCinf_C,1.253548,1.161403,1.353005,FALSE,117,117
10,Vmax_down_125,AUCinf_true,1.285364,1.192948,1.38494,FALSE,117,117
10,Vmax_down_125,AUClast,1.261078,1.167398,1.362275,FALSE,117,117
10,Vmax_down_125,Cmax,1.052528,0.9855966,1.124004,TRUE,117,117
11,S00,AUCinf_A,0.9801602,0.9019864,1.065109,TRUE,86,95
11,S00,AUCinf_B,1.036062,0.9584707,1.119934,TRUE,111,116
11,S00,AUCinf_C,1.064487,0.9799927,1.156267,TRUE,117,117
11,S00,AUCinf_true,1.054751,0.9742462,1.141908,TRUE,117,117
11,S00,AUClast,1.056267,0.9718054,1.148069,TRUE,117,117
11,S00,Cmax,1.021783,0.9475417,1.101841,TRUE,117,117
11,Vmax_down_125,AUCinf_A,1.202292,1.105816,1.307185,FALSE,86,102
11,Vmax_down_125,AUCinf_B,1.270507,1.174567,1.374282,FALSE,111,117
11,Vmax_down_125,AUCinf_C,1.326522,1.222661,1.439205,FALSE,117,117
11,Vmax_down_125,AUCinf_true,1.314829,1.215728,1.422009,FALSE,117,117
11,Vmax_down_125,AUClast,1.328671,1.225189,1.440894,FALSE,117,117
11,Vmax_down_125,Cmax,1.082667,1.005929,1.16526,TRUE,117,117
12,S00,AUCinf_A,1.016823,0.9288462,1.113132,TRUE,94,97
12,S00,AUCinf_B,1.008859,0.9308201,1.093441,TRUE,115,115
12,S00,AUCinf_C,1.013152,0.9314675,1.102,TRUE,117,117
12,S00,AUCinf_true,1.013243,0.9359226,1.09695,TRUE,117,117
12,S00,AUClast,1.012081,0.9303069,1.101042,TRUE,117,117
12,S00,Cmax,0.9747931,0.9088004,1.045578,TRUE,117,117
12,Vmax_down_125,AUCinf_A,1.191589,1.095186,1.296477,FALSE,94,99
12,Vmax_down_125,AUCinf_B,1.252303,1.1555,1.357216,FALSE,115,117
12,Vmax_down_125,AUCinf_C,1.271099,1.171986,1.378594,FALSE,117,117
12,Vmax_down_125,AUCinf_true,1.270101,1.175135,1.372741,FALSE,117,117
12,Vmax_down_125,AUClast,1.278432,1.178568,1.386758,FALSE,117,117
12,Vmax_down_125,Cmax,1.035339,0.9675213,1.107911,TRUE,117,117
13,S00,AUCinf_A,1.003799,0.9140731,1.102333,TRUE,91,85
13,S00,AUCinf_B,1.002731,0.9238778,1.088314,TRUE,113,115
13,S00,AUCinf_C,1.018305,0.9352831,1.108697,TRUE,117,117
13,S00,AUCinf_true,1.011085,0.9305748,1.098561,TRUE,117,117
13,S00,AUClast,1.016712,0.9331313,1.10778,TRUE,117,117
13,S00,Cmax,0.9641479,0.8999914,1.032878,TRUE,117,117
13,Vmax_down_125,AUCinf_A,1.2066,1.105338,1.317138,FALSE,91,99
13,Vmax_down_125,AUCinf_B,1.253782,1.155735,1.360146,FALSE,113,117
13,Vmax_down_125,AUCinf_C,1.287911,1.184031,1.400905,FALSE,117,117
13,Vmax_down_125,AUCinf_true,1.267809,1.1685,1.375558,FALSE,117,117
