model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57
k2016,obese_110_130,windowed,2,plus_40_47,+Day 40·47,20000,3,48,47.3080531226751,48.6927150215494,0.435,0.352824058869605,0.536212475372046,0,0,0.0192036056104625,8697,46.5102909049097,1.00034494653329,0
k2016,obese_110_130,windowed,1,daily_29_57,Day 29–57 매일,20000,1,57.035,56.3476549551387,57.7196430975519,24.89,24.2956289553321,25.4940150954055,4.39,4.11471720680426,4.6828003222336,10559,84.3261672506866,43.091201818354,8.16365186097168
k2016,obese_110_130,windowed,2,daily_29_57,Day 29–57 매일,20000,1,72.95,72.3299925019835,73.5611930430413,52.97,52.2777674993224,53.6610918065043,34.085,33.431200713247,34.7449117944188,8697,99.9885017822238,95.8491433827757,68.2879153731172
k2016,obese_90_110,nominal,1,current,현행,20000,7,19.925,19.3772180767664,20.4843328920083,0,0,0.0192036056104625,0,0,0.0192036056104625,13680,14.8538011695906,0,0
k2016,obese_90_110,nominal,2,current,현행,20000,7,42.84,42.1556292620332,43.5271206942903,0,0,0.0192036056104625,0,0,0.0192036056104625,11874,33.7459996631295,0,0
k2016,obese_90_110,nominal,1,plus_39_46,+Day 39·46,20000,3,26.295,25.689469750431,26.909634678989,0,0,0.0192036056104625,0,0,0.0192036056104625,13680,24.1666666666667,0,0
k2016,obese_90_110,nominal,2,plus_39_46,+Day 39·46,20000,3,55.465,54.7752155597027,56.1526854862041,0,0,0.0192036056104625,0,0,0.0192036056104625,11874,55.0109482903824,0,0
k2016,obese_90_110,nominal,1,plus_39_46_53,+Day 39·46·53,20000,3,26.765,26.1559177778616,27.3830061376656,0,0,0.0192036056104625,0,0,0.0192036056104625,13680,24.8538011695906,0,0
k2016,obese_90_110,nominal,2,plus_39_46_53,+Day 39·46·53,20000,3,56.225,55.5363090831258,56.9113000679757,0,0,0.0192036056104625,0,0,0.0192036056104625,11874,56.2910560889338,0,0
k2016,obese_90_110,nominal,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,34.47,33.8143598137688,35.1316048261338,0,0,0.0192036056104625,0,0,0.0192036056104625,13680,36.1184210526316,0,0
k2016,obese_90_110,nominal,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,72.5,71.8768976794239,73.1144606980514,0.045,0.0236771116140021,0.085509210751411,0,0,0.0192036056104625,11874,83.7038908539667,0,0
k2016,obese_90_110,nominal,1,plus_40_47,+Day 40·47,20000,3,25.695,25.094134708168,26.3052001645193,0,0,0.0192036056104625,0,0,0.0192036056104625,13680,23.2894736842105,0,0
