scenario,endpoint,gmr_geo,n_R_mean,n_T_mean,n_trials,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,truth,rel_bias_pct,model
Vmax_down_125,AUCinf_A,1.1904558285463,94.1978,99.9247,10000,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,1.25088393369916,-4.83083230385373,k2016
Vmax_down_125,AUCinf_B,1.23964383997547,115.4059,116.8917,10000,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,1.25088393369916,-0.898572075384674,k2016
Vmax_down_125,AUCinf_C,1.25634552938441,117,117,10000,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,1.25088393369916,0.436618901091457,k2016
Vmax_down_125,AUCinf_true,1.25093002733498,117,117,10000,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,1.25088393369916,0.00368488511002241,k2016
Vmax_down_125,AUClast,1.26233377574068,117,117,10000,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,1.25088393369916,0.915340083364868,k2016
Vmax_down_125,Cmax,1.06090743557022,117,117,10000,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,1.0544021629266,0.616963135352688,k2016
Vmax_down_133,AUCinf_A,1.24445708689887,94.0885,98.211,2000,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,1.33087858987313,-6.49356775530532,k2016
Vmax_down_133,AUCinf_B,1.32102958671728,115.373,116.9545,2000,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,1.33087858987313,-0.74003768869636,k2016
Vmax_down_133,AUCinf_C,1.33477316083409,117,117,2000,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,1.33087858987313,0.292631573653468,k2016
Vmax_down_133,AUCinf_true,1.32994360563472,117,117,2000,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,1.33087858987313,-0.0702531579907628,k2016
Vmax_down_133,AUClast,1.34144869607911,117,117,2000,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,1.33087858987313,0.794220170525462,k2016
Vmax_down_133,Cmax,1.07471084679344,117,117,2000,Vmax,down,1.33,0.576424176113221,1.33087858987313,1.06803815759157,1.06803815759157,0.624761311610578,k2016
Vmax_down_143,AUCinf_A,1.30584733623605,94.0885,93.4535,2000,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,1.43124267718369,-8.76129135517267,k2016
Vmax_down_143,AUCinf_B,1.42964293907666,115.373,116.981,2000,Vmax,down,1.43,0.484056251502108,1.43124267718369,1.08318773319823,1.43124267718369,-0.111772666685905,k2016
