bin,n,pass_pct,lo,hi,config,model,ratio
-0.21,476,4.6218487394958,3.07174033073912,6.89852337641825,F3B,k2016,0.810584245970187
-0.53,121,0,0,3.07706979474783,F3B,k2016,0.588604969678355
0.49,95,0,0,3.8864853539473,F3B,k2016,1.63231621995538
0.43,156,0,0,2.40329314374149,F3B,k2016,1.53725752354828
0.15,491,30.142566191446,26.2507099173293,34.3427293501234,F3B,k2016,1.16183424272828
0.25,415,0.481927710843374,0.132261602392285,1.73991667785075,F3B,k2016,1.28402541668774
-0.43,196,0,0,1.92225319178681,F3B,k2016,0.650509094723317
-0.49,161,0,0,2.3303960351823,F3B,k2016,0.612626394184416
-0.45,199,0,0,1.89382330566349,F3B,k2016,0.637628151621773
-0.59,89,0,0,4.13765452362525,F3B,k2016,0.554327284734507
0.41,202,0,0,1.86622211225211,F3B,k2016,1.50681778511285
0.61,15,0,0,20.3883301035849,F3B,k2016,1.84043139878164
0.53,73,0,0,4.99920079557311,F3B,k2016,1.69893230861855
0.45,133,0,0,2.80723316880717,F3B,k2016,1.56831218549017
-0.47,143,0,1.73472347597681e-16,2.61605874222815,F3B,k2016,0.625002268282701
-0.55,111,0,0,3.34501046933923,F3B,k2016,0.576949810380487
0.51,81,0,0,4.52780854324152,F3B,k2016,1.66529119494589
-0.39,228,0,0,1.65693350975034,F3B,k2016,0.677056874498165
0.55,29,0,0,11.6969798499741,F3B,k2016,1.7332530178674
-0.65,45,0,6.93889390390723e-16,7.86515987328883,F3B,k2016,0.522045776761016
0.57,31,0,0,11.0255395460436,F3B,k2016,1.76826705143374
0.37,246,0,0,1.53755859368843,F3B,k2016,1.44773461466332
-0.51,133,0,0,2.80723316880717,F3B,k2016,0.600495578812266
-0.69,29,0,0,11.6969798499741,F3B,k2016,0.501576069066056
-0.77,7,0,0,35.4330435066687,F3B,k2016,0.463013068311228
-0.57,94,0,3.46944695195361e-16,3.92620762915447,F3B,k2016,0.565525438699537
-0.63,42,0,0,8.37987908657039,F3B,k2016,0.532591801006897
-0.79,7,0,0,35.4330435066687,F3B,k2016,0.453844795282356
0.59,37,0,0,9.40578258372025,F3B,k2016,1.80398841539786
-0.71,11,0,0,25.8832966968032,F3B,k2016,0.491644197460965
-0.73,13,0,0,22.8095372354198,F3B,k2016,0.481908990090202
-0.75,13,0,0,22.8095372354198,F3B,k2016,0.472366552741015
0.65,1,0,0,79.3450685622763,F3B,k2016,1.9155408290139
0.67,2,0,0,65.7619772493347,F3B,k2016,1.95423732063594
-0.83,7,0,0,35.4330435066687,F3B,k2016,0.436049286321536
-0.81,7,0,0,35.4330435066687,F3B,k2016,0.444858066222941
-0.89,1,0,0,79.3450685622763,F3B,k2016,0.410655752752345
0.03,538,82.8996282527881,79.4875810333338,85.8451826814386,F3C,k2016,1.03045453395352
0.39,218,0,0,1.73162349414544,F3C,k2016,1.47698079388264
0.01,547,84.6435100548446,81.3814651831787,87.4223610232597,F3C,k2016,1.01005016708417
0.13,540,41.4814814814815,37.4004013988492,45.6829037615371,F3C,k2016,1.13882838332462
-0.29,362,0,0,1.05003375863338,F3C,k2016,0.748263567578565
-0.31,344,0,8.67361737988404e-17,1.10437060427415,F3C,k2016,0.733446956224289
-0.23,399,1.2531328320802,0.536419021109328,2.8995378591022,F3C,k2016,0.794533602503334
-0.11,544,51.6544117647059,47.4582062659786,55.8274158259944,F3C,k2016,0.895834135296528
0.27,358,0.279329608938548,0.0493255642690617,1.56504412120935,F3C,k2016,1.30996445073325
0.29,337,0,0,1.12705151362323,F3C,k2016,1.33642748802547
0.33,293,0,0,1.29411128619151,F3C,k2016,1.39096812846378
-0.01,572,83.0419580419581,79.7485984809162,85.8944694520758,F3C,k2016,0.990049833749168
-0.07,512,72.65625,68.6374215213773,76.3376373911796,F3C,k2016,0.932393819905948
-0.13,476,40.3361344537815,36.0234500839965,44.8035505203056,F3C,k2016,0.878095430920561
-0.33,319,0,0,1.18989018161625,F3C,k2016,0.718923733431926
0.19,460,8.69565217391304,6.45076327749069,11.6246927272095,F3C,k2016,1.20924959765725
0.23,428,1.86915887850467,0.950107795946335,3.64450868086872,F3C,k2016,1.25860000992948
0.63,11,0,0,25.8832966968032,F3C,k2016,1.87761057926434
0.17,554,17.1480144404332,14.2381851690904,20.5103004007138,F3C,k2016,1.18530485132037
-0.27,357,0.280112044817927,0.0494637789843685,1.56937980949497,F3C,k2016,0.763379494336853
0.09,549,67.3952641165756,63.3649883286182,71.1837954054086,F3C,k2016,1.09417428370521
-0.19,457,8.31509846827133,6.11784243485733,11.2073042706953,F3C,k2016,0.826959133943362
-0.05,562,78.2918149466192,74.6975125518399,81.5019749623419,F3C,k2016,0.951229424500714
0.11,516,56.3953488372093,52.0849710976666,60.6112074929612,F3C,k2016,1.11627807045887
0.35,299,0,0,1.26847190462405,F3C,k2016,1.41906754859326
-0.15,464,28.0172413793103,24.1243853669877,32.2710994380079,F3C,k2016,0.860707976425058
-0.03,562,79.1814946619217,75.6322051170392,82.3345618787207,F3C,k2016,0.970445533548508
-0.25,419,0,0,0.908486795833115,F3C,k2016,0.778800783071405
-0.09,544,63.9705882352941,59.8513096730908,67.8939435480147,F3C,k2016,0.913931185271228
0.07,525,73.7142857142857,69.7864353869602,77.2976189826168,F3C,k2016,1.07250818125422
0.21,434,6.22119815668203,4.31047418681192,8.9001201174569,F3C,k2016,1.23367805995674
-0.67,25,0,0,13.3192250939048,F3C,k2016,0.511708577786543
-0.17,451,14.6341463414634,11.6709237244326,18.1947484095241,F3C,k2016,0.843664816596384
0.05,555,78.9189189189189,75.3325491324632,82.1077132055166,F3C,k2016,1.05127109637602
-0.61,65,0,0,5.58015313228569,F3C,k2016,0.5433508690745
-0.41,224,0,0,1.68602274606978,F3C,k2016,0.663650250136319
-0.37,267,0,0,1.41834224251365,F3C,k2016,0.690734330637355
-0.35,296,0,0,1.28116333071583,F3C,k2016,0.704688089718713
0.31,336,0,0,1.13036791744734,F3C,k2016,1.36342511413218
0.47,141,0,0,2.65218180759256,F3C,k2016,1.59999419321736
-0.21,476,4.6218487394958,3.07174033073912,6.89852337641825,F3C,k2016,0.810584245970187
-0.53,121,0,0,3.07706979474783,F3C,k2016,0.588604969678355
0.49,95,0,0,3.8864853539473,F3C,k2016,1.63231621995538
0.43,156,0,0,2.40329314374149,F3C,k2016,1.53725752354828
0.15,491,31.1608961303462,27.2237966484059,35.3904918873825,F3C,k2016,1.16183424272828
0.25,415,0.481927710843374,0.132261602392285,1.73991667785075,F3C,k2016,1.28402541668774
-0.43,196,0,0,1.92225319178681,F3C,k2016,0.650509094723317
-0.49,161,0,0,2.3303960351823,F3C,k2016,0.612626394184416
-0.45,199,0,0,1.89382330566349,F3C,k2016,0.637628151621773
-0.59,89,0,0,4.13765452362525,F3C,k2016,0.554327284734507
0.41,202,0,0,1.86622211225211,F3C,k2016,1.50681778511285
0.61,15,0,0,20.3883301035849,F3C,k2016,1.84043139878164
0.53,73,0,0,4.99920079557311,F3C,k2016,1.69893230861855
0.45,133,0,0,2.80723316880717,F3C,k2016,1.56831218549017
-0.47,143,0,1.73472347597681e-16,2.61605874222815,F3C,k2016,0.625002268282701
-0.55,111,0,0,3.34501046933923,F3C,k2016,0.576949810380487
