scenario,n_trials,P2_minus_F3A,P2_minus_F3A_lo,P2_minus_F3A_hi,P2_minus_F3B,P2_minus_F3B_lo,P2_minus_F3B_hi,P2_minus_F3C,P2_minus_F3C_lo,P2_minus_F3C_hi,G2_minus_P2,G2_minus_P2_lo,G2_minus_P2_hi,P2_pass_AUCinfA_fail,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model,region
F_up_143,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,F,up,1.43,1.25896883831092,1.43046807360462,1.29829725138482,k2020,범위 밖
Km_up_105,2000,0.65,0.297724607057314,1.00227539294269,0,0,0,0,0,0,6.05,4.89150801893239,7.20849198106761,0.65,Km,up,1.05,91.947868631888,1.05009893346047,1.00969253810531,k2020,범위 안
S00,10000,0.7,0.536584423240263,0.863415576759737,0.07,0.0181597878049888,0.121840212195011,0.03,-0.00394417675578445,0.0639441767557844,-0.12,-0.341743225849188,0.101743225849188,0.7,동일,-,1,1,1,1,k2020,범위 안
V2_down_105,2000,3.65,2.82792018342515,4.47207981657485,0.4,0.123304969726386,0.676695030273614,0.15,-0.0196529274765803,0.31965292747658,-2.25,-3.2301658135726,-1.2698341864274,3.65,V2,down,1.05,0.76579862694241,1.05022165749121,1.05122064045794,k2020,범위 안
V2_down_111,2000,12.45,11.0027137207028,13.8972862792972,2.45,1.7722986152937,3.1277013847063,0.35,0.0911105411853887,0.608889458814611,-10.95,-12.5153569690426,-9.38464303095739,12.45,V2,down,1.11,0.513969680077151,1.11028539721267,1.13294478452615,k2020,범위 안
V2_down_118,2000,1.2,0.7226787280153,1.6773212719847,0.3,0.0602548112239763,0.539745188776024,0,0,0,-1.2,-1.6773212719847,-0.7226787280153,1.2,V2,down,1.18,0.250286543117461,1.18021614822259,1.26117780305349,k2020,범위 안
V2_up_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,V2,up,0.7,3.28303899863467,0.699618657239434,0.865151021643915,k2020,범위 밖
V2_up_075,2000,0.25,0.0310887148959588,0.468911285104041,0.1,-0.0385557131705266,0.238555713170527,0,0,0,-0.25,-0.468911285104041,-0.0310887148959588,0.25,V2,up,0.75,2.73431760274745,0.749711838114947,0.876690049922751,k2020,범위 밖
V2_up_080,10000,4.3,3.90238752346219,4.69761247653781,1.82,1.55799051426727,2.08200948573273,0.46,0.327368237495728,0.592631762504272,-4.22,-4.62178478806663,-3.81821521193337,4.3,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,k2020,경계
V2_up_085,2000,16.1,14.4888513475806,17.7111486524194,3.9,3.0513361732409,4.7486638267591,0.95,0.524763302601316,1.37523669739868,-14.7,-16.4168866881001,-12.9831133118999,16.1,V2,up,0.85,1.8895882838913,0.84979201720798,0.908672900227592,k2020,범위 안
V2_up_090,2000,16.65,15.0169419794394,18.2830580205606,2.6,1.90239779222222,3.29760220777778,0.85,0.447563358395663,1.25243664160434,-13.45,-15.3119657853131,-11.5880342146869,16.65,V2,up,0.9,1.55383983127497,0.899912094401934,0.9315026094201,k2020,범위 안
V2_up_095,2000,4.3,3.41073358489684,5.18926641510316,0.45,0.156594275414347,0.743405724585653,0.25,0.0310887148959588,0.468911285104041,-2.55,-3.62243965502775,-1.47756034497226,4.3,V2,up,0.95,1.25968052954441,0.950063392008423,0.961206351944925,k2020,범위 안
Vmax_down_105,2000,0.8,0.409480680792256,1.19051931920774,0.05,-0.0479981992270027,0.147998199227003,0.05,-0.0479981992270027,0.147998199227003,2.45,1.57435760283732,3.32564239716268,0.8,Vmax,down,1.05,0.919478686318879,1.05001990379714,1.01217086359975,k2020,범위 안
Vmax_down_111,2000,1.3,0.803439755236113,1.79656024476389,0.4,0.123304969726386,0.676695030273614,0.1,-0.0385557131705266,0.238555713170527,15,13.2825034084011,16.7174965915989,1.3,Vmax,down,1.11,0.830368437788396,1.11032156549658,1.02575418827004,k2020,범위 안
Vmax_down_118,2000,0.45,0.156594275414347,0.743405724585653,0.1,-0.0385557131705266,0.238555713170527,0,0,0,34,31.8821650073062,36.1178349926938,0.45,Vmax,down,1.18,0.735973164583606,1.1808257680927,1.040278756686,k2020,범위 안
Vmax_down_125,10000,0.01,-0.00959963984540054,0.0295996398454005,0.02,-0.0077166904099087,0.0477166904099087,0,0,0,24.88,24.032177321617,25.727822678383,0.01,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,k2020,경계
Vmax_down_133,2000,0,0,0,0,0,0,0,0,0,7,5.88150978711743,8.11849021288257,0,Vmax,down,1.33,0.565723431061283,1.32979650336999,1.06684559148656,k2020,범위 밖
Vmax_down_143,2000,0,0,0,0,0,0,0,0,0,0.6,0.261459593495079,0.938540406504921,0,Vmax,down,1.43,0.469758881670649,1.42995080505789,1.08204126176088,k2020,범위 밖
Vmax_up_070,2000,0,0,0,0,0,0,0,0,0,1.05,0.603168025631342,1.49683197436866,0,Vmax,up,0.7,1.65481709994318,0.700155713034782,0.904259678778729,k2020,범위 밖
Vmax_up_075,2000,0,0,0,0,0,0,0.05,-0.0479981992270027,0.147998199227003,5.7,4.68366947835841,6.71633052164159,0,Vmax,up,0.75,1.52156905315377,0.749455160050071,0.923315640421006,k2020,범위 밖
Vmax_up_080,10000,0.12,0.0521422122961089,0.187857787703891,0,0,0,0.04,0.00080660123034684,0.0791933987696532,20.53,19.7324885910553,21.3275114089447,0.12,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,k2020,경계
Vmax_up_085,2000,1.05,0.603168025631342,1.49683197436866,0,0,0,0.5,0.19080088905388,0.809199110946121,32.45,30.3015365515269,34.5984634484731,1.05,Vmax,up,0.85,1.28639694493697,0.849254708729738,0.957455687594177,k2020,범위 안
Vmax_up_090,2000,1.65,1.09156729104322,2.20843270895678,0.1,-0.0385557131705266,0.238555713170527,0.25,0.0310887148959588,0.468911285104041,18.45,16.5723610201989,20.3276389798011,1.65,Vmax,up,0.9,1.18281457301527,0.899492371275158,0.97271371320533,k2020,범위 안
Vmax_up_095,2000,1.65,1.09156729104322,2.20843270895678,0.1,-0.0385557131705266,0.238555713170527,0.15,-0.0196529274765803,0.31965292747658,3.05,1.95346145137303,4.14653854862697,1.65,Vmax,up,0.95,1.08757278975491,0.949782982372421,0.986870590587944,k2020,범위 안
ka_down_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.7,0.331767112784286,0.700552060312564,0.525880777076938,k2020,범위 밖
ka_down_075,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.75,0.371802666391447,0.74981686337192,0.575457851090309,k2020,범위 밖
ka_down_080,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,k2020,경계
ka_down_085,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.85,0.492842705875321,0.850521201585854,0.696946296833461,k2020,범위 안
ka_down_090,2000,0.05,-0.0479981992270027,0.147998199227003,0,0,0,0,0,0,-0.05,-0.147998199227003,0.0479981992270027,0.05,ka,down,0.9,0.589974625592356,0.900683300135716,0.773924982179518,k2020,범위 안
ka_down_095,2000,0.8,0.409480680792256,1.19051931920774,0,0,0,0.1,-0.0385557131705266,0.238555713170527,-0.7,-1.11474147943936,-0.28525852056064,0.8,ka,down,0.95,0.73432010114147,0.949415940898201,0.867451625298813,k2020,범위 안
ka_up_105,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,up,1.05,1.6350900158505,1.05040473267516,1.2139493066922,k2020,범위 안
ke_down_105,2000,1.8,1.21718101475868,2.38281898524132,0.35,0.0911105411853887,0.608889458814611,0.25,0.0310887148959588,0.468911285104041,0.9,-0.0290877492770663,1.82908774927707,1.8,ke,down,1.05,0.91398169946549,1.04999149514318,1.01419709970028,k2020,범위 안
ke_down_111,2000,5.15,4.18113341900513,6.11886658099487,1.25,0.762959302614073,1.73704069738593,0.45,0.156594275414347,0.743405724585653,4.75,3.06216538188707,6.43783461811293,5.15,ke,down,1.11,0.821700481888082,1.10985160054726,1.03014681071801,k2020,범위 안
ke_down_118,2000,4.05,3.18584490451548,4.91415509548453,1.9,1.30151537470212,2.49848462529788,0.25,0.0310887148959588,0.468911285104041,10.7,8.85805446254692,12.5419455374531,4.05,ke,down,1.18,0.726654763727681,1.1795949331385,1.04743304615673,k2020,범위 안
ke_down_125,10000,0.88,0.696940703263544,1.06305929673646,0.58,0.431159649858377,0.728840350141623,0.1,0.0380483966148605,0.16195160338514,6.34,5.7961739571008,6.88382604289921,0.88,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,k2020,경계
ke_down_133,2000,0,0,0,0,0,0,0,0,0,1.9,1.30151537470212,2.49848462529788,0,ke,down,1.33,0.558142112330146,1.32951528017153,1.08054500915374,k2020,범위 밖
ke_down_143,2000,0,0,0,0,0,0,0,0,0,0.1,-0.0385557131705266,0.238555713170527,0,ke,down,1.43,0.467300616700441,1.42888208108213,1.09991641922697,k2020,범위 밖
ke_up_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ke,up,0.7,1.7869643377153,0.700335003873731,0.892683454564335,k2020,범위 밖
ke_up_075,2000,0.05,-0.0479981992270027,0.147998199227003,0,0,0,0,0,0,0.35,0.0563324082571074,0.643667591742893,0.05,ke,up,0.75,1.61076153461771,0.750217685353932,0.913812693974581,k2020,범위 밖
ke_up_080,10000,1.23,1.01395964142501,1.44604035857499,0.31,0.20103765235548,0.41896234764452,0.12,0.0521422122961089,0.187857787703891,2.11,1.69303261709817,2.52696738290183,1.23,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,k2020,경계
ke_up_085,2000,4.75,3.81755979550355,5.68244020449645,1.2,0.7226787280153,1.6773212719847,0.45,0.156594275414347,0.743405724585653,6.8,5.05543811832003,8.54456188167997,4.75,ke,up,0.85,1.32158088956451,0.850186052409823,0.951797338861368,k2020,범위 안
ke_up_090,2000,6.1,5.05084559695276,7.14915440304724,1.1,0.642768458116565,1.55723154188343,0.85,0.447563358395663,1.25243664160434,4.55,2.76701166986255,6.33298833013745,6.1,ke,up,0.9,1.20157975976386,0.900299954696658,0.968963230311483,k2020,범위 안
ke_up_095,2000,1.95,1.34384624671529,2.55615375328471,0.2,0.00415072760084866,0.395849272399151,0.25,0.0310887148959588,0.468911285104041,0.7,-0.239699893206988,1.63969989320699,1.95,ke,up,0.95,1.09575520341669,0.949904907376391,0.984888718038693,k2020,범위 안
