model,scenario,mechanism,direction,target,multiplier,endpoint,truth_metric,true_ratio,truth_se_log,n_trials,mean_log_gmr,bias_log,bias_mc_se,bias_lo,bias_hi,bias_pct,toward_one,bias_toward_one_log,note
k2016,V2_up_080,V2,up,0.8,3.21003979693093,AUCinf_B,AUC0-inf,0.799717812019852,9.00561907600563e-05,10000,-0.229375809687919,-0.00587946117291005,0.000447334841520959,-0.00675622135132106,-0.00500270099449904,-0.586221096493511,FALSE,-0.00587946117291005,""
k2016,V2_up_080,V2,up,0.8,3.21003979693093,AUCinf_C,AUC0-inf,0.799717812019852,9.00561907600563e-05,10000,-0.230025168404984,-0.00652881988997439,0.000466803995752474,-0.00744373890948863,-0.00561390087046015,-0.650755345214671,FALSE,-0.00652881988997439,""
k2016,V2_up_080,V2,up,0.8,3.21003979693093,AUCinf_Ai,AUC0-inf,0.799717812019852,9.00561907600563e-05,10000,-0.228439567197065,-0.00494321868205613,0.000468439271739233,-0.0058613427836092,-0.00402509458050307,-0.493102108332932,FALSE,-0.00494321868205613,""
k2016,V2_up_080,V2,up,0.8,3.21003979693093,AUCinf_Ci,AUC0-inf,0.799717812019852,9.00561907600563e-05,10000,-0.231986339367156,-0.00848999085214647,0.000463259979162437,-0.00939796372678362,-0.00758201797750932,-0.845405265671062,FALSE,-0.00848999085214647,""
k2016,V2_up_080,V2,up,0.8,3.21003979693093,AUCinf_true,AUC0-inf,0.799717812019852,9.00561907600563e-05,10000,-0.223327958919532,0.000168389595476798,0.000437387984379197,-0.000688875101176996,0.00102565429213059,0.0168403773800563,TRUE,0.000168389595476798,reference: individual model AUC0-inf of trial subjects (no NCA)
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,Cmax,Cmax,0.93845337546823,9.67537810309154e-05,10000,-0.0692265002466237,-0.00570439621490952,0.000443096931561291,-0.00657285024242986,-0.00483594218738918,-0.568815703972392,FALSE,-0.00570439621490952,""
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUClast,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.239006249934689,-0.0151340013147996,0.000510033583800528,-0.0161336487699545,-0.0141343538596447,-1.50200578479555,FALSE,-0.0151340013147996,""
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUCinf_A,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.172935457288343,0.0509367913315464,0.000541743356181414,0.049874993864567,0.0519985887985259,5.22563794564837,TRUE,0.0509367913315464,""
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUCinf_B,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.190944764041008,0.032927484578882,0.000481065455328021,0.0319846136122327,0.0338703555455313,3.34755936060958,TRUE,0.032927484578882,""
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,AUCinf_C,AUC0-inf,0.799417254503779,0.000157345995261813,10000,-0.237794048625832,-0.0139218000059425,0.000512190821559601,-0.0149256755694113,-0.0129179244424737,-1.38253398998469,FALSE,-0.0139218000059425,""
