scenario,config,n_trials,pass_pct,lo,hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model
V2_up_085,AUCinf_only,2000,27.55,25.6364401991048,29.5496352238235,V2,up,0.85,2.33609006981602,0.849579037742249,0.9695041481082,k2016
V2_up_090,P2,2000,76.7,74.7971684653988,78.5004612097823,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_090,F3A,2000,65.65,63.5405775460677,67.6994188740291,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_090,F3B,2000,73.35,71.3688990047043,75.2415748872612,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_090,F3C,2000,75.2,73.2602490760162,77.0431317410087,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_090,G2,2000,70.65,68.6162431610389,72.6045827862454,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_090,AUClast_only,2000,76.7,74.7971684653988,78.5004612097823,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_090,AUCinf_only,2000,70.7,68.6671394211088,72.6534948214473,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016
V2_up_095,P2,2000,97.25,96.4376888484893,97.8811501834323,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,F3A,2000,94.1,92.9803385148102,95.0505779149833,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,F3B,2000,96.7,95.8232230539599,97.397724729971,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,F3C,2000,96.85,95.9901769281841,97.5301957415626,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,G2,2000,95.1,94.0644363302617,95.9626460049693,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,AUClast_only,2000,97.25,96.4376888484893,97.8811501834323,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,AUCinf_only,2000,95.1,94.0644363302617,95.9626460049693,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
Vmax_down_105,P2,2000,96.5,95.6012715184728,97.2204430843706,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,F3A,2000,95.5,94.5009304018773,96.3246182955287,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,F3B,2000,96.4,95.4905586845781,97.1315393277216,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,F3C,2000,96.5,95.6012715184728,97.2204430843706,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,G2,2000,97.05,96.2134910896086,97.7061147612255,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,AUClast_only,2000,96.5,95.6012715184728,97.2204430843706,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,AUCinf_only,2000,97.05,96.2134910896086,97.7061147612255,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_111,P2,2000,74.8,72.8509268546739,76.653987600176,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_111,F3A,2000,73.15,71.1646930037856,75.0465477070924,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_111,F3B,2000,74.7,72.748629774965,76.5566680893411,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_111,F3C,2000,74.6,72.6463459802039,76.4593352935585,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_111,G2,2000,86.3,84.723299119359,87.737523248022,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_111,AUClast_only,2000,74.8,72.8509268546739,76.653987600176,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_111,AUCinf_only,2000,86.35,84.7755108756256,87.7851197870273,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016
Vmax_down_118,P2,2000,26,24.1249376083328,27.9670806611673,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
Vmax_down_118,F3A,2000,25.55,23.6866886964842,27.5070549155691,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
Vmax_down_118,F3B,2000,25.9,24.0275261694843,27.8648755094721,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
Vmax_down_118,F3C,2000,25.8,23.9301277134751,27.7626573749375,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
Vmax_down_118,G2,2000,58.85,56.6783280940379,60.987740169084,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
Vmax_down_118,AUClast_only,2000,26,24.1249376083328,27.9670806611673,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
Vmax_down_118,AUCinf_only,2000,58.85,56.6783280940379,60.987740169084,Vmax,down,1.18,0.742622715127721,1.18042880851468,1.04107033396906,k2016
