scenario,config,n_trials,pass_pct,lo,hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model
Km_up_105,AUClast_only,2000,95.3,94.2824557528353,96.1438597634831,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
Km_up_105,AUCinf_only,2000,99.15,98.6429310262214,99.4686232260315,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
S00,P2,10000,99.55,99.3984428906251,99.6635028708408,동일,-,1,1,1,1,k2016
S00,F3A,10000,99.07,98.8621207500376,99.2401936498642,동일,-,1,1,1,1,k2016
S00,F3B,10000,99.54,99.3870194284531,99.6549340129802,동일,-,1,1,1,1,k2016
S00,F3C,10000,99.51,99.3528391576189,99.6291373237167,동일,-,1,1,1,1,k2016
S00,G2,10000,99.33,99.1500780525033,99.4720366682458,동일,-,1,1,1,1,k2016
S00,AUClast_only,10000,99.58,99.4328104183776,99.6891123031862,동일,-,1,1,1,1,k2016
S00,AUCinf_only,10000,99.36,99.1836359609497,99.4984557198971,동일,-,1,1,1,1,k2016
V2_down_105,P2,2000,96.8,95.9344768948039,97.4860874796708,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_down_105,F3A,2000,92.75,91.5297093270082,93.8063831304447,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_down_105,F3B,2000,96.15,95.2144892976008,96.9085672383395,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_down_105,F3C,2000,96.65,95.767667135723,97.3534723529362,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_down_105,G2,2000,93.4,92.2265401599956,94.4070601359917,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_down_105,AUClast_only,2000,96.85,95.9901769281841,97.5301957415626,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_down_105,AUCinf_only,2000,93.45,92.280261465747,94.4531471255121,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016
V2_up_095,P2,2000,97.25,96.4376888484893,97.8811501834323,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,F3A,2000,94.1,92.9803385148102,95.0505779149833,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,F3B,2000,96.7,95.8232230539599,97.397724729971,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,F3C,2000,96.85,95.9901769281841,97.5301957415626,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,G2,2000,95.1,94.0644363302617,95.9626460049693,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,AUClast_only,2000,97.25,96.4376888484893,97.8811501834323,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
V2_up_095,AUCinf_only,2000,95.1,94.0644363302617,95.9626460049693,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016
Vmax_down_105,P2,2000,96.5,95.6012715184728,97.2204430843706,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,F3A,2000,95.5,94.5009304018773,96.3246182955287,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,F3B,2000,96.4,95.4905586845781,97.1315393277216,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,F3C,2000,96.5,95.6012715184728,97.2204430843706,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,G2,2000,97.05,96.2134910896086,97.7061147612255,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,AUClast_only,2000,96.5,95.6012715184728,97.2204430843706,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_down_105,AUCinf_only,2000,97.05,96.2134910896086,97.7061147612255,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016
Vmax_up_095,P2,2000,95.85,94.8844450828448,96.6397616814643,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
Vmax_up_095,F3A,2000,94.65,93.5754264314357,95.5533812463484,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
Vmax_up_095,F3B,2000,95.65,94.665102369076,96.4598712141456,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
Vmax_up_095,F3C,2000,95.6,94.6103473295914,96.4148179583583,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
Vmax_up_095,G2,2000,97.35,96.5501476639623,97.9683079585031,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
Vmax_up_095,AUClast_only,2000,95.85,94.8844450828448,96.6397616814643,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
Vmax_up_095,AUCinf_only,2000,97.35,96.5501476639623,97.9683079585031,Vmax,up,0.95,1.08594365380924,0.949938537515853,0.986460696182769,k2016
ka_down_095,P2,2000,64.9,62.7815004848837,66.9613715061349,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_down_095,F3A,2000,64.3,62.1746461104072,66.370526337349,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_down_095,F3B,2000,64.9,62.7815004848837,66.9613715061349,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_down_095,F3C,2000,64.85,62.7309155321096,66.9121481636372,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_down_095,G2,2000,64.4,62.2757635689194,66.4690254693805,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_down_095,AUClast_only,2000,95.4,94.3916344427933,96.2342976640689,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_down_095,AUCinf_only,2000,96.85,95.9901769281841,97.5301957415626,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016
ka_up_105,P2,2000,52.4,50.2087127397443,54.5820854333057,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ka_up_105,F3A,2000,52.3,50.1086988268122,54.482482755694,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ka_up_105,F3B,2000,52.4,50.2087127397443,54.5820854333057,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ka_up_105,F3C,2000,52.4,50.2087127397443,54.5820854333057,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ka_up_105,G2,2000,52.3,50.1086988268122,54.482482755694,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ka_up_105,AUClast_only,2000,97.25,96.4376888484893,97.8811501834323,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ka_up_105,AUCinf_only,2000,97.9,97.1736989530377,98.4426479174182,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016
ke_down_105,P2,2000,96.55,95.6566923128875,97.2648305852278,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
ke_down_105,F3A,2000,93.85,92.710691976847,94.8211829765871,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
ke_down_105,F3B,2000,96.4,95.4905586845781,97.1315393277216,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016
