model,config,ratio,pass_pct
k2016,F3A,0.426936924232538,2.22044604925031e-14
k2016,F3A,0.430297880441017,2.22044604925031e-14
k2016,F3A,0.433685294952806,2.22044604925031e-14
k2016,F3A,0.437099376054406,2.22044604925031e-14
k2016,F3A,0.440540333672006,2.22044604925031e-14
k2016,F3A,0.444008379384384,2.22044604925031e-14
k2016,F3A,0.447503726435922,2.22044604925031e-14
k2016,F3A,0.451026589749715,2.22044604925031e-14
k2016,F3A,0.454577185940788,2.22044604925031e-14
k2016,F3A,0.458155733329415,2.22044604925031e-14
k2016,F3A,0.461762451954542,2.22044604925031e-14
k2016,F3A,0.465397563587318,2.22044604925031e-14
k2016,F3A,0.469061291744731,2.22044604925031e-14
k2016,F3A,0.472753861703351,2.22044604925031e-14
k2016,F3A,0.476475500513184,2.22044604925031e-14
k2016,F3A,0.48022643701163,2.22044604925031e-14
k2016,F3A,0.484006901837556,2.22044604925031e-14
k2016,F3A,0.487817127445477,2.22044604925031e-14
k2016,F3A,0.491657348119849,2.22044604925031e-14
k2016,F3A,0.495527799989474,2.22044604925031e-14
k2016,F3A,0.499428721042022,2.22044604925031e-14
k2016,F3A,0.503360351138661,2.22044604925031e-14
k2016,F3A,0.507322932028807,2.22044604925031e-14
k2016,F3A,0.511316707364991,2.22044604925031e-14
k2016,F3A,0.515341922717837,2.22044604925031e-14
k2016,F3A,0.519398825591164,2.22044604925031e-14
k2016,F3A,0.523487665437203,2.22044604925031e-14
k2016,F3A,0.527608693671939,2.22044604925031e-14
k2016,F3A,0.531762163690565,2.22044604925031e-14
k2016,F3A,0.535948330883068,2.22044604925031e-14
k2016,F3A,0.540167452649928,2.22044604925031e-14
k2016,F3A,0.544419788417947,2.22044604925031e-14
k2016,F3A,0.548705599656203,2.22044604925031e-14
k2016,F3A,0.553025149892124,2.22044604925031e-14
k2016,F3A,0.557378704727692,2.22044604925031e-14
k2016,F3A,0.561766531855777,2.22044604925031e-14
k2016,F3A,0.566188901076595,2.22044604925031e-14
