model,config,truth,metric,scope,pct,lo,hi,n_products
k2020,AUClast_only,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.212765957446809,0.134631345812528,0.336094139943977,8460
k2020,AUClast_only,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.640512409927942,0.394646920967475,1.03795619999883,2498
k2020,AUClast_only,AUC0-inf,생산자 위험(범위 안 불통과),전체,39.5147313691508,38.6263936772761,40.4100474534112,11540
k2020,AUClast_only,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,87.3367198838897,86.0429316826769,88.5265691639189,2756
k2020,AUClast_only,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,4.80225988700565,4.39147170674595,5.24936434759279,9558
k2020,AUClast_only,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,37.3778969546064,36.4547415141159,38.3103359533953,10442
k2020,AUCinf_only,AUC0-inf,소비자 위험(범위 밖 통과),전체,2.06855791962175,1.78631205732225,2.39431278710857,8460
k2020,AUCinf_only,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,6.36509207365893,5.47312808074734,7.39105472691954,2498
k2020,AUCinf_only,AUC0-inf,생산자 위험(범위 안 불통과),전체,32.842287694974,31.991260914267,33.7047336632213,11540
k2020,AUCinf_only,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,73.1494920174166,71.4635179255298,74.7710219579766,2756
k2020,AUCinf_only,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,6.87382297551789,6.38373106567639,7.39856666950515,9558
k2020,AUCinf_only,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,30.3964757709251,29.5215843787411,31.2857855575225,10442
