variant,schedule,n_points,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo
base,D3,17,20000,35.5862544437405,20.9970084561268,51.8017316977028,3.3,99.055,89.675,82.425,9.38,0.65,8.11,89.32,4,48.0944929584574,1.0132877901964,7.6737277932436,0.656201100398768,0.195823561447461,2.94385734218346,0,-0.0252882504950223,0.0934615261474971,0.094371140700684,-0.0307773053093374,550.113792630324,40.3242761089233,591.961070297508,36.2771636580098,34.3028602797591,38.2546210777045,573.933981047484,570.132633582031
base,D4,15,20000,35.1698172795586,20.9982860189863,49.4411410786677,3.335,98.57,86.865,79.905,11.705,1,8.415,86.305,3,50.6949376077914,1.60558350394823,11.439351564621,1.01450745662981,0.315365472291218,3.61185397996125,0,-0.0269316426812594,0.0946683028000045,0.0957450615832154,-0.0354097469522056,547.505514134157,40.4618509968577,589.497446372588,36.2768009452102,34.3049898699054,38.2544317383295,580.747817498458,570.132633582031
iiv150,B0,13,20000,34.7010340897832,20.5375264047412,55.3692721251398,6.51,97.81,85.675,78.165,12.135,1.865,10.13,84.775,3,52.4281770780084,2.88042264273855,13.4769813117008,1.90675800020448,0.709557472322719,4.35513374526484,0,-0.0272757945873554,0.0938412455357959,0.0951525241587505,-0.039468279237273,530.823673299701,50.6575512850839,591.568001123316,35.398976550744,41.545028207652,38.1103905238554,583.133698472923,554.861837097013
iiv150,Bminus,12,20000,34.7010340897832,20.5375264047412,55.3906528569758,6.62,97.765,85.875,75.925,11.89,2.32,13.1,84.71,3,52.7335958676418,3.54297310274953,15.1029640264931,2.37303738556743,0.956397422527139,4.8234269773037,0,-0.0276017545935364,0.0940081632643264,0.0951983064268406,-0.0420942933159554,529.357802470168,50.3142901953527,589.053766363112,35.398976550744,41.545028207652,38.1103905238554,578.791192196545,554.861837097013
iiv150,D1,15,20000,35.603982926812,20.5375264047412,55.3614130123286,6.46,97.865,86.71,77.95,11.155,1.74,11.015,85.86,3,51.1674245133602,1.66620488591916,12.8927683276256,1.77795943391407,0.347004634658676,4.34987871122404,0,-0.0261305372928356,0.093362000912908,0.0949438909364277,-0.0362332998056976,532.465128642777,50.8116222585584,593.675967425466,35.3993394174437,41.5438650499415,38.1106334159767,573.9696852955,554.861837097013
iiv150,D2,16,20000,35.603982926812,20.5375264047412,55.3448432593374,6.38,97.865,86.385,78.265,11.48,1.745,10.385,85.545,3,51.0499157001993,1.51993123900832,12.8527349999862,1.78306851274715,0.300215572696316,4.34987871122404,0,-0.0259391389443065,0.0933312530464413,0.0949541444360636,-0.0357370402970882,532.630977708346,50.8544120436365,593.976357295138,35.3993394174437,41.5438650499415,38.1106334159767,574.202201689806,554.861837097013
iiv150,D3,17,20000,35.5982190878131,20.5328455748502,55.3448432593374,6.38,98.405,88.47,79.87,9.935,1.28,10.17,87.845,4,48.8135765459072,1.12104265965726,10.3946669965119,1.3007469132666,0.224444112671834,4.06183883165195,0,-0.0244028011343433,0.0924064584219665,0.0938787010803495,-0.0320454940966328,534.69811890223,50.7494061423578,595.933062833965,35.4016921196622,41.5379405678205,38.1124541583919,566.211468932808,554.861837097013
iiv150,D4,15,20000,35.1433229763061,20.5375264047412,55.3558561116224,6.435,97.855,86.145,78.015,11.71,1.74,10.45,85.305,3,51.0857901997854,1.71585828596441,12.9333397591074,1.77814112717797,0.360983788190822,4.35083458234438,0,-0.0262754777418979,0.093477022595903,0.0950589987715571,-0.0362472354992681,532.396254795341,50.8215899851986,593.633508358732,35.3989904078561,41.544991685914,38.1104004807611,574.744212298382,554.861837097013
resid12,B0,13,20000,34.755741215311,21.0626315925038,49.4959681394044,3.315,99.48,94.665,87.86,4.815,0.54,7.155,94.245,3,52.9000804181745,2.91309552980498,10.6983759966483,0.542822677925211,0.643297614575916,3.57719444394246,0,-0.021604432935451,0.0461776861964671,0.0478267154535651,-0.03239377498968,550.546936924705,38.5619252220383,589.076621223452,33.216245769739,31.6411570916179,34.7536699483421,579.791175783802,569.822270268252
resid12,Bminus,12,20000,34.7614139996003,21.0626315925038,42.8800023013959,3.515,99.475,95.615,85.815,3.86,0.61,10.165,95.13,3,52.4604171902488,3.49051731920461,11.8340245827815,0.613219401859764,0.821196777461419,4.06172419604125,0,-0.0217366052696086,0.0462633250221721,0.0478063945165629,-0.0345491396821636,549.397978375549,38.2685335097398,587.19555122083,33.216245769739,31.6411570916179,34.7536699483421,576.316523473705,569.822270268252
