variant,schedule,lambda_fail,rsq,extrap,span,n,pct
iiv150,D2,TRUE,FALSE,FALSE,FALSE,427,2.135
iiv150,D2,FALSE,TRUE,FALSE,TRUE,273,1.365
iiv150,D2,FALSE,TRUE,TRUE,TRUE,180,0.9
iiv150,D2,FALSE,FALSE,TRUE,TRUE,168,0.84
iiv150,D2,FALSE,TRUE,TRUE,FALSE,1,0.005
iiv150,D3,FALSE,FALSE,FALSE,FALSE,15974,79.87
iiv150,D3,FALSE,TRUE,FALSE,FALSE,1671,8.355
iiv150,D3,FALSE,FALSE,FALSE,TRUE,1595,7.975
iiv150,D3,TRUE,FALSE,FALSE,FALSE,319,1.595
iiv150,D3,FALSE,TRUE,FALSE,TRUE,185,0.925
iiv150,D3,FALSE,TRUE,TRUE,TRUE,131,0.655
iiv150,D3,FALSE,FALSE,TRUE,TRUE,123,0.615
iiv150,D3,FALSE,FALSE,TRUE,FALSE,2,0.01
iiv150,D4,FALSE,FALSE,FALSE,FALSE,15603,78.015
iiv150,D4,FALSE,TRUE,FALSE,FALSE,1876,9.38
iiv150,D4,FALSE,FALSE,FALSE,TRUE,1458,7.29
iiv150,D4,TRUE,FALSE,FALSE,FALSE,429,2.145
iiv150,D4,FALSE,TRUE,FALSE,TRUE,286,1.43
iiv150,D4,FALSE,TRUE,TRUE,TRUE,178,0.89
iiv150,D4,FALSE,FALSE,TRUE,TRUE,168,0.84
iiv150,D4,FALSE,TRUE,TRUE,FALSE,2,0.01
resid12,B0,FALSE,FALSE,FALSE,FALSE,17572,87.86
resid12,B0,FALSE,FALSE,FALSE,TRUE,1277,6.385
resid12,B0,FALSE,TRUE,FALSE,FALSE,893,4.465
resid12,B0,TRUE,FALSE,FALSE,FALSE,104,0.52
resid12,B0,FALSE,FALSE,TRUE,TRUE,84,0.42
resid12,B0,FALSE,TRUE,FALSE,TRUE,46,0.23
resid12,B0,FALSE,TRUE,TRUE,TRUE,24,0.12
resid12,Bminus,FALSE,FALSE,FALSE,FALSE,17163,85.815
resid12,Bminus,FALSE,FALSE,FALSE,TRUE,1863,9.315
resid12,Bminus,FALSE,TRUE,FALSE,FALSE,699,3.495
resid12,Bminus,TRUE,FALSE,FALSE,FALSE,105,0.525
resid12,Bminus,FALSE,FALSE,TRUE,TRUE,97,0.485
resid12,Bminus,FALSE,TRUE,FALSE,TRUE,48,0.24
resid12,Bminus,FALSE,TRUE,TRUE,TRUE,25,0.125
resid12,D1,FALSE,FALSE,FALSE,FALSE,16981,84.905
resid12,D1,FALSE,FALSE,FALSE,TRUE,1799,8.995
resid12,D1,FALSE,TRUE,FALSE,FALSE,974,4.87
resid12,D1,TRUE,FALSE,FALSE,FALSE,102,0.51
resid12,D1,FALSE,FALSE,TRUE,TRUE,85,0.425
resid12,D1,FALSE,TRUE,FALSE,TRUE,37,0.185
resid12,D1,FALSE,TRUE,TRUE,TRUE,22,0.11
resid12,D2,FALSE,FALSE,FALSE,FALSE,17106,85.53
resid12,D2,FALSE,FALSE,FALSE,TRUE,1631,8.155
resid12,D2,FALSE,TRUE,FALSE,FALSE,1017,5.085
resid12,D2,TRUE,FALSE,FALSE,FALSE,102,0.51
resid12,D2,FALSE,FALSE,TRUE,TRUE,85,0.425
resid12,D2,FALSE,TRUE,FALSE,TRUE,37,0.185
resid12,D2,FALSE,TRUE,TRUE,TRUE,22,0.11
resid12,D3,FALSE,FALSE,FALSE,FALSE,16841,84.205
resid12,D3,FALSE,FALSE,FALSE,TRUE,2096,10.48
resid12,D3,FALSE,TRUE,FALSE,FALSE,883,4.415
resid12,D3,TRUE,FALSE,FALSE,FALSE,79,0.395
resid12,D3,FALSE,FALSE,TRUE,TRUE,67,0.335
resid12,D3,FALSE,TRUE,FALSE,TRUE,20,0.1
resid12,D3,FALSE,TRUE,TRUE,TRUE,14,0.07
resid12,D4,FALSE,FALSE,FALSE,FALSE,16905,84.525
resid12,D4,FALSE,FALSE,FALSE,TRUE,1739,8.695
resid12,D4,FALSE,TRUE,FALSE,FALSE,1110,5.55
resid12,D4,TRUE,FALSE,FALSE,FALSE,102,0.51
resid12,D4,FALSE,FALSE,TRUE,TRUE,85,0.425
resid12,D4,FALSE,TRUE,FALSE,TRUE,37,0.185
resid12,D4,FALSE,TRUE,TRUE,TRUE,22,0.11
weight_alt,B0,FALSE,FALSE,FALSE,FALSE,16365,81.825
