variant,model_label,model_label_en,schedule,n,n_lambda_ok,span_flag_pct_of_lambda_ok,min_3pt_nominal_window_days,lower_median,lower_p05,lower_p95,lower_mean,upper_median,upper_p05,upper_p95,upper_mean,window_median,window_p05,window_p95,window_mean,npts_median,npts_p05,npts_p95,npts_mean,npts3_pct,npts4_pct,npts5_pct,npts6plus_pct,HL_median,HL_p05,HL_p95,HL_mean,span_median,span_p05,span_p95,span_mean,rsq_median,rsq_p05,rsq_p95,rsq_mean
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D3,20000,19933,11.8948477399288,7,28.2473886758089,6.97734855355229,44.1528029035777,26.0274192759317,37.9126280029304,27.0392532666214,55.1820496818051,38.6545481457445,10.0922767682932,5.9417542421259,27.3993161030812,12.6271288698128,3,3,7,4.07174033010586,51.8737771534641,21.7980233783174,11.1975116640747,15.1306878041439,3.62490418754203,1.57979393581049,7.5893967712917,4.01503011389141,3.14900781890199,1.68944965862434,5.46223527211651,3.29734321821925,0.936174611755598,0.788652997105807,0.998619945556507,0.920579748629672
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D4,20000,19880,11.6549295774648,7,20.8499622850213,6.87662944885669,42.3612706215819,22.4159457874716,38.7185986568996,27.0137271785643,55.1916730910074,38.0866461613263,13.9602505590301,6.39542510872707,31.5803097446391,15.6707003738547,3,3,7,3.98963782696177,53.013078470825,21.7756539235412,11.6951710261569,13.5160965794769,4.70393117244717,1.90591278659499,8.63531086038105,4.93162144012004,3.18288465184672,1.66458102766294,5.76663930881082,3.37201738446246,0.931283745547632,0.774048927553407,0.998397986933938,0.91445453919247
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),B0,20000,19946,6.91868043718039,14,20.3713597960304,6.86888662696583,35.8888102503261,19.738788103513,41.3113468175288,27.3699838777538,56.0747215179727,40.2478889934053,18.3836490355316,12.8410281311953,36.6078223433287,20.5091008898923,4,3,7,4.13772184899228,46.5306327083124,21.8840870349945,14.7999598917076,16.7853203649855,5.74068205541569,2.82312698048805,10.8963702555187,6.19805129571117,3.40219589986711,1.86802150680083,6.00140508504443,3.58056884292846,0.936172184447018,0.765841009702861,0.998851089771155,0.914553860767651
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),Bminus,20000,19942,11.2877344298466,14,20.1174611668102,6.85626557993819,34.4674404276069,18.40538086613,41.2061601255555,27.3698547783773,56.0885471852264,39.1250287057237,20.2642702313606,12.9241356480168,34.8821501872735,20.7196478395938,4,3,7,4.05932203389831,46.9561729014141,22.6857887874837,15.3244408785478,15.0335974325544,6.19751464417925,3.03048897023627,12.8047515414714,7.22498776564028,3.16597180550845,1.64787561417706,5.85974593902856,3.36716449440981,0.941607999456304,0.761828814171122,0.998992968863382,0.916886595589312
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D1,20000,19948,9.29917786244235,7,21.639787472086,6.87659033669624,42.91676328592,24.0684158186711,41.5964692663401,27.3685917928815,56.0680566351861,41.1428631836698,14.1935983947478,6.33627475521062,35.9299683997407,17.0744473649987,4,3,8,4.43392821335472,44.8315620613595,20.4180870262683,12.2769199919791,22.473430920393,4.53819306264815,1.84685955595118,9.98647100955378,5.05897437693131,3.44818751491354,1.69723355102996,5.82938615576397,3.56624828110156,0.935271691443908,0.777962085350733,0.998731301066301,0.917673575212177
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D2,20000,19948,8.70262682975737,7,21.769442637451,6.88014256030438,45.7213948738296,24.7541255826733,41.5964692663401,27.3685917928815,56.0655009149574,41.3750957017084,14.0245004311437,6.16161093120463,35.8699081780796,16.6209701190352,4,3,9,4.46636254261079,44.9418488068979,20.403047924604,12.2418287547624,22.4132745137357,4.3403619910997,1.74975234754036,9.29993432094493,4.81727471940919,3.50001672541378,1.73185784629381,5.826634880484,3.60635183573503,0.932976809473301,0.775992016337582,0.998621564280563,0.916005776321477
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D3,20000,19978,9.78075883471819,7,28.5905545158312,6.93100429575425,45.7084412873024,26.8955466807517,41.5837273902725,28.3312741833506,56.0646903237328,41.6584784064493,10.8835179066518,5.9441879587248,34.7039639210678,14.7629317256976,4,3,9,4.64901391530684,43.2225447992792,19.3763139453399,11.7979777755531,25.6031634798278,3.7153111081573,1.60653235351151,8.90017589669407,4.3574589778634,3.44653179055951,1.66963593204132,5.60739795295235,3.52060178490786,0.934326461671269,0.78662507763506,0.998595016014125,0.919304712610537
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D4,20000,19948,9.02847403248446,7,21.3086921451613,6.86592518134276,45.2067323430053,23.7461803656111,41.4605767386966,27.3685917928815,56.0669882917777,41.1463928596936,14.3096945883008,6.42610782762058,35.9843205093406,17.4002124940824,4,3,8,4.42741126930018,45.0972528574293,19.8014838580309,12.7331060757971,22.3681572087427,4.60692013340753,1.89772528644483,9.86357160909324,5.08848917680329,3.49178499988665,1.71861751954964,5.89097709406627,3.60292431903617,0.93350937488404,0.771435948930452,0.998801869873657,0.915407740074084
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),B0,20000,19188,13.1905357515114,14,13.7707370421267,6.77462935122312,27.6684136650525,13.6225237902111,28.3014859019313,20.2568129709922,42.5654014776926,29.9080492324921,14.395737097133,10.3808893858164,27.4757110189647,16.2855254422811,3,3,6,3.6749530956848,57.6454033771107,25.0364811340421,11.5540963101939,5.76401917865333,5.05496413997446,2.53538635634272,9.39452582873204,5.49286917970665,3.12371806412553,1.55335009094987,6.16909737336052,3.37490744637062,0.924878662216846,0.684913523267797,0.998847415739125,0.889381834077473
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),Bminus,20000,19187,14.066816073383,14,13.7673486851854,6.77524275940377,27.3466580407228,13.4369824052137,28.3014785377309,20.256773284357,42.220402499754,29.7414814714848,14.4166443428257,10.3808705139789,27.5349699164275,16.3044990662711,3,3,6,3.67092302079533,57.4920519101475,25.2462604888727,11.6328764267473,5.62881117423255,5.11731013907242,2.55808809062303,9.83323357799567,5.611869237109,3.0772008711983,1.520143083365,6.12992530918308,3.33219541694227,0.92550650271869,0.681713937182036,0.998864468139841,0.889497209835771
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D1,20000,19201,12.8743294620072,7,13.7880920146126,6.78138378472067,35.4518497730605,14.9952860392362,28.303850821685,20.257328897249,44.8537407242693,30.3524780131296,14.1088587729028,7.19568795221858,27.420919699478,15.3571919738935,3,3,6,3.75600229154732,56.2418624029998,24.7747513150357,11.2598302171762,7.72355606478829,4.63747716888912,2.12043460738167,8.70273968889338,5.01926832460092,3.23913706002809,1.55348594682962,6.15778316941596,3.46262550408273,0.921651846742708,0.687884071820224,0.998659755439077,0.888217387384727
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D2,20000,19201,12.6816311650435,7,13.7890001076739,6.78138378472067,35.4966698596254,15.0487849565247,28.303850821685,20.257328897249,44.8489790293388,30.3792333545441,14.1031753034331,7.15307973977178,27.4071700602071,15.3304483980194,3,3,6,3.75855424196656,56.200197906359,24.8476641841571,11.1712931618145,7.78084474766939,4.62244524295841,2.08865252082921,8.66886606482156,4.99541061540143,3.25103662006645,1.55799981550456,6.15778316941596,3.47209799900979,0.921459011554702,0.687884071820224,0.998651563457601,0.888092020716831
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D3,20000,19355,11.0100749160424,7,13.9490295934957,6.79825831314083,35.3731222960167,17.2048788675618,30.7419460145757,20.2607618109789,44.8096597865224,31.0038781465472,12.4486198751256,6.35342689589597,24.9857116144383,13.7989992789854,3,3,7,3.9036941358822,52.963058641178,23.7664686127616,12.2035649702919,11.0669077757685,3.9567632533155,1.69806318636911,7.63498658246134,4.30021706027927,3.40606132406397,1.61553971552816,6.02776562904358,3.55469148428049,0.92172729071294,0.709913665914404,0.998518799397544,0.8929352747471
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D4,20000,19199,12.6881608417105,7,13.7870207396336,6.77826473278692,35.2453625482041,14.7727502979174,28.3007804723457,20.2572495239787,45.5471944286488,30.3120997397152,14.1522998483852,7.25492048589513,27.4741375373094,15.5393494417977,3,3,6,3.74253867388927,56.6175321631335,24.579405177353,11.4068441064639,7.39621855304964,4.69180548390093,2.17578323565729,8.69841980928965,5.0734941774035,3.2444406328769,1.55810900073034,6.16847902397479,3.46337465326301,0.92102714922873,0.687879959707889,0.998672762975327,0.887423454198195
