variant,model_label,model_label_en,schedule,n,added_points,reliable_i_B0_pct,reliable_i_pct,gain_i_pp,gain_i_lo,gain_i_hi,n_i_gained,n_i_lost,reliable_ii_B0_pct,reliable_ii_pct,gain_ii_pp,gain_ii_lo,gain_ii_hi,n_ii_gained,n_ii_lost,span_only_loss_B0_pct,span_only_loss_pct,flag_span_B0_pct,flag_span_pct,flag_span_change_pp,n_reliable_to_span,n_span_to_reliable,crit_c_threshold_pp,crit_c_i,crit_c_ii,d_extrap20_B0,d_extrap20,d_extrap20_ratio,crit_d,decision_c_reliable_gain_pp,decision_match_0.01pp,crit_a,crit_b,recommend_decision,recommend_ii,recommend_i
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D3,20000,4,84.775,87.845,3.07,2.57481539371827,3.56518460628173,1593,979,78.165,79.87,1.705,1.08758144687048,2.32241855312952,2158,1817,6.61000000000001,7.975,10.13,10.17,0.0399999999999998,977,874,5,FALSE,FALSE,1.90675800020448,1.3007469132666,0.682177241751241,FALSE,,,,,,,
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D4,20000,2,84.775,85.305,0.53,0.173752043703936,0.886247956296064,714,608,78.165,78.015,-0.15,-0.615885129807503,0.315885129807502,1115,1145,6.61000000000001,7.29,10.13,10.45,0.319999999999999,639,500,5,FALSE,FALSE,1.90675800020448,1.77814112717797,0.932546829218643,FALSE,,,,,,,
resid12,잔차: 비례 12%,Proportional residual 12%,Bminus,20000,-1,94.245,95.13,0.885,0.741827273010965,1.02817272698903,196,19,87.86,85.815,-2.045,-2.32880215621126,-1.76119784378874,219,628,6.385,9.31500000000001,7.155,10.165,3.01,625,87,5,FALSE,FALSE,0.542822677925211,0.613219401859764,1.12968640920388,FALSE,,,,,,,
resid12,잔차: 비례 12%,Proportional residual 12%,D1,20000,2,94.245,93.9,-0.345,-0.641727120991363,-0.0482728790086375,424,493,87.86,84.905,-2.955,-3.42187163204278,-2.48812836795722,848,1439,6.385,8.995,7.155,9.715,2.56,954,437,5,FALSE,FALSE,0.542822677925211,0.537742486682079,0.990641158798763,FALSE,,,,,,,
resid12,잔차: 비례 12%,Proportional residual 12%,D2,20000,3,94.245,93.685,-0.56,-0.861321766182675,-0.258678233817326,417,529,87.86,85.53,-2.33,-2.79332051679961,-1.86667948320039,890,1356,6.385,8.155,7.155,8.875,1.72,836,486,5,FALSE,FALSE,0.542822677925211,0.537742486682079,0.990641158798763,FALSE,-2.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
resid12,잔차: 비례 12%,Proportional residual 12%,D3,20000,4,94.245,94.685,0.44,0.072058418823801,0.807941581176199,749,661,87.86,84.205,-3.655,-4.23678735239964,-3.07321264760036,1410,2141,6.385,10.48,7.155,10.985,3.83,1491,723,5,FALSE,FALSE,0.542822677925211,0.406606094071583,0.749058782189649,FALSE,,,,,,,
resid12,잔차: 비례 12%,Proportional residual 12%,D4,20000,2,94.245,93.22,-1.025,-1.30680916991046,-0.743190830089539,312,517,87.86,84.525,-3.335,-3.78970142135007,-2.88029857864993,754,1421,6.385,8.69500000000001,7.155,9.415,2.26,937,453,5,FALSE,FALSE,0.542822677925211,0.537742486682079,0.990641158798763,FALSE,,,,,,,
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",Bminus,20000,-1,87.17,87.105,-0.065,-0.273119682839634,0.143119682839634,219,232,81.825,79.535,-2.29,-2.58522633377505,-1.99477366622495,230,688,5.345,7.57,7.48,10.43,2.95,582,73,5,FALSE,FALSE,0.855306442633737,1.2452543659833,1.45591603653633,FALSE,,,,,,,
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D1,20000,2,87.17,87.685,0.515,0.128118365826561,0.901881634173439,831,728,81.825,80.99,-0.835,-1.32496458848828,-0.345035411511724,1167,1334,5.345,6.69500000000001,7.48,8.425,0.945,679,430,5,FALSE,FALSE,0.855306442633737,0.738417964798705,0.863337311624711,FALSE,,,,,,,
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D2,20000,3,87.17,87.52,0.35,-0.046116030078994,0.746116030078994,852,782,81.825,81.295,-0.53,-1.02170923153016,-0.0382907684698435,1206,1312,5.345,6.225,7.48,7.955,0.474999999999999,610,450,5,FALSE,FALSE,0.855306442633737,0.733360307505564,0.857424042367008,FALSE,-0.53,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D3,20000,4,87.17,90.27,3.1,2.5931575441282,3.6068424558718,1657,1037,81.825,83.255,1.43,0.803109050236725,2.05689094976328,2191,1905,5.345,7.01499999999999,7.48,8.005,0.524999999999999,981,787,5,FALSE,FALSE,0.855306442633737,0.498564737875812,0.582907731105809,FALSE,,,,,,,
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D4,20000,2,87.17,87.245,0.075,-0.297272045512473,0.447272045512473,729,714,81.825,80.97,-0.855,-1.32104826220917,-0.388951737790832,1046,1217,5.345,6.275,7.48,8,0.52,612,402,5,FALSE,FALSE,0.855306442633737,0.713165747812453,0.833813136747115,FALSE,,,,,,,
ada10,"ADA 유사 소집단 10%, 14일 이후 ke ×2","ADA-like subgroup 10%, ke x2 after Day 14",Bminus,20000,-1,86.195,86.035,-0.16,-0.346445765200391,0.0264457652003911,165,197,80.64,78.825,-1.815,-2.07324826999795,-1.55675173000205,169,532,5.555,7.20999999999999,7.955,10.225,2.27,435,62,5,FALSE,FALSE,1.10896327195035,1.43474942762656,1.29377542423316,FALSE,,,,,,,
ada10,"ADA 유사 소집단 10%, 14일 이후 ke ×2","ADA-like subgroup 10%, ke x2 after Day 14",D1,20000,2,86.195,86.45,0.255,-0.114927456753889,0.624927456753889,738,687,80.64,80.175,-0.465,-0.924095916195002,-0.00590408380499825,1051,1144,5.555,6.27500000000001,7.955,8.31,0.355,533,400,5,FALSE,FALSE,1.10896327195035,1.0424082172277,0.939984437351476,FALSE,,,,,,,
ada10,"ADA 유사 소집단 10%, 14일 이후 ke ×2","ADA-like subgroup 10%, ke x2 after Day 14",D2,20000,3,86.195,86.33,0.135,-0.241373984691507,0.511373984691507,751,724,80.64,80.51,-0.13,-0.590077948366873,0.330077948366873,1089,1115,5.555,5.81999999999999,7.955,7.85,-0.105,472,419,5,FALSE,FALSE,1.10896327195035,1.02715346282925,0.926228567536577,FALSE,-0.13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ada10,"ADA 유사 소집단 10%, 14일 이후 ke ×2","ADA-like subgroup 10%, ke x2 after Day 14",D3,20000,4,86.195,88.92,2.725,2.22894352489684,3.22105647510316,1561,1016,80.64,82.235,1.595,0.988985668555912,2.20101433144409,2074,1755,5.555,6.685,7.955,8.035,0.0800000000000009,844,744,5,FALSE,FALSE,1.10896327195035,0.808489135927236,0.729049515323744,FALSE,,,,,,,
ada10,"ADA 유사 소집단 10%, 14일 이후 ke ×2","ADA-like subgroup 10%, ke x2 after Day 14",D4,20000,2,86.195,85.97,-0.225,-0.571609157149605,0.121609157149605,603,648,80.64,79.81,-0.83,-1.26459969946378,-0.395400300536217,901,1067,5.555,6.16,7.955,8.19,0.235000000000001,514,369,5,FALSE,FALSE,1.10896327195035,1.03234336859235,0.930908529348094,FALSE,,,,,,,
