band,n,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_median,coverage_p05,coverage_min,coverage_lt80_pct,wt_mean,population,variant,distribution
all,20000,0.727437447246943,4.39667981519294,17.95129795524,0.99272562552753,0.956033201848071,0.8204870204476,0,80.2160324832491,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
below 60,2584,0.536510190705797,3.09848869368669,12.1362494996451,0.994634898092942,0.969015113063133,0.878637505003549,0,53.9587282769523,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
60-90,12039,0.678584562162521,3.59769619040214,14.0280669116676,0.993214154378375,0.964023038095979,0.859719330883324,0,74.9191123326281,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90-100,2493,0.959266420995897,5.20401055765914,13.1152490547683,0.990407335790041,0.947959894423409,0.868847509452317,0,94.5732237000099,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 100,2884,1.15795220459581,7.11897372750149,17.95129795524,0.988420477954042,0.928810262724985,0.8204870204476,0,113.442807122297,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90,5377,1.05508371156142,6.25109213729807,17.95129795524,0.989449162884386,0.937489078627019,0.8204870204476,0,104.694086372481,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
all,20000,0.67533385067256,3.95335809802181,19.1595870634044,0.993246661493274,0.960466419019782,0.808404129365956,0,78.3447300823461,adult atopic dermatitis,struct2020,primary
below 60,3230,0.534392657668042,2.93703776457668,16.9092840906716,0.99465607342332,0.970629622354233,0.830907159093284,0,53.5437070251052,adult atopic dermatitis,struct2020,primary
60-90,11924,0.647018714851105,3.52863240541222,14.6603467129354,0.993529812851489,0.964713675945878,0.853396532870646,0,74.4797026969034,adult atopic dermatitis,struct2020,primary
above 90-100,2265,0.819063923492569,4.76152160804108,19.1595870634044,0.991809360765074,0.952384783919589,0.808404129365956,0,94.5657781958772,adult atopic dermatitis,struct2020,primary
above 100,2581,0.967994485900025,6.01811269656629,18.8394380312925,0.990320055141,0.939818873034337,0.811605619687075,0,113.003086162067,adult atopic dermatitis,struct2020,primary
above 90,4846,0.89254368028775,5.48600421012488,19.1595870634044,0.991074563197122,0.945139957898751,0.808404129365956,0,104.385566033421,adult atopic dermatitis,struct2020,primary
all,20000,0.637923074981728,3.7835389639141,16.5638533746867,0.993620769250183,0.962164610360859,0.834361466253133,0,75.2081027368876,adult atopic dermatitis,struct2020,sens_75_18
below 60,4062,0.521744829529686,2.97469713046408,14.7484648044222,0.994782551704703,0.970253028695359,0.852515351955778,0,53.1318159563593,adult atopic dermatitis,struct2020,sens_75_18
60-90,12071,0.61990187519726,3.52040985413922,15.2386409978564,0.993800981248027,0.964795901458608,0.847613590021436,0,73.6993870585872,adult atopic dermatitis,struct2020,sens_75_18
above 90-100,1938,0.840813180574129,4.56127253383685,16.5638533746867,0.991591868194259,0.954387274661631,0.834361466253133,0,94.5148520902679,adult atopic dermatitis,struct2020,sens_75_18
above 100,1929,0.9224059863854,5.82930729367365,15.7197336861596,0.990775940136146,0.941706927063264,0.842802663138404,0,111.739519848562,adult atopic dermatitis,struct2020,sens_75_18
above 90,3867,0.883546720082762,5.09810019978965,16.5638533746867,0.991164532799172,0.949018998002104,0.834361466253133,0,103.107141747819,adult atopic dermatitis,struct2020,sens_75_18
all,20000,0.677099531212627,3.97259619770338,17.3340331719137,0.993229004687874,0.960274038022966,0.826659668280863,0,80.2160324832491,adult atopic dermatitis,struct2020,sens_nct03389893
below 60,2584,0.536809717424286,2.89791571040524,8.73898668704453,0.994631902825757,0.971020842895948,0.912610133129555,0,53.9587282769523,adult atopic dermatitis,struct2020,sens_nct03389893
60-90,12039,0.635732522452015,3.55457723186192,17.3340331719137,0.99364267477548,0.964454227681381,0.826659668280863,0,74.9191123326281,adult atopic dermatitis,struct2020,sens_nct03389893
above 90-100,2493,0.814702875777884,4.48126023781194,14.9815426065489,0.991852971242221,0.955187397621881,0.850184573934511,0,94.5732237000099,adult atopic dermatitis,struct2020,sens_nct03389893
above 100,2884,0.977135361136961,5.80190708290509,16.6994789669943,0.99022864638863,0.941980929170949,0.833005210330057,0,113.442807122297,adult atopic dermatitis,struct2020,sens_nct03389893
above 90,5377,0.904767311178001,5.21654983401946,16.6994789669943,0.99095232688822,0.947834501659805,0.833005210330057,0,104.694086372481,adult atopic dermatitis,struct2020,sens_nct03389893
