variant,scenario,analysis_model,decision,n_trials,pass_pct,lo,hi
struct2020,VM125,M0,AUCinf_B,2000,46.5,44.3228645717225,48.6905547592463
struct2020,VM125,M1,AUCinf_B,2000,53.2,51.0091400033198,55.3785908940803
base,F090,M0,AUCinf_Ci,2000,17.15,15.5613530127219,18.8645969936564
base,F090,M1,AUCinf_Ci,2000,23.05,21.2569608754526,24.9463679730069
base,KE120,M0,AUCinf_Ci,2000,66.95,64.8576755741289,68.9773365230366
base,KE120,M1,AUCinf_Ci,2000,73.7,71.7263812979398,75.5827506609288
base,KM10,M0,AUCinf_Ci,2000,97.9,97.1736989530377,98.4426479174182
base,KM10,M1,AUCinf_Ci,2000,98.7,98.1019691482797,99.1113104465263
base,S00,M0,AUCinf_Ci,2000,97.9,97.1736989530377,98.4426479174182
base,S00,M1,AUCinf_Ci,2000,98.6,97.9840413188842,99.029621685378
base,VM125,M0,AUCinf_Ci,2000,27.9,25.978160014052,29.9065734757794
base,VM125,M1,AUCinf_Ci,2000,37.15,35.0588180447157,39.2904500704125
k2016_bmi_vc0817,F090,M0,AUCinf_Ci,2000,13.35,11.9294433627455,14.9110762029703
k2016_bmi_vc0817,F090,M1,AUCinf_Ci,2000,21.8,20.0454623572187,23.6626591094439
k2016_bmi_vc0817,KE120,M0,AUCinf_Ci,2000,56.5,54.3168761079858,58.6582022773579
k2016_bmi_vc0817,KE120,M1,AUCinf_Ci,2000,70.1,68.0565741614254,72.0663605378682
k2016_bmi_vc0817,KM10,M0,AUCinf_Ci,2000,94.85,93.7925128639055,95.7355279949661
k2016_bmi_vc0817,KM10,M1,AUCinf_Ci,2000,97.65,96.8891278302657,98.2281775638309
k2016_bmi_vc0817,S00,M0,AUCinf_Ci,2000,94.85,93.7925128639055,95.7355279949661
k2016_bmi_vc0817,S00,M1,AUCinf_Ci,2000,97.5,96.7193228586802,98.0985576496007
k2016_bmi_vc0817,VM125,M0,AUCinf_Ci,2000,21.95,20.1907171472905,23.8168292051878
k2016_bmi_vc0817,VM125,M1,AUCinf_Ci,2000,32.65,30.6298124226097,34.7367091180498
struct2020,F090,M0,AUCinf_Ci,2000,17.9,16.2819359724256,19.6411384630309
