set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05,band,variant,distribution
i,11924,13.7118416638712,1.31667225763167,12.3951694062395,16.0428547467293,75.5667142402733,74.3069683326882,1.25974590758507,0.826931314188321,1.69256050098182,0.77003754196163,0.845519286020158,0.660479318692631,0.93190945683879,0.782900125934636,60-90,k2016_bmi_vc0817,primary
i,2581,25.881441301821,6.74157303370787,19.1398682681131,30.2812863231306,114.348789880723,112.533180211172,1.81560966955179,0.690287517846857,2.94093182125672,0.710919125102163,2.7814418364726,0.967847084507978,0.919835524074206,0.751323670334768,above 100,k2016_bmi_vc0817,primary
i,3230,9.41176470588235,0.247678018575851,9.1640866873065,11.0117647058824,53.8058120939945,53.5164753296362,0.289336764358268,-0.284231691415338,0.862905220131874,0.897311642792947,0.408136270869069,0.505145900531356,0.951478608975532,0.783244591016287,below 60,k2016_bmi_vc0817,primary
ii,2265,27.4613686534216,4.10596026490066,23.355408388521,32.1298013245033,94.6549196673148,94.5320313941522,0.122888273162587,-0.14001477614318,0.385791322468355,0.76576665636827,2.46448659860513,0.688752928615322,0.924456622901106,0.755806433504637,above 90-100,k2016_bmi_vc0817,primary
ii,11924,19.8507212344851,1.31667225763167,18.5340489768534,23.2253438443475,75.2154621573872,74.2974757801967,0.917986377190488,0.545349773445175,1.2906229809358,0.803858150097511,1.53186368131122,0.578149697113861,0.9319349828085,0.782556384444308,60-90,k2016_bmi_vc0817,primary
ii,2581,33.3591631150717,6.74157303370787,26.6175900813638,39.0302208446339,114.573041313218,112.217195821868,2.35584549135004,1.32011613282644,3.39157484987363,0.72613430517783,3.12658976730897,0.786473655733444,0.923264550199887,0.760694874560799,above 100,k2016_bmi_vc0817,primary
ii,3230,15.9752321981424,0.247678018575851,15.7275541795666,18.6910216718266,53.321842206613,53.5858891350322,-0.264046928419269,-0.730830265055653,0.202736408217115,1.03963621911465,1.26488303308802,0.444802595177069,0.951441875685619,0.794892746092079,below 60,k2016_bmi_vc0817,primary
iii,2265,44.4591611479029,4.10596026490066,40.3532008830022,52.0172185430464,94.6412447784399,94.5053689362265,0.13587584221338,-0.100107727582908,0.371859412009668,0.863524995818363,0.775934896042352,0.9992075534067,0.941305964785824,0.780485800806215,above 90-100,k2016_bmi_vc0817,primary
iii,11924,38.619590741362,1.31667225763167,37.3029184837303,45.1849211673935,74.6806403068128,74.3532759044955,0.327364402317315,0.024554814527818,0.630173990106812,0.91490973952115,0.397686780340134,0.782342258829549,0.952555783579128,0.804337738748827,60-90,k2016_bmi_vc0817,primary
iii,2581,48.0046493607129,6.74157303370787,41.263076327005,56.1654397520341,113.350880854547,112.681985100977,0.668895753569629,-0.243100255499208,1.58089176263847,0.843278603239852,1.39802418392097,1.12524383106109,0.941089590011151,0.769019720164204,above 100,k2016_bmi_vc0817,primary
iii,3230,34.0557275541796,0.247678018575851,33.8080495356037,39.8452012383901,53.5084625962559,53.5619083733372,-0.0534457770813219,-0.405648912488635,0.298757358325991,0.952061149944221,0.27227561022779,0.603694293705931,0.959448238753784,0.815422291213883,below 60,k2016_bmi_vc0817,primary
iv,2265,71.0816777041943,4.10596026490066,66.9757174392936,83.1655629139073,94.5943605818101,94.4955222548818,0.0988383269283162,-0.159510142974069,0.357186796830702,0.876805639460139,1.46758180180869,0.441550775196342,0.945644875480181,0.79535615881689,above 90-100,k2016_bmi_vc0817,primary
iv,11924,65.8923180140893,1.31667225763167,64.5756457564576,77.0940120764844,74.5522962116331,74.3394599515797,0.212836260053436,-0.0975515631421015,0.523224083248973,0.914313795037991,0.95908689551063,0.376443972033669,0.95420046023801,0.807713572748915,60-90,k2016_bmi_vc0817,primary
iv,2581,72.839984502131,6.74157303370787,66.0984114684231,85.2227818674932,113.425715891109,111.869642666204,1.55607322490454,0.62356304601413,2.48858340379494,0.860315709245085,1.9064300032747,0.442135330842519,0.94414724080789,0.78058556001031,above 100,k2016_bmi_vc0817,primary
iv,3230,63.1269349845201,0.247678018575851,62.8792569659443,73.8585139318886,53.4329757343831,53.7332797386085,-0.300304004225474,-0.641349457383847,0.0407414489328987,1.02692309887291,0.725486491762228,0.328204980423885,0.962494578021582,0.820563203269238,below 60,k2016_bmi_vc0817,primary
i,20000,15.295,1.995,13.3,17.89515,85.7804503832242,79.2112774890915,6.56917289413272,5.79538136112545,7.34296442713999,0.730660983828677,1.00194146057845,0.689926659168705,0.930849345582765,0.774600055547204,all,base,sens_nct03389893
ii,20000,21.575,1.995,19.58,25.24275,84.3397550790387,79.0815815428072,5.2581735362315,4.59014093769408,5.92620613476891,0.770182438263326,1.61099944348432,0.604318113082425,0.931733660075305,0.778609829320225,all,base,sens_nct03389893
iii,20000,39.88,1.995,37.885,46.6596,81.7000783016626,79.2316055498104,2.46847275185216,1.9281659722798,3.00877953142452,0.877158119296696,0.466904270969371,0.828328585810711,0.95024575035046,0.794399078346312,all,base,sens_nct03389893
iv,20000,67.57,1.995,65.575,79.0569,80.9659181746156,78.6535972021626,2.31232097245294,1.76276680200598,2.8618751428999,0.886632865291761,1.03382002614967,0.384325041229544,0.952692994358848,0.80147340871126,all,base,sens_nct03389893
i,12039,13.8965030318133,1.27917601129662,12.6173270205167,16.2589085472215,76.2533384577805,74.70377755476,1.54956090302045,1.12211675809751,1.97700504794339,0.798297025379092,0.658663141066829,0.668688243424737,0.937213201130461,0.782077629161417,60-90,base,sens_nct03389893
i,2493,19.2137986361813,3.32932210188528,15.884476534296,22.4801444043321,94.5048965938755,94.5894742878144,-0.0845776939388685,-0.381493206857604,0.212337818979867,0.772063539752571,1.69022313998224,0.850923054474051,0.91999956997669,0.767578203627184,above 90-100,base,sens_nct03389893
i,2584,9.40402476780186,0.541795665634675,8.86222910216718,11.0027089783282,53.6895438637138,53.9866701019916,-0.297126238277798,-0.956703648760376,0.36245117220478,0.843917439808634,0.232251212775247,0.537494254641435,0.937491805879791,0.78163009221799,below 60,base,sens_nct03389893
i,2884,23.0235783633842,5.13176144244105,17.8918169209431,26.9375866851595,115.235177492571,112.906710759295,2.32846673327578,1.15388627598931,3.50304719056224,0.738093146842768,2.40001535333617,0.896236092440378,0.917998688775974,0.753825306147509,above 100,base,sens_nct03389893
ii,12039,20.0764183071684,1.27917601129662,18.7972422958718,23.489409419387,75.9420693442898,74.6621504642861,1.27991888000366,0.91006505289485,1.64977270711248,0.824896299077462,1.40612727804366,0.589065472586248,0.936166128676825,0.783431570491998,60-90,base,sens_nct03389893
