variant,distribution,set,n_fail,window_fail_median,window_fail_p05,window_fail_min,window_all_min,obs_fail_median,obs_fail_p05,obs_fail_p01,obs_fail_min,obs_retained_median,obs_retained_p05,obs_retained_min
base,sens_75_18,iv,13286,0.990364636672675,0.955151059704721,0.805978593768166,0.805978593768166,0.953431518943942,0.804774164150383,0.74184044446356,0.547920965820366,0.98099409232336,0.834697264243991,0.612994102566239
struct2020,primary,i,1775,0.998916658025498,0.91789498887016,0.808404129365956,0.808404129365956,0.947365146068613,0.842999944803966,0.790111756783474,0.658469722595203,0.967493867464173,0.874970795718034,0.735036145667982
struct2020,primary,ii,3452,0.980393881435001,0.92870666093045,0.808404129365956,0.808404129365956,0.944232131101175,0.845819670738376,0.796824721292153,0.658469722595203,0.97031809728805,0.879402002756061,0.747739231091237
struct2020,primary,iii,6722,0.998315666057001,0.949893791120779,0.808404129365956,0.808404129365956,0.962741871004458,0.863480323571522,0.81545745546499,0.658469722595203,0.967458778365057,0.875434138622975,0.735036145667982
struct2020,primary,iv,14532,0.9904186874448,0.954184593214599,0.808404129365956,0.808404129365956,0.961641559729328,0.866141875148212,0.822161377379167,0.658469722595203,0.976662852391758,0.889036712730704,0.747739231091237
struct2020,sens_nct03389893,i,1833,0.99915946014804,0.91387131965854,0.826659668280863,0.826659668280863,0.947545629707741,0.842787076854834,0.79740845169534,0.672955564552553,0.967109809831483,0.875121165847178,0.74434431976411
struct2020,sens_nct03389893,ii,3502,0.980589234932861,0.927834101417655,0.826659668280863,0.826659668280863,0.945461957316577,0.846194783188535,0.803904234573909,0.672955564552553,0.969307161413136,0.879732013699145,0.74434431976411
struct2020,sens_nct03389893,iii,6931,0.998287901975843,0.950979851699436,0.826659668280863,0.826659668280863,0.962070546824852,0.864898429276484,0.824159806180734,0.672955564552553,0.967046834455328,0.875513951281375,0.758402101043026
struct2020,sens_nct03389893,iv,14710,0.990456454711304,0.955300205344811,0.826659668280863,0.826659668280863,0.960853644932777,0.866628011825217,0.826555975968408,0.672955564552553,0.976598127981836,0.884992443702573,0.765685387260911
struct2020,sens_75_18,i,1700,0.999558090666303,0.923134397240542,0.834361466253133,0.834361466253133,0.94822160791624,0.848861350238695,0.79271728833676,0.721045483511859,0.968977667979904,0.875262311440257,0.708143217918297
struct2020,sens_75_18,ii,3339,0.982725080522979,0.929064572393696,0.834361466253133,0.834361466253133,0.946331685407804,0.849761155899195,0.804275729034412,0.708143217918297,0.971304866068154,0.878872203909604,0.754438407436106
struct2020,sens_75_18,iii,6629,0.99861870754731,0.954459695193642,0.834361466253133,0.834361466253133,0.964285443483222,0.868069400361348,0.827674018372192,0.721045483511859,0.968753051165926,0.875162357855645,0.708143217918297
struct2020,sens_75_18,iv,14531,0.991043619416868,0.957049401082572,0.834361466253133,0.834361466253133,0.963084783201471,0.868504339809562,0.828553040840094,0.708143217918297,0.97690867286927,0.887049773588767,0.772456262518244
k2016_bmi_vc0817,primary,i,3067,0.987408627319231,0.916361857809991,0.789859663752325,0.789859663752325,0.929858265955237,0.76837699676791,0.702796627829017,0.572089181556374,0.966240211433437,0.820656888833744,0.591170487264374
k2016_bmi_vc0817,primary,ii,4366,0.981981233204649,0.922056136019203,0.789859663752325,0.789859663752325,0.931494661505446,0.777237689872634,0.708667285847809,0.572089181556374,0.968649577420417,0.823424990875292,0.591170487264374
k2016_bmi_vc0817,primary,iii,7951,0.994896056102944,0.941751600537379,0.789859663752325,0.789859663752325,0.950653624451723,0.795166077133553,0.725030259498329,0.572089181556374,0.967319860606822,0.822082189224758,0.591170487264374
k2016_bmi_vc0817,primary,iv,13386,0.989558702163255,0.948609612327415,0.789859663752325,0.789859663752325,0.953073253513944,0.802508379822915,0.733925430590099,0.572089181556374,0.976016461245112,0.832236157475993,0.627004836913316
k2016_bmi_vc0817,sens_nct03389893,i,3111,0.988127355181261,0.920241520909598,0.8204870204476,0.8204870204476,0.930078986333191,0.772613437951264,0.702986680697207,0.55955064113589,0.965581669151873,0.820018918614693,0.637469205357658
k2016_bmi_vc0817,sens_nct03389893,ii,4443,0.982557104246515,0.923836056369842,0.8204870204476,0.8204870204476,0.931444654244037,0.776743615005039,0.710919837721109,0.55955064113589,0.967917546660779,0.823214055730147,0.64499580304722
k2016_bmi_vc0817,sens_nct03389893,iii,8010,0.995071751905656,0.942921814243018,0.8204870204476,0.8204870204476,0.948791745083182,0.793796670298975,0.725894201105827,0.55955064113589,0.967571855313449,0.822138846406048,0.668874911271259
k2016_bmi_vc0817,sens_nct03389893,iv,13571,0.989321222847568,0.94821070223396,0.8204870204476,0.8204870204476,0.952322728842451,0.800595671037308,0.73493877490573,0.55955064113589,0.975743960519243,0.831499094481394,0.67653137747525
k2016_bmi_vc0817,sens_75_18,i,2725,0.990131244802034,0.921915112916916,0.817920589882364,0.817920589882364,0.928179808470055,0.772803303800518,0.687346427627933,0.549732424215597,0.967503833688274,0.819199691316451,0.614949580283979
k2016_bmi_vc0817,sens_75_18,ii,4005,0.984008752322929,0.926509300704451,0.817920589882364,0.817920589882364,0.930185668933282,0.779363422671672,0.699739511011677,0.549732424215597,0.970034054705921,0.822296412631034,0.614949580283979
k2016_bmi_vc0817,sens_75_18,iii,7785,0.995816064340603,0.948072635348666,0.817920589882364,0.817920589882364,0.951751297374497,0.797255482317704,0.724744101354649,0.549732424215597,0.968748444737944,0.821157038245099,0.614949580283979
k2016_bmi_vc0817,sens_75_18,iv,13280,0.990450769184904,0.95207558026306,0.817920589882364,0.817920589882364,0.953281362231352,0.803732508018778,0.737139115361864,0.549732424215597,0.980551134196232,0.833408344225853,0.68059687383197
