variant,scenario,set,n_trials,fail_R_mean,fail_T_mean,diff_mean,diff_lo,diff_hi,diff_p025,diff_p975
base,KM10,iii,2000,39.2918803418803,43.4363247863248,4.14444444444444,3.86232493212463,4.42656395676425,-8.54700854700854,16.2393162393162
struct2020,S00,iii,2000,34.0730769230769,34.1786324786325,0.105555555555556,-0.163865246242284,0.374976357353395,-11.965811965812,11.9871794871794
struct2020,F090,iii,2000,34.0730769230769,36.1974358974359,2.12435897435897,1.85169181202814,2.39702613668981,-9.4017094017094,13.6752136752137
struct2020,KE120,iii,2000,34.0730769230769,33.408547008547,-0.664529914529915,-0.932850956552614,-0.396208872507215,-11.965811965812,11.1111111111111
struct2020,VM125,iii,2000,34.0730769230769,38.9371794871795,4.86410256410256,4.58724383502569,5.14096129317944,-7.69230769230769,17.1153846153845
struct2020,KM10,iii,2000,34.0730769230769,40.5880341880342,6.51495726495727,6.241911413421,6.78800311649354,-5.12820512820513,18.8034188034188
k2016_bmi_vc0817,S00,iii,2000,39.5598290598291,39.7594017094017,0.19957264957265,-0.0757337867442267,0.474879085889526,-11.965811965812,12.8205128205128
k2016_bmi_vc0817,F090,iii,2000,39.5598290598291,41.9884615384615,2.42863247863248,2.1456107906963,2.71165416656866,-10.2564102564103,15.3846153846154
k2016_bmi_vc0817,KE120,iii,2000,39.5598290598291,38.9576923076923,-0.602136752136752,-0.882241138408147,-0.322032365865358,-12.8205128205128,11.965811965812
k2016_bmi_vc0817,VM125,iii,2000,39.5598290598291,45.1722222222222,5.61239316239316,5.33313356817539,5.89165275661093,-6.83760683760684,17.9487179487179
k2016_bmi_vc0817,KM10,iii,2000,39.5598290598291,43.4213675213675,3.86153846153846,3.58261312409385,4.14046379898307,-8.54700854700855,16.2393162393162
base,S00,iv,2000,66.6636752136752,66.7944444444444,0.130769230769231,-0.138545625028988,0.400084086567449,-11.965811965812,11.965811965812
base,F090,iv,2000,66.6636752136752,69.0183760683761,2.35470085470086,2.08960386938713,2.61979784001458,-9.4017094017094,14.5299145299145
base,KE120,iv,2000,66.6636752136752,64.9166666666667,-1.74700854700855,-2.01384762272266,-1.48016947129444,-13.6752136752137,10.2564102564103
base,VM125,iv,2000,66.6636752136752,71.8854700854701,5.22179487179487,4.95182161905059,5.49176812453916,-6.83760683760684,17.0940170940171
base,KM10,iv,2000,66.6636752136752,63.025641025641,-3.63803418803419,-3.91337053016929,-3.36269784589908,-15.3846153846154,9.40170940170939
struct2020,S00,iv,2000,73.075641025641,73.1311965811966,0.0555555555555555,-0.197661242179284,0.308772353290395,-11.1111111111111,11.1111111111111
struct2020,F090,iv,2000,73.075641025641,74.9747863247863,1.8991452991453,1.65147535664865,2.14681524164195,-9.4017094017094,12.8205128205128
struct2020,KE120,iv,2000,73.075641025641,70.7358974358974,-2.33974358974359,-2.59533550336662,-2.08415167612057,-13.6752136752137,9.4017094017094
struct2020,VM125,iv,2000,73.075641025641,77.1982905982906,4.12264957264957,3.872574810693,4.37272433460614,-6.83760683760684,15.3846153846154
struct2020,KM10,iv,2000,73.075641025641,70.6029914529915,-2.47264957264957,-2.7340040894509,-2.21129505584825,-14.5299145299145,9.4017094017094
k2016_bmi_vc0817,S00,iv,2000,67.2269230769231,67.4589743589744,0.232051282051282,-0.0381488000538147,0.502251364156379,-11.965811965812,11.965811965812
k2016_bmi_vc0817,F090,iv,2000,67.2269230769231,69.5893162393162,2.36239316239316,2.09466580458919,2.63012052019713,-9.40170940170939,14.5299145299145
k2016_bmi_vc0817,KE120,iv,2000,67.2269230769231,65.725641025641,-1.50128205128205,-1.77504219079714,-1.22752191176696,-13.6752136752137,10.2777777777777
k2016_bmi_vc0817,VM125,iv,2000,67.2269230769231,72.0683760683761,4.84145299145299,4.573103315882,5.10980266702398,-6.83760683760684,16.2393162393162
k2016_bmi_vc0817,KM10,iv,2000,67.2269230769231,63.5948717948718,-3.63205128205128,-3.90825951246448,-3.35584305163809,-16.2393162393162,8.54700854700855
