band,set,n,n_fail,fail_pct,fail_lo,fail_hi,lz_fail_pct,population,variant,distribution
above 100,iv,2581,1880,72.839984502131,71.0910329136231,74.5210488632572,6.74157303370787,adult atopic dermatitis,k2016_bmi_vc0817,primary
above 90,iv,4846,3490,72.0181593066447,70.7371912609246,73.2642470978236,5.5096987205943,adult atopic dermatitis,k2016_bmi_vc0817,primary
all,i,20000,2725,13.625,13.1565400175878,14.1074306054938,1.67,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
below 60,i,4062,380,9.35499753815854,8.49748618662625,10.2893127222089,0.123092072870507,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
60-90,i,12071,1549,12.8324082511805,12.2475762846067,13.4408890207062,1.19294176124596,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90-100,i,1938,356,18.3694530443756,16.7085628142869,20.155489890378,3.19917440660475,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 100,i,1929,440,22.8097459823743,20.9923600784249,24.7352113572562,6.37636080870918,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90,i,3867,796,20.5844323765193,19.3395886430902,21.887660672021,4.7840703387639,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
all,ii,20000,4005,20.025,19.476158445772,20.5853541157915,1.67,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
below 60,ii,4062,675,16.6174298375185,15.5043605251233,17.7935797052707,0.123092072870507,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
60-90,ii,12071,2236,18.5237345704581,17.8407494416059,19.2267472546019,1.19294176124596,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90-100,ii,1938,473,24.406604747162,22.5461092323029,26.3683608191062,3.19917440660475,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 100,ii,1929,621,32.1928460342146,30.1450413174632,34.3114330164862,6.37636080870918,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90,ii,3867,1094,28.2906645978795,26.8931356747742,29.7312826109715,4.7840703387639,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
all,iii,20000,7785,38.925,38.2514490943075,39.6028045043353,1.67,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
below 60,iii,4062,1401,34.4903988183161,33.0438974550997,35.9662075191984,0.123092072870507,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
60-90,iii,12071,4693,38.8783033717173,38.01235614548,39.7513270535354,1.19294176124596,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90-100,iii,1938,840,43.343653250774,41.1526973393425,45.5609450732215,3.19917440660475,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 100,iii,1929,851,44.116122343183,41.9142223621816,46.3414103507828,6.37636080870918,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90,iii,3867,1691,43.728988880269,42.1725111808818,45.2979133983837,4.7840703387639,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
all,iv,20000,13280,66.4,65.7422896556149,67.0514115617449,1.67,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
below 60,iv,4062,2585,63.6386016740522,62.1470501649632,65.1043813338287,0.123092072870507,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
60-90,iv,12071,7953,65.8851793554801,65.0344953767762,66.7257559944625,1.19294176124596,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90-100,iv,1938,1352,69.7626418988648,67.6803781988911,71.7667144831861,3.19917440660475,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 100,iv,1929,1390,72.0580611715915,70.0133288154954,74.0151141856823,6.37636080870918,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
above 90,iv,3867,2742,70.9076803723817,69.4559734406477,72.3178893538425,4.7840703387639,adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18
all,i,20000,3111,15.555,15.0593287330905,16.0639006308145,2.29,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
below 60,i,2584,258,9.98452012383901,8.8873419972084,11.2004982778906,0.386996904024768,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
60-90,i,12039,1665,13.8300523299277,13.2249246942118,14.458255145201,1.36223938865354,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90-100,i,2493,468,18.7725631768953,17.2881821337329,20.3530327499947,3.52988367428801,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 100,i,2884,720,24.9653259361997,23.4197164855958,26.577538537203,6.79611650485437,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90,i,5377,1188,22.0941045192487,21.0053207168727,23.2227331485589,5.28175562581365,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
all,ii,20000,4443,22.215,21.6442579671263,22.7964134765115,2.29,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
below 60,ii,2584,454,17.5696594427245,16.1507717838369,19.084827974899,0.386996904024768,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
60-90,ii,12039,2398,19.9185978901902,19.2148179646188,20.6415687131705,1.36223938865354,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90-100,ii,2493,641,25.7119935820297,24.0346817124755,27.4640409748681,3.52988367428801,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 100,ii,2884,950,32.9403606102635,31.2487243338579,34.6773829669967,6.79611650485437,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90,ii,5377,1591,29.5889901432025,28.3839002573993,30.8232234462403,5.28175562581365,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
all,iii,20000,8010,40.05,39.372880758231,40.7309407592855,2.29,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
below 60,iii,2584,937,36.2616099071207,34.4296253127557,38.1343817449427,0.386996904024768,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
60-90,iii,12039,4673,38.8155162388903,37.9487005190574,39.6894672737476,1.36223938865354,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90-100,iii,2493,1054,42.278379462495,40.3525475432358,44.2279712301972,3.52988367428801,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 100,iii,2884,1346,46.6712898751734,44.8561503945428,48.4952851763557,6.79611650485437,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90,iii,5377,2400,44.6345545843407,43.3101351251765,45.9666349782404,5.28175562581365,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
all,iv,20000,13571,67.855,67.2043613342463,68.4987810581903,2.29,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
below 60,iv,2584,1709,66.1377708978328,64.29034278682,67.9372883594892,0.386996904024768,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
60-90,iv,12039,8058,66.9324694742088,66.0868118002873,67.7673248163982,1.36223938865354,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90-100,iv,2493,1725,69.193742478941,67.3530256807384,70.9753990824426,3.52988367428801,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 100,iv,2884,2079,72.0873786407767,70.4217034958379,73.6942917264297,6.79611650485437,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
above 90,iv,5377,3804,70.74576901618,69.515332801391,71.9465838351375,5.28175562581365,adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893
all,i,20000,1775,8.875,8.48872933335084,9.27706563226376,1.01,adult atopic dermatitis,struct2020,primary
below 60,i,3230,189,5.85139318885449,5.09318208964072,6.71449196250477,0.185758513931889,adult atopic dermatitis,struct2020,primary
60-90,i,11924,978,8.2019456558202,7.72279554753957,8.70801857408327,0.687688695068769,adult atopic dermatitis,struct2020,primary
above 90-100,i,2265,257,11.3465783664459,10.1053367233879,12.7187110657361,1.72185430463576,adult atopic dermatitis,struct2020,primary
above 100,i,2581,351,13.5993800852383,12.3309249016646,14.9760287380657,2.90585044556374,adult atopic dermatitis,struct2020,primary
above 90,i,4846,608,12.5464300453983,11.6433726573465,13.5088198251953,2.35245563351217,adult atopic dermatitis,struct2020,primary
all,ii,20000,3452,17.26,16.7425652331634,17.7900092877903,1.01,adult atopic dermatitis,struct2020,primary
below 60,ii,3230,442,13.6842105263158,12.5420409033905,14.9126587201485,0.185758513931889,adult atopic dermatitis,struct2020,primary
60-90,ii,11924,1908,16.0013418316001,15.3542674706762,16.6703152839504,0.687688695068769,adult atopic dermatitis,struct2020,primary
above 90-100,ii,2265,462,20.3973509933775,18.7886686085064,22.1062760432442,1.72185430463576,adult atopic dermatitis,struct2020,primary
above 100,ii,2581,640,24.7965904688105,23.168887191243,26.4992057759146,2.90585044556374,adult atopic dermatitis,struct2020,primary
above 90,ii,4846,1102,22.7404044572844,21.5821310991409,23.941861335811,2.35245563351217,adult atopic dermatitis,struct2020,primary
all,iii,20000,6722,33.61,32.9585384290056,34.2677565129135,1.01,adult atopic dermatitis,struct2020,primary
below 60,iii,3230,920,28.4829721362229,26.9527644461444,30.0642996956796,0.185758513931889,adult atopic dermatitis,struct2020,primary
60-90,iii,11924,3962,33.2271049983227,32.3871844325284,34.0778292599366,0.687688695068769,adult atopic dermatitis,struct2020,primary
above 90-100,iii,2265,825,36.4238410596026,34.466598922993,38.4270557830672,1.72185430463576,adult atopic dermatitis,struct2020,primary
above 100,iii,2581,1015,39.3258426966292,37.4585451291996,41.2248670344467,2.90585044556374,adult atopic dermatitis,struct2020,primary
above 90,iii,4846,1840,37.9694593479158,36.6131011512503,39.3448758279904,2.35245563351217,adult atopic dermatitis,struct2020,primary
all,iv,20000,14532,72.66,72.0379889718199,73.2733079541174,1.01,adult atopic dermatitis,struct2020,primary
below 60,iv,3230,2176,67.3684210526316,65.7316776082426,68.9639008326736,0.185758513931889,adult atopic dermatitis,struct2020,primary
60-90,iv,11924,8632,72.3918148272392,71.5822819761574,73.1869247444018,0.687688695068769,adult atopic dermatitis,struct2020,primary
above 90-100,iv,2265,1723,76.0706401766005,74.270366330089,77.7826317059159,1.72185430463576,adult atopic dermatitis,struct2020,primary
above 100,iv,2581,2001,77.5280898876405,75.8775678149605,79.0967902893201,2.90585044556374,adult atopic dermatitis,struct2020,primary
above 90,iv,4846,3724,76.8468840280644,75.6382880819095,78.0129502542961,2.35245563351217,adult atopic dermatitis,struct2020,primary
all,i,20000,1700,8.5,8.12142123865914,8.89451775399755,0.69,adult atopic dermatitis,struct2020,sens_75_18
below 60,i,4062,229,5.63761693746923,4.96933582435929,6.38972634022035,0.17232890201871,adult atopic dermatitis,struct2020,sens_75_18
