variant,scenario,analysis_model,config,n_trials,agree_pct,p2_only_pct,g2_only_pct
k2016_bmi_vc0817,VM125,M0,B,2000,74.65,0.3,25.05
k2016_bmi_vc0817,VM125,M1,B,2000,74.1,0.1,25.8
struct2020,F090,M0,B,2000,92.8,0.75,6.45
struct2020,F090,M1,B,2000,92.05,0.7,7.25
struct2020,KE120,M0,B,2000,89.75,1.7,8.55
struct2020,KE120,M1,B,2000,92.45,1.15,6.4
struct2020,KM10,M0,B,2000,97.8,0.5,1.7
struct2020,KM10,M1,B,2000,98.7,0.25,1.05
struct2020,S00,M0,B,2000,98.35,0.05,1.6
struct2020,S00,M1,B,2000,98.7,0.15,1.15
struct2020,VM125,M0,B,2000,78.5,0.15,21.35
struct2020,VM125,M1,B,2000,78.3,0.1,21.6
base,F090,M0,C_i,2000,98.15,0.2,1.65
base,F090,M1,C_i,2000,96.95,0.75,2.3
base,KE120,M0,C_i,2000,97.1,0.75,2.15
base,KE120,M1,C_i,2000,98,0.6,1.4
base,KM10,M0,C_i,2000,99.1,0.1,0.8
base,KM10,M1,C_i,2000,99.15,0.35,0.5
base,S00,M0,C_i,2000,99.45,0.05,0.5
base,S00,M1,C_i,2000,99.65,0.15,0.2
base,VM125,M0,C_i,2000,96.5,0.4,3.1
base,VM125,M1,C_i,2000,95.5,0.45,4.05
k2016_bmi_vc0817,F090,M0,C_i,2000,98.7,0.15,1.15
k2016_bmi_vc0817,F090,M1,C_i,2000,97.6,0.45,1.95
k2016_bmi_vc0817,KE120,M0,C_i,2000,96.45,1.5,2.05
k2016_bmi_vc0817,KE120,M1,C_i,2000,97.25,0.7,2.05
k2016_bmi_vc0817,KM10,M0,C_i,2000,98.1,0.45,1.45
k2016_bmi_vc0817,KM10,M1,C_i,2000,98.95,0.3,0.75
k2016_bmi_vc0817,S00,M0,C_i,2000,99.45,0.05,0.5
k2016_bmi_vc0817,S00,M1,C_i,2000,99.5,0.25,0.25
k2016_bmi_vc0817,VM125,M0,C_i,2000,97.4,0.35,2.25
k2016_bmi_vc0817,VM125,M1,C_i,2000,96.25,0.75,3
struct2020,F090,M0,C_i,2000,97.75,0.25,2
struct2020,F090,M1,C_i,2000,97.5,0.3,2.2
struct2020,KE120,M0,C_i,2000,96.3,0.8,2.9
struct2020,KE120,M1,C_i,2000,96.85,0.45,2.7
struct2020,KM10,M0,C_i,2000,98.85,0.2,0.95
struct2020,KM10,M1,C_i,2000,99.25,0.1,0.65
struct2020,S00,M0,C_i,2000,99.2,0.1,0.7
struct2020,S00,M1,C_i,2000,99.55,0,0.45
struct2020,VM125,M0,C_i,2000,95.4,0.05,4.55
struct2020,VM125,M1,C_i,2000,93.8,0.15,6.05
base,F090,M0,C_ii,2000,98.9,0.25,0.85
base,F090,M1,C_ii,2000,98.05,0.65,1.3
base,KE120,M0,C_ii,2000,98.35,0.6,1.05
base,KE120,M1,C_ii,2000,98.1,0.8,1.1
base,KM10,M0,C_ii,2000,99.45,0.05,0.5
base,KM10,M1,C_ii,2000,99.4,0.25,0.35
base,S00,M0,C_ii,2000,99.65,0.15,0.2
base,S00,M1,C_ii,2000,99.8,0.2,0
base,VM125,M0,C_ii,2000,97.75,0.65,1.6
base,VM125,M1,C_ii,2000,97,0.95,2.05
k2016_bmi_vc0817,F090,M0,C_ii,2000,99.15,0.2,0.65
k2016_bmi_vc0817,F090,M1,C_ii,2000,98.4,0.45,1.15
k2016_bmi_vc0817,KE120,M0,C_ii,2000,96.95,1.2,1.85
k2016_bmi_vc0817,KE120,M1,C_ii,2000,98.05,0.8,1.15
k2016_bmi_vc0817,KM10,M0,C_ii,2000,98.6,0.35,1.05
k2016_bmi_vc0817,KM10,M1,C_ii,2000,99.2,0.2,0.6
k2016_bmi_vc0817,S00,M0,C_ii,2000,99.6,0.05,0.35
k2016_bmi_vc0817,S00,M1,C_ii,2000,99.75,0.15,0.1
k2016_bmi_vc0817,VM125,M0,C_ii,2000,98.45,0.45,1.1
k2016_bmi_vc0817,VM125,M1,C_ii,2000,97.7,1,1.3
struct2020,F090,M0,C_ii,2000,98.6,0.35,1.05
struct2020,F090,M1,C_ii,2000,98.2,0.45,1.35
struct2020,KE120,M0,C_ii,2000,97.55,0.65,1.8
struct2020,KE120,M1,C_ii,2000,97.9,0.35,1.75
struct2020,KM10,M0,C_ii,2000,99.35,0.2,0.45
struct2020,KM10,M1,C_ii,2000,99.5,0.15,0.35
struct2020,S00,M0,C_ii,2000,99.45,0.15,0.4
struct2020,S00,M1,C_ii,2000,99.85,0,0.15
struct2020,VM125,M0,C_ii,2000,97.95,0.35,1.7
struct2020,VM125,M1,C_ii,2000,96.55,0.6,2.85
base,F090,M0,C_iii,2000,98.15,0.4,1.45
