variant,scenario,kind,true_ratio,analysis_model,endpoint,n,gmr,mean_log,sd_log,bias_pct,bias_lo,bias_hi,not_estimable_pct
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_Ai,2000,0.990224490216136,-0.0098236037650875,0.0570735088230739,-1.61850134902604,-1.86428106119378,-1.37210608456433,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_Ai,2000,0.99208309434663,-0.007948410742982,0.0564496180165937,-1.43384396924641,-1.67739657837088,-1.18968806168041,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_Aiii,2000,0.995572602171757,-0.0044372277788055,0.0725653747702211,-1.08715186782671,-1.40122646335452,-0.772076825254597,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_Aiii,2000,0.996804135990216,-0.003200981689683,0.0688434346814193,-0.964795630532556,-1.26315397876235,-0.665535717106514,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_Aiv,2000,0.977907897081232,-0.0223397881456075,0.104727755882267,-2.84218840469727,-3.28711082705936,-2.3952191407651,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_Aiv,2000,0.98379916341981,-0.016333504977216,0.0951338688753943,-2.25687505699892,-2.66355933881485,-1.84849159547237,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_B,2000,0.993396862294579,-0.0066250348657385,0.054859124839533,-1.30331754733314,-1.54032964787333,-1.06573491130769,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_B,2000,0.99386131546917,-0.00615760372040985,0.0547168460541638,-1.25717286012234,-1.49368152510596,-1.02009634985246,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_C,2000,1.00367400368391,0.0036672710178916,0.0569707975900615,-0.282255574295887,-0.530925776268143,-0.0329637030276109,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_C,2000,1.00366961441783,0.0036628978093981,0.0568253330911127,-0.282691659829215,-0.530726633584744,-0.0340381900685971,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_Ci,2000,0.999811558298173,-0.0001884594591955,0.0565045676055252,-0.666000037556913,-0.91168858693772,-0.419702305695979,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_Ci,2000,0.999806646896568,-0.0001933717985535,0.0563538161302564,-0.666487998676002,-0.911520668239996,-0.420849395813216,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_Ciii,2000,1.00121870372999,0.001217961713405,0.0568682069441408,-0.526196308432858,-0.773812042370281,-0.277962657462094,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_Ciii,2000,1.00121365207716,0.001212916196822,0.0567190132536207,-0.526698203892806,-0.773663879184372,-0.279117852627531,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_Civ,2000,1.00924600594558,0.00920352329506,0.057401743102005,0.271338018275058,0.0193982112123292,0.523912438897933,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_Civ,2000,1.0092416611754,0.0091992183193555,0.0572568551793558,0.270906353530198,0.0196027528392762,0.522841365444338,0
struct2020,KM10,AUC,1.00651494823141,M0,AUCinf_true,2000,1.00684464391442,0.006821325682122,0.0555848201721597,0.0327561635908413,-0.210638261055018,0.276744247169036,0
struct2020,KM10,AUC,1.00651494823141,M1,AUCinf_true,2000,1.00684061801776,0.0068173271459665,0.0554394960169008,0.0323561797982652,-0.210401702531871,0.275704618563521,0
struct2020,KM10,AUC,1.00651494823141,M0,AUClast,2000,1.00957175545999,0.00952623644278195,0.0573252163848611,0.30370211927282,0.0520165618243418,0.556020803588719,0
struct2020,KM10,AUC,1.00651494823141,M1,AUClast,2000,1.00956722440118,0.00952174833289295,0.057178240399864,0.303251946245631,0.0522120032905971,0.554921770856431,0
struct2020,KM10,Cmax,1.0017140940775,M0,Cmax,2000,1.00232454277595,0.002321845205998,0.045748064274714,0.0609404122457136,-0.139480516116508,0.261763587148733,0
struct2020,KM10,Cmax,1.0017140940775,M1,Cmax,2000,1.00232624004877,0.0023235385411456,0.0456433599803949,0.0611098490964634,-0.13885317007365,0.261473276336233,0
struct2020,S00,AUC,1,M0,AUCinf_A,2000,1.00066737956311,0.000667156964405,0.0577729318279485,0.0667379563112691,-0.186311565226671,0.32042901370819,0
struct2020,S00,AUC,1,M1,AUCinf_A,2000,1.00068568702328,0.0006854520473365,0.0565452990039365,0.0685687023276316,-0.179114892205756,0.316866869281762,0
struct2020,S00,AUC,1,M0,AUCinf_Ai,2000,0.999760152819001,-0.0002398759489345,0.0560357980993392,-0.0239847180999342,-0.269212280242237,0.221845832934853,0
struct2020,S00,AUC,1,M1,AUCinf_Ai,2000,1.00013565025721,0.00013564105754545,0.055516100425426,0.013565025720963,-0.229482218093025,0.257204347876727,0
struct2020,S00,AUC,1,M0,AUCinf_Aiii,2000,0.999868645804841,-0.00013136282287725,0.0684096393579966,-0.0131354195159417,-0.31246555305775,0.287093507735059,0
struct2020,S00,AUC,1,M1,AUCinf_Aiii,2000,1.00065521597777,0.00065500141750075,0.0657921352076251,0.0655215977772405,-0.222598485497016,0.354473664858701,0
struct2020,S00,AUC,1,M0,AUCinf_Aiv,2000,0.99948859497544,-0.00051153583671,0.106833538559759,-0.0511405024559819,-0.518025804979483,0.417935969749017,0
struct2020,S00,AUC,1,M1,AUCinf_Aiv,2000,1.00083988380819,0.0008395313031475,0.0975057614872706,0.0839883808191333,-0.342795819964736,0.512600294466692,0
struct2020,S00,AUC,1,M0,AUCinf_B,2000,1.00034685062349,0.000346790484715,0.0546662777524673,0.0346850623486716,-0.204696687259487,0.274641023569444,0
struct2020,S00,AUC,1,M1,AUCinf_B,2000,1.00034638604216,0.000346326064365,0.0544894582718047,0.0346386042160196,-0.203969672326998,0.273817383507979,0
struct2020,S00,AUC,1,M0,AUCinf_C,2000,1.00043867554836,0.0004385793583755,0.0573400924137768,0.0438675548364076,-0.207231078619252,0.295598002845421,0
struct2020,S00,AUC,1,M1,AUCinf_C,2000,1.00043461460309,0.000434520185518,0.0571965527691419,0.043461460308869,-0.207008367910566,0.294559941240524,0
struct2020,S00,AUC,1,M0,AUCinf_Ci,2000,1.00056591655685,0.0005657564864655,0.0567143441691088,0.056591655685212,-0.191801748829235,0.305603238710894,0
struct2020,S00,AUC,1,M1,AUCinf_Ci,2000,1.00056094430449,0.000560787034044,0.0565649816804215,0.056094430448983,-0.191644386382173,0.304448170960492,0
struct2020,S00,AUC,1,M0,AUCinf_Ciii,2000,1.00051473241947,0.0005145999901815,0.0571765934450153,0.051473241947142,-0.198929343108301,0.302504091350775,0
struct2020,S00,AUC,1,M1,AUCinf_Ciii,2000,1.00050974142423,0.0005096115502015,0.0570256393600056,0.0509741424228327,-0.198766925267335,0.301340158312247,0
struct2020,S00,AUC,1,M0,AUCinf_Civ,2000,1.00043507243811,0.00043497782153985,0.0577483483198848,0.0435072438110584,-0.20937601539518,0.29703134421295,0
struct2020,S00,AUC,1,M1,AUCinf_Civ,2000,1.00043062586018,0.0004305331674765,0.0576035308906698,0.0430625860182499,-0.209186188538946,0.295948988848416,0
struct2020,S00,AUC,1,M0,AUCinf_true,2000,1.00034458398273,0.000344524627301,0.0557888564015854,0.0344583982726743,-0.209832523971631,0.279347355936688,0
struct2020,S00,AUC,1,M1,AUCinf_true,2000,1.00034056489599,0.000340506916929,0.0556433476529437,0.034056489598977,-0.209597069620726,0.278304966317533,0
struct2020,S00,AUC,1,M0,AUClast,2000,1.00045645641539,0.000456352270849,0.0576288374598231,0.0456456415388162,-0.206720327655052,0.298649815856478,0
struct2020,S00,AUC,1,M1,AUClast,2000,1.00045186445249,0.000451762392495,0.0574819945086633,0.0451864452493123,-0.206536129275581,0.297543973728764,0
struct2020,S00,Cmax,1,M0,Cmax,2000,1.00051925752975,0.00051912276221335,0.0458435232548233,0.0519257529753681,-0.148894864499272,0.253150261026391,0
struct2020,S00,Cmax,1,M1,Cmax,2000,1.00052094594004,0.00052081029480735,0.0457387798285523,0.0520945940036377,-0.148267985745421,0.252859221494428,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_A,2000,0.903253855054814,-0.101751640981415,0.0604984878518959,4.47177681732582,4.19514065981179,4.74914743868491,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_A,2000,0.898088950254439,-0.10748616184998,0.0586269038101432,3.87439571724206,3.60783956173703,4.14163765274538,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_Ai,2000,0.890436139444107,-0.116043891969235,0.0577448500372541,2.98925945291506,2.72894586939376,3.2502326670905,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_Ai,2000,0.887941381653732,-0.118849549820035,0.0566485742078155,2.70071180085598,2.44604959089554,2.95600705466181,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_Aiii,2000,0.886902575288487,-0.120020138907377,0.071195027030755,2.58056180521642,2.26098266321928,2.90113967444403,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_Aiii,2000,0.885972541383399,-0.1210693205239,0.0676758774647568,2.47299260523886,2.16950533229459,2.77738136561365,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_Aiv,2000,0.897643077085591,-0.10798275395974,0.117461691729062,3.8228253177093,3.2897202919884,4.35868183668282,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_Aiv,2000,0.895514299929955,-0.110357088954535,0.105019527801069,3.57660756767944,3.10097263830718,4.05443674003749,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_B,2000,0.880703989064358,-0.127033703756253,0.0560826009176377,1.86362346837325,1.6135574278124,2.11430490934157,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_B,2000,0.879451700236307,-0.12845663361065,0.055785145467377,1.71878175170324,1.47039410078715,1.96777742652299,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_C,2000,0.859589072232194,-0.151300826914185,0.0599571960489383,-0.578561379730547,-0.83947211551384,-0.316964136790632,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_C,2000,0.85958539255736,-0.15130510766045,0.0598099905751173,-0.578986976771645,-0.839256855813531,-0.318033960353115,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_Ci,2000,0.863304283797222,-0.1469880616341,0.0592953641667809,-0.148854103887097,-0.408003786752564,0.110969915879755,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_Ci,2000,0.863300095034629,-0.146992913657695,0.0591410356439812,-0.149338582827618,-0.407813394346968,0.109807056700095,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_Ciii,2000,0.861421679042611,-0.149171139459625,0.059688952902108,-0.366599162663483,-0.626897898302647,-0.105618598336843,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_Ciii,2000,0.861417649255179,-0.149175817536525,0.0595364107233929,-0.367065254284193,-0.626698418639171,-0.106753744951649,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_Civ,2000,0.856942670443766,-0.154384258253515,0.0601627317663366,-0.884648417679457,-1.14564637618679,-0.622961365249108,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_Civ,2000,0.856938899185125,-0.154388659092765,0.0600144374146609,-0.885084607449171,-1.14543893532064,-0.624044581565275,0
struct2020,VM125,AUC,0.864591263374604,M0,AUCinf_true,2000,0.864983216494914,-0.14504517513455,0.0578377877086234,0.0453339209998127,-0.207945126614528,0.299255808127219,0
struct2020,VM125,AUC,0.864591263374604,M1,AUCinf_true,2000,0.864979690224807,-0.1450492518348,0.0576897830689732,0.044926066993356,-0.207704638541362,0.29819632363921,0
