pk_model,scenario,auc_ratio,cmax_ratio,config,analysis_model,n_trials,n_pass,pass_pct,lo,hi,diff_vs_M0_pp,diff_lo,diff_hi
k2016,S00,1,1,F3B,M0,10000,9954,99.54,99.3870194284531,99.6549340129802,,,
k2016,S00,1,1,F3B,M1,10000,9964,99.64,99.502037005637,99.7398396361222,0.1,0.0380483966148605,0.16195160338514
k2016,S00,1,1,F3B,M2,10000,9965,99.65,99.5136468123541,99.7482221494378,0.11,0.0160234588769538,0.203976541123046
k2016,S00,1,1,F3C,M0,10000,9951,99.51,99.3528391576189,99.6291373237167,,,
k2016,S00,1,1,F3C,M1,10000,9960,99.6,99.455808735402,99.7060986262268,0.09,0.0312246070905424,0.148775392909458
k2016,S00,1,1,F3C,M2,10000,9962,99.62,99.478882314172,99.7230096875221,0.11,0.0292133397245881,0.190786660275412
k2016,S00,1,1,G2_Ai,M0,10000,9951,99.51,99.3528391576189,99.6291373237167,,,
k2016,S00,1,1,G2_Ai,M1,10000,9962,99.62,99.478882314172,99.7230096875221,0.11,0.039361856787873,0.180638143212127
k2016,S00,1,1,G2_Ai,M2,10000,9968,99.68,99.5486173072687,99.7732286146208,0.17,0.0802405025403758,0.259759497459624
k2016,S00,1,1,G2_Aii,M0,10000,9933,99.33,99.1500780525033,99.4720366682458,,,
k2016,S00,1,1,G2_Aii,M1,10000,9939,99.39,99.2172789569317,99.5247896840129,0.06,-0.0133293743564656,0.133329374356466
k2016,S00,1,1,G2_Aii,M2,10000,9941,99.41,99.2397579312236,99.5422953497861,0.08,-0.00314360245663597,0.163143602456636
k2016,S00,1,1,G2_B,M0,10000,9980,99.8,99.6912649335349,99.8704888287457,,,
k2016,S00,1,1,G2_B,M1,10000,9983,99.83,99.7279014584904,99.893829263888,0.03,-0.00394417675578445,0.0639441767557844
k2016,S00,1,1,G2_B,M2,10000,9985,99.85,99.7526415450029,99.9090738174407,0.05,-0.00879369221050768,0.108793692210508
k2016,S00,1,1,G2_Ci,M0,10000,9959,99.59,99.4443005072309,99.6976145343654,,,
k2016,S00,1,1,G2_Ci,M1,10000,9965,99.65,99.5136468123541,99.7482221494378,0.06,0.0120028882169461,0.107997111783054
k2016,S00,1,1,G2_Ci,M2,10000,9968,99.68,99.5486173072687,99.7732286146208,0.09,0.0141076247923555,0.165892375207644
k2016,S00,1,1,G2_Cii,M0,10000,9957,99.57,99.4213378416848,99.6805925598463,,,
k2016,S00,1,1,G2_Cii,M1,10000,9963,99.63,99.4904491255017,99.7314351962249,0.06,0.0120028882169461,0.107997111783054
k2016,S00,1,1,G2_Cii,M2,10000,9966,99.66,99.5252794634544,99.75658181837,0.09,0.0141076247923555,0.165892375207644
k2016,S00,1,1,P2,M0,10000,9955,99.55,99.3984428906251,99.6635028708408,,,
k2016,S00,1,1,P2,M1,10000,9965,99.65,99.5136468123541,99.7482221494378,0.1,0.0380483966148605,0.16195160338514
k2016,S00,1,1,P2,M2,10000,9966,99.66,99.5252794634544,99.75658181837,0.11,0.020204556460516,0.199795443539484
k2020,F097,0.952367656502161,0.965498850360188,AUCinf_true_only,M0,10000,9592,95.92,95.5143074247688,96.2904261648683,,,
k2020,F097,0.952367656502161,0.965498850360188,AUCinf_true_only,M1,10000,9629,96.29,95.9014229297069,96.6430265011358,0.37,0.244704503314207,0.495295496685793
k2020,F097,0.952367656502161,0.965498850360188,AUCinf_true_only,M2,10000,9675,96.75,96.384103024117,97.0799931282248,0.83,0.609712139238637,1.05028786076136
k2020,F097,0.952367656502161,0.965498850360188,AUClast_only,M0,10000,9469,94.69,94.2331001283944,95.1125780972346,,,
k2020,F097,0.952367656502161,0.965498850360188,AUClast_only,M1,10000,9529,95.29,94.8571005536198,95.6881168739643,0.6,0.448630413616909,0.751369586383091
k2020,F097,0.952367656502161,0.965498850360188,AUClast_only,M2,10000,9560,95.6,95.1802065822493,95.984772766345,0.91,0.660392512207328,1.15960748779267
k2020,F097,0.952367656502161,0.965498850360188,F3A,M0,10000,9262,92.62,92.0910479937288,93.1162199851547,,,
k2020,F097,0.952367656502161,0.965498850360188,F3A,M1,10000,9344,93.44,92.9378746227622,93.9087635987934,0.82,0.620759337161592,1.01924066283841
k2020,F097,0.952367656502161,0.965498850360188,F3A,M2,10000,9400,94,93.5174211823169,94.4487869610635,1.38,1.09186715402958,1.66813284597042
k2020,F097,0.952367656502161,0.965498850360188,F3B,M0,10000,9452,94.52,94.0565953715055,94.9492134135695,,,
k2020,F097,0.952367656502161,0.965498850360188,F3B,M1,10000,9516,95.16,94.7217542000509,95.5635630671096,0.64,0.483697622083089,0.796302377916911
k2020,F097,0.952367656502161,0.965498850360188,F3B,M2,10000,9546,95.46,95.0342234968087,95.8508633713293,0.94,0.688136686603647,1.19186331339635
k2020,F097,0.952367656502161,0.965498850360188,F3C,M0,10000,9441,94.41,93.9424505867936,94.8434426779229,,,
k2020,F097,0.952367656502161,0.965498850360188,F3C,M1,10000,9515,95.15,94.7113464426242,95.5539785045037,0.74,0.572014110967597,0.907985889032403
k2020,F097,0.952367656502161,0.965498850360188,F3C,M2,10000,9542,95.42,94.992533738655,95.8125838493527,1.01,0.759004973799336,1.26099502620066
k2020,F097,0.952367656502161,0.965498850360188,G2_Ai,M0,10000,9579,95.79,95.3785049726411,96.1663284565723,,,
