pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,n_pass,pass_pct,lo,hi,n_trials_10k,n_pass_10k,pass_pct_10k,lo_10k,hi_10k,class,class_10k
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_Ci,10000,427,4.27,3.89098205319108,4.684138437791,10000,427,4.27,3.89098205319108,4.684138437791,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_Cii,10000,401,4.01,3.64279583231641,4.41252433781842,10000,401,4.01,3.64279583231641,4.41252433781842,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,P2,10000,360,3.6,3.25233119259569,3.9833038562031,10000,360,3.6,3.25233119259569,3.9833038562031,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,AUCinf_true_only,10000,477,4.77,4.36935891355785,5.20537757905355,10000,477,4.77,4.36935891355785,5.20537757905355,nominal,nominal
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,AUClast_only,10000,369,3.69,3.33794100858006,4.07762492051201,10000,369,3.69,3.33794100858006,4.07762492051201,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,F3A,10000,297,2.97,2.65491315664892,3.32120573009692,10000,297,2.97,2.65491315664892,3.32120573009692,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,F3B,10000,341,3.41,3.07180293534988,3.78397803282977,10000,341,3.41,3.07180293534988,3.78397803282977,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,F3C,10000,349,3.49,3.14778023968503,3.86793928875531,10000,349,3.49,3.14778023968503,3.86793928875531,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,G2_Ai,10000,677,6.77,6.29401248448053,7.27918801464817,10000,677,6.77,6.29401248448053,7.27918801464817,exceeding,exceeding
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,G2_Aii,10000,780,7.8,7.2904492162259,8.3419602462592,10000,780,7.8,7.2904492162259,8.3419602462592,exceeding,exceeding
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,G2_B,10000,577,5.77,5.32974130900298,6.24422718686707,10000,577,5.77,5.32974130900298,6.24422718686707,exceeding,exceeding
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M2,G2_Ci,10000,421,4.21,3.8336715434277,4.62149502735886,10000,421,4.21,3.8336715434277,4.62149502735886,conservative,conservative
