pk_model,scenario,config,comparison,diff_pp,lo,hi,n_trials,n_gain,n_loss
k2020,F_up_125,G2_Ai,M1 minus M0,0.37,0.195936893889833,0.544063106110167,10000,58,21
k2020,F_up_125,G2_Aii,M1 minus M0,0.64,0.411763931469099,0.868236068530901,10000,100,36
k2020,F_up_125,G2_B,M1 minus M0,0.55,0.405038209253027,0.694961790746974,10000,55,0
k2020,F_up_125,G2_Ci,M1 minus M0,0.56,0.413733665420462,0.706266334579538,10000,56,0
k2020,F_up_125,G2_Cii,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2020,F_up_125,P2,M1 minus M0,0.38,0.259403452760921,0.500596547239079,10000,38,0
k2020,V2_up_080,AUCinf_true_only,M1 minus M0,0.355,0.27256988929708,0.43743011070292,20000,71,0
k2020,V2_up_080,AUClast_only,M1 minus M0,0.45,0.357237842754208,0.542762157245792,20000,90,0
k2020,V2_up_080,F3A,M1 minus M0,0.205,0.136458406149932,0.273541593850068,20000,45,4
k2020,V2_up_080,F3B,M1 minus M0,0.32,0.23930838158221,0.40069161841779,20000,66,2
k2020,V2_up_080,F3C,M1 minus M0,0.405,0.316978203042716,0.493021796957284,20000,81,0
k2020,V2_up_080,G2_Ai,M1 minus M0,0.275,0.190214569641384,0.359785430358616,20000,65,10
k2020,V2_up_080,G2_Aii,M1 minus M0,0.22,0.145427236778358,0.294572763221642,20000,51,7
k2020,V2_up_080,G2_B,M1 minus M0,0.325,0.242546124200151,0.407453875799849,20000,68,3
k2020,V2_up_080,G2_Ci,M1 minus M0,0.43,0.338260608654047,0.521739391345953,20000,87,1
k2020,V2_up_080,G2_Cii,M1 minus M0,0.385,0.299170479708442,0.470829520291558,20000,77,0
k2020,V2_up_080,P2,M1 minus M0,0.445,0.352752311065796,0.537247688934204,20000,89,0
k2020,Vmax_down_125,AUCinf_true_only,M1 minus M0,0.43,0.301746776865786,0.558253223134214,10000,43,0
k2020,Vmax_down_125,AUClast_only,M1 minus M0,0.29,0.184600593859299,0.395399406140701,10000,29,0
k2020,Vmax_down_125,F3A,M1 minus M0,0.29,0.184600593859299,0.395399406140701,10000,29,0
k2020,Vmax_down_125,F3B,M1 minus M0,0.29,0.184600593859299,0.395399406140701,10000,29,0
k2020,Vmax_down_125,F3C,M1 minus M0,0.27,0.168289778891308,0.371710221108692,10000,27,0
k2020,Vmax_down_125,G2_Ai,M1 minus M0,0.4,0.20811403553186,0.591885964468141,10000,68,28
k2020,Vmax_down_125,G2_Aii,M1 minus M0,-0.16,-0.439935282134635,0.119935282134635,10000,94,110
k2020,Vmax_down_125,G2_B,M1 minus M0,0.47,0.330327049814604,0.609672950185396,10000,49,2
k2020,Vmax_down_125,G2_Ci,M1 minus M0,0.43,0.298785451091301,0.561214548908699,10000,44,1
k2020,Vmax_down_125,G2_Cii,M1 minus M0,0.47,0.335941073361397,0.604058926638603,10000,47,0
k2020,Vmax_down_125,P2,M1 minus M0,0.29,0.184600593859299,0.395399406140701,10000,29,0
k2020,Vmax_up_080,AUCinf_true_only,M1 minus M0,0.42,0.293240501301207,0.546759498698793,10000,42,0
k2020,Vmax_up_080,AUClast_only,M1 minus M0,0.2,0.112431063510116,0.287568936489884,10000,20,0
k2020,Vmax_up_080,F3A,M1 minus M0,0.22,0.128166127758632,0.311833872241369,10000,22,0
k2020,Vmax_up_080,F3B,M1 minus M0,0.2,0.112431063510116,0.287568936489884,10000,20,0
k2020,Vmax_up_080,F3C,M1 minus M0,0.17,0.0892532961526823,0.250746703847318,10000,17,0
k2020,Vmax_up_080,G2_Ai,M1 minus M0,0.52,0.25869381550746,0.78130618449254,10000,115,63
