pk_model,scenario,endpoint,analysis_model,n_trials,mean_log_gmr,sd_log_gmr,se_median,df_median,true_ratio,bias_log,bias_mc_se,sd_se_ratio,bias_lo,bias_hi,bias_pct,sd_se_lo,sd_se_hi,pred_pct,theory_boundary_pct,bias_dir
k2016,F097,Cmax,M0,10000,-0.0351921099478729,0.0422597770962824,0.0432705845,232,0.965269785236406,0.00015553657457567,0.000422597770962824,0.976639848631637,-0.000672739836458373,0.000983812985609712,0.0155548671015859,0.963102813749463,0.990174306054944,99.7074617188921,,
k2016,F097,Cmax,M1,10000,-0.0351917020460924,0.0422546863205901,0.042409946,231,0.965269785236406,0.000155944476356099,0.000422546863205901,0.99633907387173,-0.00067223215730784,0.000984121110020037,0.0155956636328058,0.982528991458678,1.01014652683752,99.7364707339764,,
k2016,F097,Cmax,M2,10000,-0.0352029083423695,0.041922880805585,0.042032103,231,0.965269785236406,0.000144738180079047,0.00041922880805585,0.997401457775858,-0.000676935184992074,0.000966411545150169,0.0144748655154903,0.983576649844501,1.0112236334562,99.7649073309896,,
k2016,F_down_080,AUCinf_A,M0,10000,-0.20393738391017,0.0516828094133528,0.0527523495,181,0.79988525403249,0.0193496101508464,0.000516828094133528,0.979725261589587,0.0183366457001462,0.0203625746015466,1.95380271604693,0.966145460335658,0.993302477241909,9.41014844462086,4.97236873989632,toward_1
k2016,F_down_080,AUCinf_A,M1,10000,-0.204710695598639,0.0513659932729156,0.051266555,180,0.79988525403249,0.0185762984623769,0.000513659932729156,1.00193963243513,0.0175695434939265,0.0195830534308273,1.87499112561225,0.988051921655046,1.01582469898747,9.82982730087128,4.9715717721515,toward_1
k2016,F_down_080,AUCinf_A,M2,10000,-0.20505921763232,0.050690659059418,0.050602042,180,0.79988525403249,0.0182277764286961,0.00050690659059418,1.00175125461178,0.0172342577676056,0.0192212950897867,1.83949163306094,0.987866154903899,1.01563371058906,9.78821285958018,4.9711993164447,toward_1
k2016,F_down_080,AUCinf_Ai,M0,10000,-0.207476993357999,0.0503014538299542,0.051266906,196,0.79988525403249,0.0158100007030168,0.000503014538299542,0.981168121008788,0.0148241103242497,0.0167958910817839,1.59356400100488,0.967568320531691,0.994765332076415,8.48867724976623,4.97154249603532,toward_1
k2016,F_down_080,AUCinf_Ai,M1,10000,-0.2079965543884,0.0500269129400931,0.0497990455,195,0.79988525403249,0.0152904396726164,0.000500269129400931,1.00457573910916,0.0143099301964133,0.0162709491488194,1.54079365410544,0.990651489713478,1.01849733732012,8.97330959050696,4.97070742358328,toward_1
k2016,F_down_080,AUCinf_Ai,M2,10000,-0.208232624646801,0.049323006123813,0.0491525405,195,0.79988525403249,0.0150543694142156,0.00049323006123813,1.003468093858,0.0140876562580964,0.0160210825703348,1.51682572187859,0.989559197340273,1.0173743421142,8.93640421365664,4.97032305882847,toward_1
k2016,F_down_080,AUCinf_B,M0,10000,-0.2125562786526,0.0470472175116293,0.048533683,227,0.79988525403249,0.0107307154084167,0.000470472175116293,0.969372497686386,0.00980860688946051,0.0116528239273728,1.07884960258451,0.95593619429022,0.982806242803015,6.96047373597524,4.96989590072905,toward_1
k2016,F_down_080,AUCinf_B,M1,10000,-0.2128039871871,0.0470112308980085,0.047119111,226,0.79988525403249,0.0104830068739159,0.000470112308980085,0.997710480955562,0.00956160367962594,0.0114044100682058,1.05381460969913,0.98388138970772,1.01153693913685,7.55757811474577,4.96899577531595,toward_1
k2016,F_down_080,AUCinf_B,M2,10000,-0.2129615901631,0.0463978963194789,0.0464780205,226,0.79988525403249,0.0103254038979158,0.000463978963194789,0.998276084487698,0.00941602184046981,0.0112347859553619,1.03788948273715,0.984439153507784,1.01211038090836,7.56396635840103,4.96856920335835,toward_1
k2016,F_down_080,AUCinf_C,M0,10000,-0.2270430545104,0.0493981524050815,0.0510100965,232,0.79988525403249,-0.00375606044938404,0.000493981524050815,0.968399509008604,-0.00472424644555184,-0.00278787445321623,-0.374901527779137,0.954976692039077,0.981819770266418,3.71892653670294,4.97134779894942,away_from_1
k2016,F_down_080,AUCinf_C,M1,10000,-0.227037117464901,0.0493855135754834,0.0495202295,231,0.79988525403249,-0.00375012340388439,0.000493855135754834,0.997279577944674,-0.00471806168354401,-0.00278218512422478,-0.374310047280779,0.983456459368434,1.01110006459156,4.13861741936302,4.97048907325958,away_from_1
k2016,F_down_080,AUCinf_C,M2,10000,-0.2270674423466,0.048749054494341,0.0488547715,231,0.79988525403249,-0.00378044828558363,0.00048749054494341,0.997836096610153,-0.00473591219647652,-0.00282498437469075,-0.377331138735448,0.984005264225596,1.01166429559664,4.13217392763287,4.97008806837338,away_from_1
k2016,F_down_080,AUCinf_Ci,M0,10000,-0.2252395919833,0.0489814476144639,0.050634136,232,0.79988525403249,-0.00195259792228367,0.000489814476144639,0.967360193812014,-0.00291261665463351,-0.000992579189933821,-0.195069284311356,0.953951782609454,0.980766052045727,4.00624101019007,4.97113554960469,away_from_1
