input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2016,fixed,mechanistic,52,1,M1,85,89,99
k2016,fixed,mechanistic,52,1,M1,90,101,113
k2016,ratio,equal,35,0.9,M0,85,124,138
k2016,ratio,equal,35,0.9,M0,90,145,162
k2016,ratio,equal,35,0.9,M1,85,119,133
k2016,ratio,equal,35,0.9,M1,90,140,156
k2016,ratio,equal,35,0.95,M0,85,59,66
k2016,ratio,equal,35,0.95,M0,90,69,77
k2016,ratio,equal,35,0.95,M1,85,57,64
k2016,ratio,equal,35,0.95,M1,90,66,74
k2016,ratio,equal,35,1,M0,85,45,50
k2016,ratio,equal,35,1,M0,90,51,57
k2016,ratio,equal,35,1,M1,85,44,49
k2016,ratio,equal,35,1,M1,90,49,55
k2016,ratio,equal,40,0.9,M0,85,161,179
k2016,ratio,equal,40,0.9,M0,90,188,209
k2016,ratio,equal,40,0.9,M1,85,155,173
k2016,ratio,equal,40,0.9,M1,90,182,203
k2016,ratio,equal,40,0.95,M0,85,76,85
k2016,ratio,equal,40,0.95,M0,90,89,99
k2016,ratio,equal,40,0.95,M1,85,74,83
k2016,ratio,equal,40,0.95,M1,90,86,96
k2016,ratio,equal,40,1,M0,85,58,65
k2016,ratio,equal,40,1,M0,90,65,73
k2016,ratio,equal,40,1,M1,85,57,64
k2016,ratio,equal,40,1,M1,90,64,72
k2016,ratio,equal,43,0.9,M0,85,184,205
k2016,ratio,equal,43,0.9,M0,90,215,239
k2016,ratio,equal,43,0.9,M1,85,179,199
k2016,ratio,equal,43,0.9,M1,90,209,233
k2016,ratio,equal,43,0.95,M0,85,88,98
k2016,ratio,equal,43,0.95,M0,90,102,114
k2016,ratio,equal,43,0.95,M1,85,85,95
k2016,ratio,equal,43,0.95,M1,90,99,110
k2016,ratio,equal,43,1,M0,85,67,75
k2016,ratio,equal,43,1,M0,90,75,84
k2016,ratio,equal,43,1,M1,85,65,73
k2016,ratio,equal,43,1,M1,90,73,82
k2016,ratio,equal,46,0.9,M0,85,208,232
k2016,ratio,equal,46,0.9,M0,90,244,272
k2016,ratio,equal,46,0.9,M1,85,203,226
k2016,ratio,equal,46,0.9,M1,90,238,265
k2016,ratio,equal,46,0.95,M0,85,99,110
k2016,ratio,equal,46,0.95,M0,90,115,128
k2016,ratio,equal,46,0.95,M1,85,97,108
k2016,ratio,equal,46,0.95,M1,90,113,126
k2016,ratio,equal,46,1,M0,85,75,84
k2016,ratio,equal,46,1,M0,90,85,95
k2016,ratio,equal,46,1,M1,85,74,83
k2016,ratio,equal,46,1,M1,90,83,93
k2016,ratio,equal,50,0.9,M0,85,243,270
k2016,ratio,equal,50,0.9,M0,90,284,316
k2016,ratio,equal,50,0.9,M1,85,237,264
k2016,ratio,equal,50,0.9,M1,90,278,309
k2016,ratio,equal,50,0.95,M0,85,115,128
k2016,ratio,equal,50,0.95,M0,90,134,149
k2016,ratio,equal,50,0.95,M1,85,113,126
k2016,ratio,equal,50,0.95,M1,90,132,147
k2016,ratio,equal,50,1,M0,85,88,98
k2016,ratio,equal,50,1,M0,90,99,110
k2016,ratio,equal,50,1,M1,85,86,96
k2016,ratio,equal,50,1,M1,90,97,108
k2016,ratio,equal,52,0.9,M0,85,260,289
k2016,ratio,equal,52,0.9,M0,90,305,339
k2016,ratio,equal,52,0.9,M1,85,255,284
k2016,ratio,equal,52,0.9,M1,90,299,333
k2016,ratio,equal,52,0.95,M0,85,124,138
k2016,ratio,equal,52,0.95,M0,90,144,160
k2016,ratio,equal,52,0.95,M1,85,121,135
k2016,ratio,equal,52,0.95,M1,90,141,157
k2016,ratio,equal,52,1,M0,85,94,105
k2016,ratio,equal,52,1,M0,90,106,118
k2016,ratio,equal,52,1,M1,85,93,104
k2016,ratio,equal,52,1,M1,90,104,116
k2016,ratio,mechanistic,35,0.9,M0,85,118,132
k2016,ratio,mechanistic,35,0.9,M0,90,139,155
k2016,ratio,mechanistic,35,0.9,M1,85,112,125
k2016,ratio,mechanistic,35,0.9,M1,90,133,148
k2016,ratio,mechanistic,35,0.95,M0,85,58,65
k2016,ratio,mechanistic,35,0.95,M0,90,67,75
k2016,ratio,mechanistic,35,0.95,M1,85,55,62
k2016,ratio,mechanistic,35,0.95,M1,90,64,72
k2016,ratio,mechanistic,35,1,M0,85,45,50
k2016,ratio,mechanistic,35,1,M0,90,51,57
k2016,ratio,mechanistic,35,1,M1,85,44,49
k2016,ratio,mechanistic,35,1,M1,90,49,55
k2016,ratio,mechanistic,40,0.9,M0,85,152,169
k2016,ratio,mechanistic,40,0.9,M0,90,180,200
k2016,ratio,mechanistic,40,0.9,M1,85,146,163
k2016,ratio,mechanistic,40,0.9,M1,90,174,194
k2016,ratio,mechanistic,40,0.95,M0,85,74,83
k2016,ratio,mechanistic,40,0.95,M0,90,87,97
k2016,ratio,mechanistic,40,0.95,M1,85,72,80
k2016,ratio,mechanistic,40,0.95,M1,90,84,94
k2016,ratio,mechanistic,40,1,M0,85,58,65
k2016,ratio,mechanistic,40,1,M0,90,65,73
k2016,ratio,mechanistic,40,1,M1,85,57,64
k2016,ratio,mechanistic,40,1,M1,90,64,72
k2016,ratio,mechanistic,43,0.9,M0,85,174,194
k2016,ratio,mechanistic,43,0.9,M0,90,206,229
k2016,ratio,mechanistic,43,0.9,M1,85,168,187
k2016,ratio,mechanistic,43,0.9,M1,90,200,223
k2016,ratio,mechanistic,43,0.95,M0,85,85,95
k2016,ratio,mechanistic,43,0.95,M0,90,99,110
k2016,ratio,mechanistic,43,0.95,M1,85,83,93
k2016,ratio,mechanistic,43,0.95,M1,90,97,108
k2016,ratio,mechanistic,43,1,M0,85,67,75
k2016,ratio,mechanistic,43,1,M0,90,75,84
k2016,ratio,mechanistic,43,1,M1,85,65,73
k2016,ratio,mechanistic,43,1,M1,90,73,82
