input_model,cv,gmr,n,analysis_model,analytic_pct,mc_trials,mc_pct,mc_lo,mc_hi,diff_pp,analytic_in_ci
k2016,40,1,100,M0,98.7440736614795,5000,98.44,98.0574487489678,98.7481762865951,-0.304073661479507,TRUE
k2016,40,1,100,M1,98.9136955396839,5000,98.64,98.2795771379468,98.9257408168381,-0.273695539683914,TRUE
k2016,40,1,117,M0,99.5630765441507,5000,99.48,99.2391450796976,99.6448831358196,-0.0830765441506429,TRUE
k2016,40,1,117,M1,99.6285775979382,5000,99.56,99.3346618585059,99.7092435247001,-0.0685775979381447,TRUE
k2016,40,1,130,M0,99.8080024906977,5000,99.9,99.7661046949942,99.9572786508891,0.0919975093023027,TRUE
k2016,40,1,130,M1,99.8388057318556,5000,99.9,99.7661046949942,99.9572786508891,0.0611942681444049,TRUE
k2016,40,1,140,M0,99.8987765112405,5000,99.9,99.7661046949942,99.9572786508891,0.00122348875950706,TRUE
k2016,40,1,140,M1,99.9157919659063,5000,99.9,99.7661046949942,99.9572786508891,-0.0157919659062742,TRUE
k2016,43,1,100,M0,97.4200789236632,5000,97.62,97.1595305131865,98.0073535535662,0.199921076336807,TRUE
k2016,43,1,100,M1,97.7051430962982,5000,97.94,97.5079201514317,98.2984725860763,0.234856903701825,TRUE
k2016,43,1,117,M0,98.9396602513578,5000,98.9,98.5710359833467,99.1538827664267,-0.0396602513577733,TRUE
k2016,43,1,117,M1,99.0693351625069,5000,99.06,98.7523288067199,99.2923442784311,-0.00933516250688626,TRUE
k2016,43,1,130,M0,99.4699104917599,5000,99.42,99.1682661367759,99.5958542029746,-0.0499104917599311,TRUE
k2016,43,1,130,M1,99.5391975755653,5000,99.48,99.2391450796976,99.6448831358196,-0.0591975755653209,TRUE
k2016,43,1,140,M0,99.6912220710171,5000,99.6,99.3829382389288,99.7409057281215,-0.0912220710171141,TRUE
k2016,43,1,140,M1,99.7334851084181,5000,99.64,99.431626626336,99.7721559245587,-0.0934851084181219,TRUE
k2016,46,1,100,M0,95.3679268792683,5000,94.94,94.2972301781981,95.5137687709802,-0.427926879268298,TRUE
k2016,46,1,100,M1,95.7867519709241,5000,95.42,94.8048554254606,95.9654065298505,-0.366751970924071,TRUE
k2016,46,1,117,M0,97.8354728683485,5000,97.48,97.007757917164,97.8793411061334,-0.355472868348528,TRUE
k2016,46,1,117,M1,98.0521353425743,5000,97.66,97.2029623301881,98.0438603204091,-0.392135342574264,FALSE
k2016,46,1,130,M0,98.8052642081683,5000,98.7,98.3465407230879,98.9786851074636,-0.105264208168322,TRUE
k2016,46,1,130,M1,98.9331644947797,5000,98.84,98.5034632190079,99.1015476549989,-0.0931644947797281,TRUE
k2016,46,1,140,M0,99.2486655790801,5000,99.42,99.1682661367759,99.5958542029746,0.171334420919919,TRUE
k2016,46,1,140,M1,99.3329482751924,5000,99.5,99.2629076527497,99.6610898546897,0.167051724807607,TRUE
k2016,50,1,100,M0,91.4800296768546,5000,91.64,90.8404611743156,92.3756046077,0.159970323145402,TRUE
k2016,50,1,100,M1,92.0790873012339,5000,92.32,91.549019326836,93.0260023805343,0.240912698766081,TRUE
k2016,50,1,117,M0,95.4660224067135,5000,95.36,94.7413123077758,95.9090417717686,-0.106022406713521,TRUE
k2016,50,1,117,M1,95.8195346859581,5000,95.84,95.2504468332838,96.3591702523934,0.0204653140418571,TRUE
k2016,50,1,130,M0,97.2323968812155,5000,97.12,96.6190258200132,97.5486259486847,-0.112396881215545,TRUE
