input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,n,analysis_model,power_pct
k2016,fixed,mechanistic,50,1,100,M1,92.0790873012339
k2016,fixed,mechanistic,50,1,117,M0,95.4660224067135
k2016,fixed,mechanistic,50,1,117,M1,95.8195346859581
k2016,fixed,mechanistic,50,1,130,M0,97.2323968812155
k2016,fixed,mechanistic,50,1,130,M1,97.4635174775967
k2016,fixed,mechanistic,50,1,140,M0,98.1181116138185
k2016,fixed,mechanistic,50,1,140,M1,98.2829754659034
k2016,fixed,mechanistic,52,0.9,100,M0,51.7755332459541
k2016,fixed,mechanistic,52,0.9,100,M1,53.0495329774183
k2016,fixed,mechanistic,52,0.9,117,M0,57.5702273124901
k2016,fixed,mechanistic,52,0.9,117,M1,58.8099707944707
k2016,fixed,mechanistic,52,0.9,130,M0,61.573521355939
k2016,fixed,mechanistic,52,0.9,130,M1,62.7775229831056
k2016,fixed,mechanistic,52,0.9,140,M0,64.4284599844504
k2016,fixed,mechanistic,52,0.9,140,M1,65.5998695812869
k2016,fixed,mechanistic,52,0.95,100,M0,79.1903385745092
k2016,fixed,mechanistic,52,0.95,100,M1,80.1379489492209
k2016,fixed,mechanistic,52,0.95,117,M0,85.0563454502335
k2016,fixed,mechanistic,52,0.95,117,M1,85.8004828976807
k2016,fixed,mechanistic,52,0.95,130,M0,88.389782946076
k2016,fixed,mechanistic,52,0.95,130,M1,89.0058931040536
k2016,fixed,mechanistic,52,0.95,140,M0,90.4454360170294
k2016,fixed,mechanistic,52,0.95,140,M1,90.9764161881622
k2016,fixed,mechanistic,52,1,100,M0,89.0878725974751
k2016,fixed,mechanistic,52,1,100,M1,89.7696760890422
k2016,fixed,mechanistic,52,1,117,M0,93.881617349815
k2016,fixed,mechanistic,52,1,117,M1,94.3059129887668
k2016,fixed,mechanistic,52,1,130,M0,96.1105259077981
k2016,fixed,mechanistic,52,1,130,M1,96.3996115258699
k2016,fixed,mechanistic,52,1,140,M0,97.2704179122653
k2016,fixed,mechanistic,52,1,140,M1,97.4833526697959
k2016,ratio,equal,35,0.9,100,M0,76.5944638778033
k2016,ratio,equal,35,0.9,100,M1,78.521563068036
k2016,ratio,equal,35,0.9,117,M0,82.8933573223249
k2016,ratio,equal,35,0.9,117,M1,84.4857806358406
k2016,ratio,equal,35,0.9,130,M0,86.644633129542
k2016,ratio,equal,35,0.9,130,M1,87.9927539965152
k2016,ratio,equal,35,0.9,140,M0,89.0047072345087
k2016,ratio,equal,35,0.9,140,M1,90.1788140124447
k2016,ratio,equal,35,0.95,100,M0,97.5142979065781
k2016,ratio,equal,35,0.95,100,M1,97.8746513592816
k2016,ratio,equal,35,0.95,117,M0,98.864313237064
k2016,ratio,equal,35,0.95,117,M1,99.0476545732194
k2016,ratio,equal,35,0.95,130,M0,99.3838363102776
k2016,ratio,equal,35,0.95,130,M1,99.4905340479323
k2016,ratio,equal,35,0.95,140,M0,99.6174871815991
k2016,ratio,equal,35,0.95,140,M1,99.6870001680908
k2016,ratio,equal,35,1,100,M0,99.8072817558064
k2016,ratio,equal,35,1,100,M1,99.8466774609764
k2016,ratio,equal,35,1,117,M0,99.9537115771916
k2016,ratio,equal,35,1,117,M1,99.964112251849
k2016,ratio,equal,35,1,130,M0,99.9847389622166
k2016,ratio,equal,35,1,130,M1,99.9883846889673
k2016,ratio,equal,35,1,140,M0,99.9935644035808
k2016,ratio,equal,35,1,140,M1,99.995167923926
k2016,ratio,equal,40,0.9,100,M0,65.4740338436486
k2016,ratio,equal,40,0.9,100,M1,67.2657659002035
k2016,ratio,equal,40,0.9,117,M0,72.4495994658028
k2016,ratio,equal,40,0.9,117,M1,74.07179630157
k2016,ratio,equal,40,0.9,130,M0,76.9560435744267
k2016,ratio,equal,40,0.9,130,M1,78.4316368117173
k2016,ratio,equal,40,0.9,140,M0,79.9777736029515
k2016,ratio,equal,40,0.9,140,M1,81.3371271250006
k2016,ratio,equal,40,0.95,100,M0,93.1835837379073
k2016,ratio,equal,40,0.95,100,M1,93.8236155577388
k2016,ratio,equal,40,0.95,117,M0,96.1681247685198
k2016,ratio,equal,40,0.95,117,M1,96.5710275631862
k2016,ratio,equal,40,0.95,130,M0,97.5565415436873
k2016,ratio,equal,40,0.95,130,M1,97.8334490340471
k2016,ratio,equal,40,0.95,140,M0,98.2801698709392
k2016,ratio,equal,40,0.95,140,M1,98.4854666547957
