input_model,cv,gmr,n,analysis_model,n_trials,n_pass,n_pass_auc,n_pass_cmax,power_pct,lo,hi,analytic_pct,diff_pp,analytic_in_ci
k2016,35,1,117,M1,5000,4997,4999,4998,99.94,99.8237293951471,99.9795925345806,99.9353066255085,0.00469337449152363,TRUE
k2016,35,1,130,M0,5000,4998,4999,4998,99.96,99.8542613498577,99.9890298717922,99.9735983608482,-0.013598360848178,TRUE
k2016,35,1,130,M1,5000,4999,4999,4999,99.98,99.8867910919161,99.9964694216561,99.9786379434967,0.00136205650332499,TRUE
k2016,35,1,140,M0,5000,5000,5000,5000,100,99.9232298054943,100,99.9887622207183,0.0112377792817426,TRUE
k2016,35,1,140,M1,5000,5000,5000,5000,100,99.9232298054943,100,99.9910052132313,0.00899478676871013,TRUE
k2016,40,0.9,100,M0,5000,3277,3528,4017,65.54,64.2112542000613,66.8448856234863,65.2663112025876,0.273688797412405,TRUE
k2016,40,0.9,100,M1,5000,3381,3623,4075,67.62,66.3099031105319,68.9030430729243,67.0517637468552,0.568236253144818,TRUE
k2016,40,0.9,117,M0,5000,3606,3807,4286,72.12,70.8604762913657,73.345560574585,72.259149656525,-0.139149656525007,TRUE
k2016,40,0.9,117,M1,5000,3697,3895,4325,73.94,72.7052312533398,75.1380111775309,73.8777453716488,0.0622546283512406,TRUE
k2016,40,0.9,130,M0,5000,3854,4017,4458,77.08,75.8944312715988,78.2239899910569,76.7826491804679,0.297350819532113,TRUE
k2016,40,0.9,130,M1,5000,3931,4096,4492,78.62,77.4618463540744,79.7342103865905,78.2563166384035,0.363683361596529,TRUE
k2016,40,0.9,140,M0,5000,3996,4144,4567,79.92,78.7868363330506,81.0072243825572,79.8186062861864,0.101393713813607,TRUE
k2016,40,0.9,140,M1,5000,4061,4210,4592,81.22,80.1136464941986,82.2784181963521,81.1770829013764,0.0429170986236045,TRUE
k2016,40,0.95,100,M0,5000,4669,4708,4887,93.38,92.6569988263616,94.0363953528853,93.1166196461792,0.263380353820779,TRUE
k2016,40,0.95,100,M1,5000,4699,4734,4899,93.98,93.2863313832987,94.6061415536141,93.758534795912,0.221465204087977,TRUE
k2016,40,0.95,117,M0,5000,4803,4826,4941,96.06,95.4844476243093,96.564831672512,96.1295046257213,-0.0695046257212653,TRUE
k2016,40,0.95,117,M1,5000,4823,4845,4947,96.46,95.9110898174771,96.9375753177882,96.5340161025954,-0.074016102595337,TRUE
k2016,40,0.95,130,M0,5000,4882,4895,4967,97.64,97.1812425085488,98.0256108501262,97.5320641918125,0.107935808187477,TRUE
k2016,40,0.95,130,M1,5000,4890,4902,4971,97.8,97.3552286601531,98.1713790338994,97.8102232826672,-0.010223282667198,TRUE
k2016,40,0.95,140,M0,5000,4905,4910,4989,98.1,97.683000478663,98.4431465942225,98.2632347800233,-0.163234780023274,TRUE
k2016,40,0.95,140,M1,5000,4918,4923,4989,98.36,97.9690142829181,98.676733584956,98.4695135260089,-0.109513526008854,TRUE
k2016,40,1,100,M0,5000,4922,4925,4986,98.44,98.0574487489678,98.7481762865951,98.7440736614795,-0.304073661479507,TRUE
k2016,40,1,100,M1,5000,4932,4934,4991,98.64,98.2795771379468,98.9257408168381,98.9136955396839,-0.273695539683914,TRUE
k2016,40,1,117,M0,5000,4974,4976,4997,99.48,99.2391450796976,99.6448831358196,99.5630765441507,-0.0830765441506429,TRUE
