model,resid,lloq,n,extrap_true_median,extrap_true_p95,coverage_lt80_pct,extrap_median,extrap_p95,extrap_gt20_pct,reliable_no_span_pct,reliable_pct,lambda_fail_pct,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,AUClast_logcv,err_inf_sd,d_rel_i_pp,d_rel_i_lo,d_rel_i_hi,d_rel_ii_pp,d_rel_ii_lo,d_rel_ii_hi,d_lz_fail_pp,d_lz_fail_lo,d_lz_fail_hi,d_cov80_pp,d_cov80_lo,d_cov80_hi,d_ext20_pp,d_ext20_lo,d_ext20_hi
k2020,fixed,0.02,20000,0.0453866052353869,2.6481215283219,0,0.437727707521013,9.13799594403517,0.381066987565182,85.905,81.395,0.280000000000001,42.2319766969886,27.3673343528295,56.5143509567017,20.31,42.4722829939346,0.0576589788030415,-5.93,-6.39461716105881,-5.46538283894119,-2.52,-2.99318172189448,-2.04681827810552,-0.335,-0.415082512443698,-0.254917487556302,0,0,0,-0.42,-0.509630260157136,-0.330369739842864
k2020,fixed,0.05,20000,0.506576219843891,3.35322663630603,0,2.48446301422323,11.2997553384437,0.638511814982403,90.44,83.39,0.549999999999997,35.6629547355697,27.0442349944031,55.6329604068538,7.435,42.6998141702812,0.0581178399549876,-1.395,-1.62085013481483,-1.16914986518517,-0.525,-0.745108836492054,-0.304891163507946,-0.065,-0.100323150974955,-0.0296768490250451,0,0,0,-0.165,-0.221250622644379,-0.108749377355621
k2020,fixed,0.078,20000,0.640350151289987,3.53955961566025,0,2.94855018608216,11.9464935924674,0.804950445238215,91.835,83.915,0.614999999999995,35.3804970053025,21.9556309932377,55.1956999506569,5.525,42.7759962247525,0.0582799077581742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k2020,fixed,0.1,20000,0.668959789303775,3.6047668856865,0,3.03912432482509,12.0631266798363,0.850400040255623,92.275,84.06,0.634999999999991,35.3348300061189,21.8704632009147,55.1362908822717,5.335,42.7921857791219,0.0583358482322357,0.44,0.328428595712054,0.551571404287946,0.145,0.0465310709148964,0.243468929085104,0.02,0.000401830256223831,0.0395981697437762,0,0,0,0.045,0.0156064210060278,0.0743935789939722
k2020,fixed,0.2,20000,0.741800274047705,3.79796414601131,0,3.24653553420556,12.4568444611,0.976591995972816,93.64,84.59,0.674999999999997,35.2786909877323,21.7618545454927,55.0535413284088,5.105,42.8179560627921,0.0584736381862214,1.805,1.6002551001388,2.0097448998612,0.675,0.496949042084392,0.853050957915608,0.06,0.0260617653109476,0.0939382346890524,0,0,0,0.17,0.112904885653865,0.227095114346135
k2020,fixed,0.5,20000,0.960778761901482,4.36519882724084,0,3.89329131917328,14.0112894565345,1.4217292664482,94.95,83.555,0.825000000000003,35.1343572693877,21.5160204017302,49.9002128488151,4.525,42.9228268706987,0.059083577197225,3.115,2.82834289934823,3.40165710065177,-0.36,-0.644664609954409,-0.0753353900455908,0.21,0.146555042689276,0.273444957310724,0,0,0,0.61,0.50208539793047,0.71791460206953
k2020,scaled,0.02,20000,0.572936269337721,3.37006715378704,0,2.71845175303772,11.3822558570368,0.699160002011971,89.41,82.3,0.594999999999999,35.435016666539,27.0153731781524,55.2632310123881,5.795,42.7592697526896,0.0581730172220403,-2.425,-2.66329251341406,-2.18670748658594,-1.615,-1.83928740200685,-1.39071259799315,-0.02,-0.0509892867422236,0.0109892867422236,0,0,0,-0.105,-0.153978710726847,-0.0560212892731531
k2020,scaled,0.05,20000,0.618077171686521,3.47072264401306,0,2.87663954204505,11.7859041795403,0.764587525150906,91.075,83.44,0.599999999999994,35.4003588622436,21.9937575215474,55.2251560747624,5.635,42.7703718818327,0.0582400349028025,-0.76,-0.901625281514004,-0.618374718485997,-0.475,-0.612392838511333,-0.337607161488667,-0.015,-0.0369126252268469,0.00691262522684694,0,0,0,-0.04,-0.0739438939855098,-0.00605610601449023
k2020,scaled,0.078,20000,0.640350151289987,3.53955961566025,0,2.94855018608216,11.9464935924674,0.804950445238215,91.835,83.915,0.614999999999995,35.3804970053025,21.9556309932377,55.1956999506569,5.525,42.7759962247525,0.0582799077581742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k2020,scaled,0.1,20000,0.655591893543106,3.59057710011553,0,2.99181909950674,11.9945070972675,0.835262151554795,92.25,84.16,0.629999999999996,35.3645728572737,21.9261028581066,55.193711823551,5.51,42.7827645523794,0.0583067627908895,0.415,0.306464314112269,0.523535685887731,0.245,0.137252776242144,0.352747223757856,0.015,-0.00197293725818501,0.031972937258185,0,0,0,0.03,0.00228434907209988,0.0577156509279001
k2020,scaled,0.2,20000,0.731010249903485,3.79692553951065,0,3.20361822132878,12.4979176380676,0.94643576318969,93.625,84.68,0.680000000000007,35.3093241304159,21.7854750141269,55.110962400469,5.26,42.8066967167977,0.0584600881746328,1.79,1.56151094503984,2.01848905496016,0.765,0.53604112903339,0.99395887096661,0.065,0.0296768490250451,0.100323150974955,0,0,0,0.14,0.0812316327006596,0.19876836729934
k2020,scaled,0.5,20000,0.947140910209882,4.36328651382553,0,3.86895610771761,13.9526394086767,1.36177939173854,94.94,83.4,0.865000000000009,35.1591307362542,21.5423498375807,49.9311831391417,4.665,42.9002052466399,0.0592356570986885,3.105,2.78507358950784,3.42492641049216,-0.515,-0.886688641407015,-0.143311358592985,0.25,0.176744924370646,0.323255075629354,0,0,0,0.55,0.435967074486787,0.664032925513213
