model,lloq,timing,definition_day,n_subjects,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n,lloq_never_pct,lloq_studyday_median,lloq_studyday_p05,lloq_studyday_p95,lloq_after_day58_pct,c_start1_below_lloq_pct,len1_median,len1_p95,len2_median
k2016,0.02,windowed,2,20000,44.415,43.7275224079513,45.1046226347954,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.6100064957343,27.3071835397267,54.4147646743147,2.59,0,1.52275755509388,1.56030957455624,3.08608062445151
k2016,0.05,windowed,2,20000,43.2,42.5148569408493,43.8877547495137,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.5258136075772,27.2429805833468,54.3110406946448,2.505,0,1.4404854086298,1.47657758232411,3.00122409761861
k2016,0.078,windowed,2,20000,42.4,41.716623531829,43.0862954162238,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4647596937202,27.1952125885761,54.2389099403096,2.47,0,1.3815220572994,1.4285785279045,2.94085101477083
k2016,0.1,windowed,2,20000,41.795,41.1130814226658,42.4800698890149,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.4181523875963,27.1598802549227,54.1860231566803,2.44,0,1.33800847154355,1.39625937262097,2.89734773076721
k2016,0.2,windowed,2,20000,39.025,38.3511166791785,39.703098512253,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,38.2286532213037,26.99504083409,53.9653896716921,2.335,0,1.15251788481324,1.26456591501051,2.71410733263424
k2016,0.5,windowed,2,20000,31.395,30.7554317981534,32.0417138634942,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,37.6854550824632,26.573226220011,53.3520970583767,2.05,0.59,0.631632208270986,0.900068372363201,2.19879645870525
k2020,0.02,nominal,1,20000,20.865,20.3074680055959,21.4337219353933,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.9147347187812,28.8450646539625,57.770730129171,4.8,0,1.5265294534681,1.55038137166809,3.08262822816317
k2020,0.05,nominal,1,20000,19.645,19.1002140525169,20.2014444564492,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.8272604154783,28.7745274329025,57.660693698062,4.685,0,1.44256618617223,1.46708633049794,2.99630501330808
k2020,0.078,nominal,1,20000,18.825,18.2892396807743,19.3727337673238,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7685378859273,28.7255249421131,57.5793756314783,4.595,0,1.38301245217869,1.42223477258374,2.93655451908038
k2020,0.1,nominal,1,20000,18.245,17.7158579681165,18.7863382418067,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7254244899901,28.6951901551623,57.520332349912,4.54,0,1.33979583443379,1.3911886709676,2.89371085569901
k2020,0.2,nominal,1,20000,15.655,15.1579964942619,16.1651944624319,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.5395351784082,28.54452435104,57.2893083691368,4.37,0,1.15554445946865,1.26439459454035,2.71164735531738
k2020,0.5,nominal,1,20000,8.62,8.23893603757241,9.01695686643081,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.0189898758671,28.1209755526987,56.6189027466867,3.805,0.895,0.64138393082813,0.911241459921097,2.19934425729358
k2020,0.02,nominal,2,20000,43.09,42.4050890043729,43.7775649339224,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.9147347187812,28.8450646539625,57.770730129171,4.8,0,1.5265294534681,1.55038137166809,3.08262822816317
k2020,0.05,nominal,2,20000,41.87,41.1878949677482,42.5552275385241,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.8272604154783,28.7745274329025,57.660693698062,4.685,0,1.44256618617223,1.46708633049794,2.99630501330808
k2020,0.078,nominal,2,20000,41.05,40.3700219234687,41.7334155219356,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7685378859273,28.7255249421131,57.5793756314783,4.595,0,1.38301245217869,1.42223477258374,2.93655451908038
k2020,0.1,nominal,2,20000,40.47,39.791644392141,41.1520158150883,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7254244899901,28.6951901551623,57.520332349912,4.54,0,1.33979583443379,1.3911886709676,2.89371085569901
k2020,0.2,nominal,2,20000,37.88,37.2101024133711,38.5545525406289,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.5395351784082,28.54452435104,57.2893083691368,4.37,0,1.15554445946865,1.26439459454035,2.71164735531738
k2020,0.5,nominal,2,20000,30.83,30.1937340103615,31.4736286520296,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.0189898758671,28.1209755526987,56.6189027466867,3.805,0.895,0.64138393082813,0.911241459921097,2.19934425729358
k2020,0.02,windowed,1,20000,21.12,20.5599026677064,21.6911893348943,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.9147347187812,28.8450646539625,57.770730129171,4.8,0,1.5265294534681,1.55038137166809,3.08262822816317
k2020,0.05,windowed,1,20000,19.87,19.3228031881795,20.4287689045614,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.8272604154783,28.7745274329025,57.660693698062,4.685,0,1.44256618617223,1.46708633049794,2.99630501330808
k2020,0.078,windowed,1,20000,19.045,18.5067806966672,19.5951082555663,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7685378859273,28.7255249421131,57.5793756314783,4.595,0,1.38301245217869,1.42223477258374,2.93655451908038
k2020,0.1,windowed,1,20000,18.405,17.8740123468535,18.9481224115318,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7254244899901,28.6951901551623,57.520332349912,4.54,0,1.33979583443379,1.3911886709676,2.89371085569901
k2020,0.2,windowed,1,20000,15.825,15.3257482219109,16.3373774425238,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.5395351784082,28.54452435104,57.2893083691368,4.37,0,1.15554445946865,1.26439459454035,2.71164735531738
k2020,0.5,windowed,1,20000,8.605,8.22424544581802,9.00165321926688,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.0189898758671,28.1209755526987,56.6189027466867,3.805,0.895,0.64138393082813,0.911241459921097,2.19934425729358
k2020,0.02,windowed,2,20000,43.485,42.7992717178778,44.1732305119333,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.9147347187812,28.8450646539625,57.770730129171,4.8,0,1.5265294534681,1.55038137166809,3.08262822816317
k2020,0.05,windowed,2,20000,42.235,41.5520106952371,42.9209716247142,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.8272604154783,28.7745274329025,57.660693698062,4.685,0,1.44256618617223,1.46708633049794,2.99630501330808
k2020,0.078,windowed,2,20000,41.41,40.7290641476736,42.0942350317703,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7685378859273,28.7255249421131,57.5793756314783,4.595,0,1.38301245217869,1.42223477258374,2.93655451908038
k2020,0.1,windowed,2,20000,40.77,40.0907929237444,41.4527520618513,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.7254244899901,28.6951901551623,57.520332349912,4.54,0,1.33979583443379,1.3911886709676,2.89371085569901
k2020,0.2,windowed,2,20000,38.19,37.5189843178656,38.8655515737796,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.5395351784082,28.54452435104,57.2893083691368,4.37,0,1.15554445946865,1.26439459454035,2.71164735531738
k2020,0.5,windowed,2,20000,30.945,30.3080528329144,31.5892656611837,0,0,0.0192036056104625,0,0,0.0192036056104625,20000,0,40.0189898758671,28.1209755526987,56.6189027466867,3.805,0.895,0.64138393082813,0.911241459921097,2.19934425729358
