scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi
S00,0.02,fixed,M1,G2_B,5000,4983,99.66,99.4561455223999,99.7876063204171,-0.14,-0.243649287572705,-0.036350712427295
S00,0.05,fixed,M1,G2_B,5000,4987,99.74,99.555641710489,99.8479873000167,-0.06,-0.127881560940694,0.00788156094069432
S00,0.078,fixed,M1,G2_B,5000,4990,99.8,99.6322115723667,99.8913253139056,0,0,0
S00,0.1,fixed,M1,G2_B,5000,4990,99.8,99.6322115723667,99.8913253139056,0,0,0
S00,0.2,fixed,M1,G2_B,5000,4989,99.78,99.606459135064,99.8771084592861,-0.02,-0.0878996711420279,0.0478996711420279
S00,0.5,fixed,M1,G2_B,5000,4987,99.74,99.555641710489,99.8479873000167,-0.06,-0.147645240193995,0.027645240193995
S00,0.02,fixed,M1,P2,5000,4983,99.66,99.4561455223999,99.7876063204171,0.04,-0.0154306079724254,0.0954306079724254
S00,0.05,fixed,M1,P2,5000,4981,99.62,99.4072271440611,99.7565861149114,0,-0.0554416974209654,0.0554416974209654
S00,0.078,fixed,M1,P2,5000,4981,99.62,99.4072271440611,99.7565861149114,0,0,0
S00,0.1,fixed,M1,P2,5000,4981,99.62,99.4072271440611,99.7565861149114,0,0,0
S00,0.2,fixed,M1,P2,5000,4983,99.66,99.4561455223999,99.7876063204171,0.04,-0.0154306079724254,0.0954306079724254
S00,0.5,fixed,M1,P2,5000,4980,99.6,99.3829382389288,99.7409057281215,-0.02,-0.107659267360122,0.0676592673601224
S00,0.02,scaled,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.05,scaled,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.078,scaled,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.1,scaled,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.2,scaled,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.5,scaled,M1,AUCinf_true_only,5000,4992,99.84,99.6845729840895,99.9189024860272,0,0,0
S00,0.02,scaled,M1,AUClast_only,5000,4983,99.66,99.4561455223999,99.7876063204171,0.02,-0.0191992796908011,0.0591992796908011
S00,0.05,scaled,M1,AUClast_only,5000,4982,99.64,99.431626626336,99.7721559245587,0,0,0
S00,0.078,scaled,M1,AUClast_only,5000,4982,99.64,99.431626626336,99.7721559245587,0,0,0
S00,0.1,scaled,M1,AUClast_only,5000,4982,99.64,99.431626626336,99.7721559245587,0,0,0
S00,0.2,scaled,M1,AUClast_only,5000,4983,99.66,99.4561455223999,99.7876063204171,0.02,-0.0191992796908011,0.0591992796908011
S00,0.5,scaled,M1,AUClast_only,5000,4981,99.62,99.4072271440611,99.7565861149114,-0.02,-0.107659267360122,0.0676592673601224
S00,0.02,scaled,M1,G2_Aii,5000,4953,99.06,98.7523288067199,99.2923442784311,-0.12,-0.276777513977026,0.0367775139770259
S00,0.05,scaled,M1,G2_Aii,5000,4956,99.12,98.8207847049149,99.3437962560027,-0.06,-0.147645240193995,0.027645240193995
S00,0.078,scaled,M1,G2_Aii,5000,4959,99.18,98.8895373930081,99.3949514436761,0,0,0
S00,0.1,scaled,M1,G2_Aii,5000,4960,99.2,98.9125263011164,99.41193182749,0.02,-0.0676592673601224,0.107659267360122
S00,0.2,scaled,M1,G2_Aii,5000,4967,99.34,99.0745942433854,99.5296489286764,0.16,0.01338212766916,0.30661787233084
S00,0.5,scaled,M1,G2_Aii,5000,4967,99.34,99.0745942433854,99.5296489286764,0.16,-0.0320044519051887,0.352004451905189
S00,0.02,scaled,M1,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.04,-0.0954306079724255,0.0154306079724255
S00,0.05,scaled,M1,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.04,-0.0954306079724255,0.0154306079724255
S00,0.078,scaled,M1,G2_B,5000,4990,99.8,99.6322115723667,99.8913253139056,0,0,0
S00,0.1,scaled,M1,G2_B,5000,4990,99.8,99.6322115723667,99.8913253139056,0,0,0
S00,0.2,scaled,M1,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.04,-0.118398559381602,0.0383985593816021
S00,0.5,scaled,M1,G2_B,5000,4988,99.76,99.5809448580692,99.8626534443587,-0.04,-0.136021434721777,0.056021434721777
S00,0.02,scaled,M1,P2,5000,4982,99.64,99.431626626336,99.7721559245587,0.02,-0.0191992796908011,0.0591992796908011
S00,0.05,scaled,M1,P2,5000,4981,99.62,99.4072271440611,99.7565861149114,0,0,0
S00,0.078,scaled,M1,P2,5000,4981,99.62,99.4072271440611,99.7565861149114,0,0,0
S00,0.1,scaled,M1,P2,5000,4981,99.62,99.4072271440611,99.7565861149114,0,0,0
S00,0.2,scaled,M1,P2,5000,4982,99.64,99.431626626336,99.7721559245587,0.02,-0.0191992796908011,0.0591992796908011
S00,0.5,scaled,M1,P2,5000,4980,99.6,99.3829382389288,99.7409057281215,-0.02,-0.107659267360122,0.0676592673601224
