scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,class
Vmax_down_125,0.078,fixed,M1,P2,5000,143,2.86,2.43294769785482,3.35943124152517,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.1,fixed,M1,P2,5000,141,2.82,2.39611282416891,3.31632753136668,-0.04,-0.0954306079724255,0.0154306079724255,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.2,fixed,M1,P2,5000,139,2.78,2.35930213627045,3.27319963542075,-0.08,-0.158375031578527,-0.00162496842147305,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.5,fixed,M1,P2,5000,141,2.82,2.39611282416891,3.31632753136668,-0.04,-0.136021434721777,0.056021434721777,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.02,scaled,M1,AUCinf_true_only,5000,228,4.56,4.01581122081757,5.17395753194923,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,nominal
Vmax_down_125,0.05,scaled,M1,AUCinf_true_only,5000,228,4.56,4.01581122081757,5.17395753194923,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,nominal
Vmax_down_125,0.078,scaled,M1,AUCinf_true_only,5000,228,4.56,4.01581122081757,5.17395753194923,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,nominal
Vmax_down_125,0.1,scaled,M1,AUCinf_true_only,5000,228,4.56,4.01581122081757,5.17395753194923,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,nominal
Vmax_down_125,0.2,scaled,M1,AUCinf_true_only,5000,228,4.56,4.01581122081757,5.17395753194923,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,nominal
Vmax_down_125,0.5,scaled,M1,AUCinf_true_only,5000,228,4.56,4.01581122081757,5.17395753194923,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,nominal
