pk_model,scenario,config,n_trials,pass_pct,n_trials_v10,pass_pct_v10,same_n,identical
k2016,ke_up_080,G2_C_ii,10000,3.85,10000,3.85,TRUE,TRUE
k2020,F_down_080,G2_A_i,10000,6.88,10000,6.88,TRUE,TRUE
k2020,F_down_080,G2_A_ii,10000,8.33,10000,8.33,TRUE,TRUE
k2020,F_down_080,G2_B,10000,6.23,10000,6.23,TRUE,TRUE
k2020,F_down_080,G2_C_i,10000,4.45,10000,4.45,TRUE,TRUE
k2020,F_down_080,G2_C_ii,10000,3.97,10000,3.97,TRUE,TRUE
k2020,F_up_125,G2_A_i,10000,6.18,10000,6.18,TRUE,TRUE
k2020,F_up_125,G2_A_ii,10000,7.88,10000,7.88,TRUE,TRUE
k2020,F_up_125,G2_B,10000,5.05,10000,5.05,TRUE,TRUE
k2020,F_up_125,G2_C_i,10000,4.17,10000,4.17,TRUE,TRUE
k2020,F_up_125,G2_C_ii,10000,3.86,10000,3.86,TRUE,TRUE
k2020,V2_up_080,G2_A_i,20000,2.295,20000,2.295,TRUE,TRUE
k2020,V2_up_080,G2_A_ii,20000,1.06,20000,1.06,TRUE,TRUE
k2020,V2_up_080,G2_B,20000,3.71,20000,3.71,TRUE,TRUE
k2020,V2_up_080,G2_C_i,20000,4.625,20000,4.625,TRUE,TRUE
k2020,V2_up_080,G2_C_ii,20000,5.005,20000,5.005,TRUE,TRUE
k2020,Vmax_down_125,G2_A_i,10000,9.69,10000,9.69,TRUE,TRUE
k2020,Vmax_down_125,G2_A_ii,10000,27.6,10000,27.6,TRUE,TRUE
k2020,Vmax_down_125,G2_B,10000,5.66,10000,5.66,TRUE,TRUE
k2020,Vmax_down_125,G2_C_i,10000,4.09,10000,4.09,TRUE,TRUE
k2020,Vmax_down_125,G2_C_ii,10000,3.96,10000,3.96,TRUE,TRUE
k2020,Vmax_up_080,G2_A_i,10000,17.37,10000,17.37,TRUE,TRUE
k2020,Vmax_up_080,G2_A_ii,10000,23.29,10000,23.29,TRUE,TRUE
k2020,Vmax_up_080,G2_B,10000,11.87,10000,11.87,TRUE,TRUE
k2020,Vmax_up_080,G2_C_i,10000,4.24,10000,4.24,TRUE,TRUE
k2020,Vmax_up_080,G2_C_ii,10000,3.18,10000,3.18,TRUE,TRUE
k2020,ka_down_080,G2_A_i,10000,0,10000,0,TRUE,TRUE
k2020,ka_down_080,G2_A_ii,10000,0,10000,0,TRUE,TRUE
k2020,ka_down_080,G2_B,10000,0,10000,0,TRUE,TRUE
k2020,ka_down_080,G2_C_i,10000,0,10000,0,TRUE,TRUE
k2020,ka_down_080,G2_C_ii,10000,0,10000,0,TRUE,TRUE
k2020,ke_down_125,G2_A_i,10000,4.47,10000,4.47,TRUE,TRUE
k2020,ke_down_125,G2_A_ii,10000,10.02,10000,10.02,TRUE,TRUE
k2020,ke_down_125,G2_B,10000,3.92,10000,3.92,TRUE,TRUE
k2020,ke_down_125,G2_C_i,10000,3.7,10000,3.7,TRUE,TRUE
k2020,ke_down_125,G2_C_ii,10000,4.17,10000,4.17,TRUE,TRUE
k2020,ke_up_080,G2_A_i,10000,4.25,10000,4.25,TRUE,TRUE
k2020,ke_up_080,G2_A_ii,10000,5.88,10000,5.88,TRUE,TRUE
k2020,ke_up_080,G2_B,10000,4.83,10000,4.83,TRUE,TRUE
k2020,ke_up_080,G2_C_i,10000,4.3,10000,4.3,TRUE,TRUE
k2020,ke_up_080,G2_C_ii,10000,4.11,10000,4.11,TRUE,TRUE
