pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,pass_pct,lo,hi,class,rule,set
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M1,G2_A_ii,10000,8.61,8.07597678883868,9.17581059628593,exceeding,A,ii
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M0,G2_A_ii,10000,7.88,7.36796177532672,8.42438624741908,exceeding,A,ii
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M1,G2_A_ii,10000,8.52,7.98862054580565,9.08323595902568,exceeding,A,ii
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M0,G2_A_ii,20000,1.06,0.92717174481956,1.21162474435196,conservative,A,ii
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M1,G2_A_ii,20000,1.28,1.1332998593808,1.44541213392603,conservative,A,ii
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M0,G2_A_ii,10000,27.6,26.7325907809694,28.484612346037,exceeding,A,ii
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M1,G2_A_ii,10000,27.44,26.5742296889373,28.3230963175476,exceeding,A,ii
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M0,G2_A_ii,10000,23.29,22.4719164293625,24.128596763599,exceeding,A,ii
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M1,G2_A_ii,10000,23.71,22.8866134914184,24.5535771429118,exceeding,A,ii
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M0,G2_A_ii,10000,0,0,0.0383998370676596,conservative,A,ii
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M1,G2_A_ii,10000,0,0,0.0383998370676596,conservative,A,ii
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M0,G2_A_ii,10000,10.02,9.44675352131366,10.6239509884056,exceeding,A,ii
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M1,G2_A_ii,10000,10.55,9.96297950153268,11.1673179699137,exceeding,A,ii
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M0,G2_A_ii,10000,5.88,5.43563781310876,6.35824620311974,exceeding,A,ii
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M1,G2_A_ii,10000,6.23,5.77287787731078,6.72073734005825,exceeding,A,ii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_A_iii,10000,6.2,5.74395448041297,6.6896837768583,exceeding,A,iii
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_A_iii,10000,6.59,6.12019586073624,7.09314287780591,exceeding,A,iii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_A_iii,10000,5.54,5.10847358681637,6.00567154830419,exceeding,A,iii
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M1,G2_A_iii,10000,5.76,5.32011664834531,6.23385952749216,exceeding,A,iii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M0,G2_A_iii,10000,5.91,5.46452661165637,6.38933436466989,exceeding,A,iii
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,G2_A_iii,10000,6.22,5.76323639780185,6.71038649953459,exceeding,A,iii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_A_iii,10000,11.59,10.9773022607518,12.2321964940835,exceeding,A,iii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_A_iii,10000,12,11.3776341654731,12.6515497106983,exceeding,A,iii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,G2_A_iii,10000,17.04,16.3157746205102,17.7895385520848,exceeding,A,iii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,G2_A_iii,10000,17.47,16.7383110171133,18.2266719168829,exceeding,A,iii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,G2_A_iii,10000,0,0,0.0383998370676596,conservative,A,iii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,G2_A_iii,10000,0,0,0.0383998370676596,conservative,A,iii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,G2_A_iii,10000,4.77,4.36935891355785,5.20537757905355,nominal,A,iii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,G2_A_iii,10000,4.89,4.48436465885572,5.33027967414672,nominal,A,iii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,G2_A_iii,10000,4.76,4.35977834550698,5.19496582707184,nominal,A,iii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,G2_A_iii,10000,5.3,4.87781606143201,5.75651339290647,nominal,A,iii
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M0,G2_A_iii,10000,5.81,5.36824379698961,6.28569397901078,exceeding,A,iii
k2020,F_down_080,F,down,0.8,0.871335777735966,0.799619025640266,0.852142118063974,M1,G2_A_iii,10000,6.11,5.6572031953293,6.59650418164869,exceeding,A,iii
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M0,G2_A_iii,10000,5.26,4.83939705288705,5.71496312132109,nominal,A,iii
k2020,F_up_125,F,up,1.25,1.15294080629446,1.25037238459433,1.17607904174935,M1,G2_A_iii,10000,5.49,5.06040005642412,5.95378347853351,exceeding,A,iii
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M0,G2_A_iii,20000,1.855,1.67703615251634,2.05145499932598,conservative,A,iii
k2020,V2_up_080,V2,up,0.8,2.27730854120339,0.79979742585522,0.890882568755657,M1,G2_A_iii,20000,2.13,1.9389006330744,2.33948489893705,conservative,A,iii
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M0,G2_A_iii,10000,7,6.51625641208769,7.5167674477905,exceeding,A,iii
k2020,Vmax_down_125,Vmax,down,1.25,0.651331501646086,1.25092658233271,1.05342570107931,M1,G2_A_iii,10000,7.46,6.96120472226823,7.99146585910893,exceeding,A,iii
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M0,G2_A_iii,10000,13.59,12.9323197580778,14.2756430032749,exceeding,A,iii
k2020,Vmax_up_080,Vmax,up,0.8,1.3969545986339,0.80009024618209,0.941322121145971,M1,G2_A_iii,10000,14.08,13.4120794514225,14.7755069915269,exceeding,A,iii
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M0,G2_A_iii,10000,0,0,0.0383998370676596,conservative,A,iii
k2020,ka_down_080,ka,down,0.8,0.424232725036545,0.800570249731887,0.632507704543837,M1,G2_A_iii,10000,0,0,0.0383998370676596,conservative,A,iii
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M0,G2_A_iii,10000,2.68,2.38117914445839,3.01516246134244,conservative,A,iii
k2020,ke_down_125,ke,down,1.25,0.642602940228105,1.2495748835008,1.06352537123811,M1,G2_A_iii,10000,2.84,2.53209355212164,3.18412517420058,conservative,A,iii
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M0,G2_A_iii,10000,3.47,3.1287811116642,3.84695377671097,conservative,A,iii
k2020,ke_up_080,ke,up,0.8,1.45683866187482,0.800201954152666,0.933475925199342,M1,G2_A_iii,10000,3.63,3.28086111182889,4.01475089706765,conservative,A,iii
