pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,endpoint,n,mean_log_gmr,sd_log_gmr,bias_pct,bias_mc_se_pct,bias_dir,config
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,AUCinf_C,10000,0.226199884849999,0.04830965818457,0.359475236942353,0.04830965818457,away_from_1,C_ii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,AUCinf_C,10000,0.226205847928199,0.048295266346977,0.360073690125606,0.048295266346977,away_from_1,C_ii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,AUCinf_Ci,10000,0.2269467676643,0.048099747624979,0.434460003179882,0.048099747624979,away_from_1,C_i
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,AUCinf_Ci,10000,0.2269527017518,0.0480837268306392,0.435055991821876,0.0480837268306392,away_from_1,C_i
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,AUCinf_A,10000,-0.218225529760199,0.050940858394808,0.451045448027587,0.050940858394808,toward_1,A_ii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,AUCinf_A,10000,-0.218649764479099,0.0506748408637223,0.408439665063876,0.0506748408637223,toward_1,A_ii
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,AUCinf_Ai,10000,-0.2220264041067,0.0498496451728994,0.0699683182221245,0.0498496451728994,none,A_i
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,AUCinf_Ai,10000,-0.222222622122201,0.0496510756020947,0.0503347139239052,0.0496510756020947,none,A_i
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,AUCinf_B,10000,-0.221285415448201,0.0468948183763333,0.144146509007292,0.0468948183763333,toward_1,B
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M1,AUCinf_B,10000,-0.221389758259101,0.0468786488436606,0.133697732402172,0.0468786488436606,toward_1,B
k2016,ke_up_080,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,M0,AUCinf_C,10000,-0.2272416044285,0.0488514051102847,-0.450558108174193,0.0488514051102847,away_from_1,C_ii
