population,variant,distribution,band,set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05
adult atopic dermatitis,base,sens_nct03389893,all,i,20000,15.295,1.995,13.3,17.89515,85.7804503832242,79.2112774890915,6.56917289413272,5.79538136112545,7.34296442713999,0.730660983828677,1.00194146057845,0.689926659168705,0.930849345582765,0.774600055547204
adult atopic dermatitis,base,sens_nct03389893,all,ii,20000,21.575,1.995,19.58,25.24275,84.3397550790387,79.0815815428072,5.2581735362315,4.59014093769408,5.92620613476891,0.770182438263326,1.61099944348432,0.604318113082425,0.931733660075305,0.778609829320225
adult atopic dermatitis,base,sens_nct03389893,all,iii,20000,39.88,1.995,37.885,46.6596,81.7000783016626,79.2316055498104,2.46847275185216,1.9281659722798,3.00877953142452,0.877158119296696,0.466904270969371,0.828328585810711,0.95024575035046,0.794399078346312
adult atopic dermatitis,base,sens_nct03389893,all,iv,20000,67.57,1.995,65.575,79.0569,80.9659181746156,78.6535972021626,2.31232097245294,1.76276680200598,2.8618751428999,0.886632865291761,1.03382002614967,0.384325041229544,0.952692994358848,0.80147340871126
adult atopic dermatitis,struct2020,sens_nct03389893,all,i,20000,9.165,1,8.165,10.72305,85.9214748890036,79.6403691414894,6.28110574751425,5.29522307968817,7.26698841534033,0.714920984661376,0.0840539851960531,0.704911701782807,0.947545629707741,0.842787076854834
adult atopic dermatitis,struct2020,sens_nct03389893,all,ii,20000,17.51,1,16.51,20.4867,84.1509681888903,79.380770946023,4.77019724286727,4.03424102714323,5.50615345859131,0.774077225452147,1.94107650671388,0.591381665463986,0.945461957316577,0.846194783188535
adult atopic dermatitis,struct2020,sens_nct03389893,all,iii,20000,34.655,1,33.655,40.54635,81.7691545400726,79.3923513312219,2.37680320885067,1.8188778954543,2.93472852224705,0.863563267012884,0.171209802415728,0.918982365579402,0.962070546824852,0.864898429276484
adult atopic dermatitis,struct2020,sens_nct03389893,all,iv,20000,73.55,1,72.55,86.0535,80.9399682195016,78.2029711070159,2.73699711248564,2.15870021743952,3.31529400753176,0.868090361962022,0.954354528869622,0.355648393077757,0.960853644932777,0.866628011825217
adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893,all,i,20000,15.555,2.29,13.265,18.19935,86.4549233624198,79.0668117167679,7.38811164565189,6.60609548258406,8.17012780871972,0.700492151885518,1.18726448187394,0.694886825931007,0.930078986333191,0.772613437951264
adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893,all,ii,20000,22.215,2.29,19.925,25.99155,84.8401853801519,78.8953979572518,5.94478742290001,5.26873196568964,6.62084288011037,0.746295078891587,1.74428957534848,0.608579766456274,0.931444654244037,0.776743615005039
adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893,all,iii,20000,40.05,2.29,37.76,46.8585,81.8193533606099,79.1449232065469,2.674430154063,2.13294362635346,3.21591668177255,0.862512799284341,0.492824809434356,0.824682000851063,0.948791745083182,0.793796670298975
adult atopic dermatitis,k2016_bmi_vc0817,sens_nct03389893,all,iv,20000,67.855,2.29,65.565,79.39035,80.8057025585107,78.9712957292632,1.83440682924748,1.28457658823827,2.3842370702567,0.887498750194796,1.06787771524324,0.387616467593954,0.952322728842451,0.800595671037308
adult atopic dermatitis,base,sens_75_18,all,i,20000,13.765,1.475,12.29,16.10505,80.0600364477721,74.433627552446,5.62640889532605,4.86636221932401,6.38645557132809,0.748577899086793,0.895855882649654,0.656093968389682,0.930494623693979,0.777485267104373
adult atopic dermatitis,base,sens_75_18,all,ii,20000,19.795,1.475,18.32,23.16015,78.8393748445389,74.3118863991162,4.52748844542273,3.87439528501376,5.1805816058317,0.791479740562233,1.55760098398169,0.578787945909498,0.931112861928581,0.779398538240191
adult atopic dermatitis,base,sens_75_18,all,iii,20000,38.665,1.475,37.19,45.23805,76.5463550974698,74.3644811909203,2.18187390654957,1.66650003663645,2.69724777646269,0.895755002961941,0.403657956736003,0.779059597769649,0.951411354980912,0.798562082064074
adult atopic dermatitis,base,sens_75_18,all,iv,20000,66.43,1.475,64.955,77.7231,76.0165226024405,73.6083609534895,2.40816164895099,1.88942630676854,2.92689699113345,0.894568902024767,0.963536332732473,0.377431496539049,0.953431518943942,0.804774164150383
adult atopic dermatitis,struct2020,sens_75_18,all,i,20000,8.5,0.69,7.81,9.945,80.0346217099648,74.7597375863832,5.27488412358161,4.34287192331155,6.20689632385168,0.734824901101235,0.0441909333696811,0.673507053955697,0.94822160791624,0.848861350238695
adult atopic dermatitis,struct2020,sens_75_18,all,ii,20000,16.695,0.69,16.005,19.53315,78.283924227256,74.5916830768228,3.69224115043319,2.99014397054409,4.39433833032229,0.817396458940318,1.72749194770212,0.566905839820653,0.946331685407804,0.849761155899195
adult atopic dermatitis,struct2020,sens_75_18,all,iii,20000,33.145,0.69,32.455,38.77965,77.1021222142574,74.2690962964206,2.83302591783678,2.29729989386412,3.36875194180943,0.860750378810485,0.138129245268981,0.868610552380955,0.964285443483222,0.868069400361348
adult atopic dermatitis,struct2020,sens_75_18,all,iv,20000,72.655,0.69,71.965,85.00635,76.0164845868562,73.0602518204692,2.95623276638699,2.41599155191378,3.4964739808602,0.880402451473539,0.895638058313186,0.351799324449242,0.963084783201471,0.868504339809562
adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18,all,i,20000,13.625,1.67,11.955,15.94125,80.546607914051,74.3659941054682,6.18061380858275,5.40435277187585,6.95687484528964,0.722093712299427,0.986875519796582,0.64187900820244,0.928179808470055,0.772803303800518
adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18,all,ii,20000,20.025,1.67,18.355,23.42925,79.2700927382522,74.1910180256988,5.07907471255336,4.40848283304127,5.74966659206546,0.775541588571309,1.59912476770708,0.557580032080585,0.930185668933282,0.779363422671672
adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18,all,iii,20000,38.925,1.67,37.255,45.54225,76.7028175768929,74.2554744086485,2.44734316824443,1.93294032354469,2.96174601294417,0.877819382408121,0.418393565939679,0.769789583547398,0.951751297374497,0.797255482317704
adult atopic dermatitis,k2016_bmi_vc0817,sens_75_18,all,iv,20000,66.4,1.67,64.73,77.688,75.9409177078869,73.7599207703891,2.18099693749787,1.66269083955633,2.6993030354394,0.894622533701364,0.954923081509546,0.374351234308817,0.953281362231352,0.803732508018778
