model,scenario,source,n_trials,GMR_mean_AUCinf_reliable,GMR_mean_AUCinf_true,GMR_mean_AUClast,GMR_mean_Cmax,pass_rate_AUCinf_reliable,pass_rate_AUCinf_true,pass_rate_AUClast,pass_rate_Cmax,pass_lo_AUCinf_reliable,pass_lo_AUCinf_true,pass_lo_AUClast,pass_lo_Cmax,pass_hi_AUCinf_reliable,pass_hi_AUCinf_true,pass_hi_AUClast,pass_hi_Cmax,agree,agree_lo,agree_hi,last_pass_inf_fail,last_pass_inf_fail_lo,last_pass_inf_fail_hi,cor_logGMR_last_infrel,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi
k2020,F097,500회,500,0.957286415949745,0.952835917990634,0.952299220867646,0.964873218384642,94,94.8,94,99.8,91.563893687478,92.4898856062154,91.563893687478,98.8759293294853,95.7651643519054,96.4269734884295,95.7651643519054,99.9646863605441,94,91.563893687478,95.7651643519054,3,1.82632131979134,4.89036668359457,0.850933214163889,94,91.563893687478,95.7651643519054
k2020,F110,500회,500,1.14892916223064,1.16291026075534,1.16658124248376,1.11610543378793,48.8,41,37.2,86,44.4445237020948,36.7735069407676,33.0760748488524,82.6833135055546,53.1737747150129,45.3637311875403,41.5191082669634,88.7677339812137,81.6,77.967089620646,84.7510520621839,3.4,2.13345198085322,5.37713655016345,0.859857159951622,37.2,33.0760748488524,41.5191082669634
k2020,KA075,500회,500,0.971603552404713,0.953820421915215,0.95380483461743,0.880919318857585,94.4,93.8,92.8,69.6,92.0255206353293,91.3340286898362,90.1931595983038,65.4313321596336,96.0974379316849,95.5980790857318,94.7541968581874,73.4697936942735,93.2,90.6479077266126,95.0933492575093,2.6,1.52563839233272,4.39714908342243,0.836760632392319,69.2,65.0198001317323,73.0874251945441
k2020,KE110,500회,500,0.951340140841191,0.948211598506078,0.947447812795113,0.982345246945175,92.8,93.6,92,100,90.1931595983038,91.1047591162316,89.2893683422149,99.2375659538448,94.7541968581874,95.4303983955211,94.0701870590148,100,93.6,91.1047591162316,95.4303983955211,2.8,1.67509747207565,4.64464026749489,0.861422391490335,92,89.2893683422149,94.0701870590148
k2020,KE120,500회,500,0.905821522773124,0.901338984236034,0.899441258273592,0.965756030611016,72.4,74.4,70.6,99.8,68.3222428416623,70.3987030046481,66.4617259165597,98.8759293294853,76.1361867056602,78.0292291808281,74.4241512564243,99.9646863605441,85.4,82.0350733779691,88.2251233173531,6.4,4.56960160447894,8.89524088376842,0.864497908935266,70.6,66.4617259165597,74.4241512564243
k2020,KM05,500회,500,1.00156563885885,1.0000383013963,1.00038931767231,0.999576863339941,98.2,99,99,100,96.6148329091261,97.6806900244269,97.6806900244269,99.2375659538448,99.0501806703803,99.572124610341,99.572124610341,100,98,96.3579816753121,98.9100816403789,1.4,0.679778979084349,2.86130691377853,0.857716012287479,99,97.6806900244269,99.572124610341
k2020,KM10,500회,500,0.989277488399045,1.00663284294833,1.00951912190752,1.00141300102623,98.2,99.6,99.4,100,96.6148329091261,98.5534284784823,98.2509747895947,99.2375659538448,99.0501806703803,99.8902369477317,99.795740372804,100,97.6,95.8522942536099,98.6218685344503,1.8,0.949819329619708,3.38516709087393,0.866076298398662,99.4,98.2509747895947,99.795740372804
k2020,KM2,500회,500,0.999810460564896,1.00128273915174,1.0020033025601,1.00000997044438,98.6,99.2,99,100,97.1386930862215,97.9612964165895,97.6806900244269,99.2375659538448,99.3202210209157,99.6884684819938,99.572124610341,100,98.4,96.8748891466606,99.1870746966612,1,0.42787538965905,2.31930997557307,0.856010186644565,99,97.6806900244269,99.572124610341
k2020,KM5,500회,500,0.996652257864344,1.00340245629519,1.00487955879807,1.00061186185899,97.6,99.6,99.2,100,95.8522942536099,98.5534284784823,97.9612964165895,99.2375659538448,98.6218685344503,99.8902369477317,99.6884684819938,100,97.2,95.3553597325051,98.3249025279244,2.2,1.23280082699276,3.89608612113164,0.857515216217302,99.2,97.9612964165895,99.6884684819938
k2020,S00,500회,500,1.00104568984561,1.00048740191081,1.00096442969031,0.999746224134106,98.4,99.2,99,100,96.8748891466606,97.9612964165895,97.6806900244269,99.2375659538448,99.1870746966612,99.6884684819938,99.572124610341,100,98.2,96.6148329091261,99.0501806703803,1.2,0.55109951740277,2.59303611164473,0.857655813240642,99,97.6806900244269,99.572124610341
k2020,VM080,500회,500,1.10134446813075,1.13271440240839,1.13931418895097,1.03277499981692,77.6,60.8,55.2,99.8,73.7430335325132,56.4540520249984,50.8179738010616,98.8759293294853,81.0361028740092,64.9812622210321,59.5027330581383,99.9646863605441,76,72.0673202993374,79.5362139966619,0.8,0.311531518006224,2.03870358341052,0.854651066122015,55.2,50.8179738010616,59.5027330581383
k2020,VM125,500회,500,0.89834136394224,0.8668630025895,0.859878603384808,0.959451732838571,62.4,43,35.6,99,58.0749179384767,38.7301647590359,31.527456002604,97.6806900244269,66.5359984180768,47.3765760074258,39.8921250026887,99.572124610341,70.4,66.2554664322289,74.2334604769398,1.4,0.679778979084349,2.86130691377853,0.810663790876166,35.6,31.527456002604,39.8921250026887
k2020,VM150,500회,500,0.810647360392803,0.758288892349573,0.745270462596912,0.920175359513749,7.2,0.4,0.2,92.4,5.24580314181262,0.109763052268279,0.0353136394559275,89.7403586326032,9.80684040169625,1.4465715215177,1.12407067051468,94.4130972962572,93,90.4202810148083,94.9240257054982,0,4.33680868994202e-17,0.762434046155224,0.787448121650864,0.2,0.0353136394559275,1.12407067051468
