endpoint,scenario,GMR_mean,pass_rate,width_mean_pp,GMR_ref,pass_ref,width_ref,model,GMR_change_pct,pass_change_pp,width_change_pp
AUCinf_true,KM10,1.00584231674583,100,15.7647999547835,0.999808212951039,100,15.712343186243,k2020,0.603526127974141,0,0.0524567685405
AUCinf_true,KM2,1.00058544419657,100,15.7189549891326,0.999808212951039,100,15.712343186243,k2020,0.0777380337011691,0,0.00661180288959962
AUCinf_true,KM5,1.00266389335985,100,15.7368393498581,0.999808212951039,100,15.712343186243,k2020,0.285622819638776,0,0.0244961636150993
AUClast,KM05,1.00005819417815,100,16.5824607706971,1.00060272295865,100,16.5873892946779,k2020,-0.0544200778197057,0,-0.00492852398080146
AUClast,KM10,1.00901536036313,99.6,16.6573847655886,1.00060272295865,100,16.5873892946779,k2020,0.840756996903314,-0.400000000000006,0.0699954709106976
AUClast,KM2,1.00161612542322,100,16.595858411695,1.00060272295865,100,16.5873892946779,k2020,0.101279203156035,0,0.00846911701709985
AUClast,KM5,1.00444670070928,100,16.6196894884842,1.00060272295865,100,16.5873892946779,k2020,0.384166229256699,0,0.0323001938063001
Cmax,KM05,0.999465905340138,100,13.9680459902069,0.999631652604664,100,13.9684058152899,k2020,-0.0165808339596008,0,-0.000359825083000587
Cmax,KM10,1.00127304385361,100,13.9681782485187,0.999631652604664,100,13.9684058152899,k2020,0.16419960739229,0,-0.000227566771199506
Cmax,KM2,0.999889772534292,100,13.9687121732605,0.999631652604664,100,13.9684058152899,k2020,0.025821504246637,0,0.00030635797059908
Cmax,KM5,1.00048094762161,100,13.968762651529,0.999631652604664,100,13.9684058152899,k2020,0.0849607967828181,0,0.000356836239099323
